Time,,X1,Y1,Z1,X2,Y2,Z2
4.106,2.32,0.887522,1.155731,5.934754,0.884112,1.159439,5.94693
4.107,2.321,0.8893521,1.1562285,5.9329617,0.8858727,1.1597654,5.9451253
4.108,2.322,0.8911822,1.156726,5.9311694,0.8876334,1.1600918,5.9433206
4.109,2.323,0.8930123,1.1572235,5.9293771,0.8893941,1.1604182,5.9415159
4.11,2.324,0.8948424,1.157721,5.9275848,0.8911548,1.1607446,5.9397112
4.111,2.325,0.8966725,1.1582185,5.9257925,0.8929155,1.161071,5.9379065
4.112,2.326,0.8985026,1.158716,5.9240002,0.8946762,1.1613974,5.9361018
4.113,2.327,0.9003327,1.1592135,5.9222079,0.8964369,1.1617238,5.9342971
4.114,2.328,0.9021628,1.159711,5.9204156,0.8981976,1.1620502,5.9324924
4.115,2.329,0.9039929,1.1602085,5.9186233,0.8999583,1.1623766,5.9306877
4.116,2.33,0.905823,1.160706,5.916831,0.901719,1.162703,5.928883
4.117,2.331,0.9076979,1.1610713,5.9150097,0.903403,1.1629476,5.9269712
4.118,2.332,0.9095728,1.1614366,5.9131884,0.905087,1.1631922,5.9250594
4.119,2.333,0.9114477,1.1618019,5.9113671,0.906771,1.1634368,5.9231476
4.12,2.334,0.9133226,1.1621672,5.9095458,0.908455,1.1636814,5.9212358
4.121,2.335,0.9151975,1.1625325,5.9077245,0.910139,1.163926,5.919324
4.122,2.336,0.9170724,1.1628978,5.9059032,0.911823,1.1641706,5.9174122
4.123,2.337,0.9189473,1.1632631,5.9040819,0.913507,1.1644152,5.9155004
4.124,2.338,0.9208222,1.1636284,5.9022606,0.915191,1.1646598,5.9135886
4.125,2.339,0.9226971,1.1639937,5.9004393,0.916875,1.1649044,5.9116768
4.126,2.34,0.924572,1.164359,5.898618,0.918559,1.165149,5.909765
4.127,2.341,0.9266383,1.1642009,5.8965319,0.9201505,1.1649104,5.90767
4.128,2.342,0.9287046,1.1640428,5.8944458,0.921742,1.1646718,5.905575
4.129,2.343,0.9307709,1.1638847,5.8923597,0.9233335,1.1644332,5.90348
4.13,2.344,0.9328372,1.1637266,5.8902736,0.924925,1.1641946,5.901385
4.131,2.345,0.9349035,1.1635685,5.8881875,0.9265165,1.163956,5.89929
4.132,2.346,0.9369698,1.1634104,5.8861014,0.928108,1.1637174,5.897195
4.133,2.347,0.9390361,1.1632523,5.8840153,0.9296995,1.1634788,5.8951
4.134,2.348,0.9411024,1.1630942,5.8819292,0.931291,1.1632402,5.893005
4.135,2.349,0.9431687,1.1629361,5.8798431,0.9328825,1.1630016,5.89091
4.136,2.35,0.945235,1.162778,5.877757,0.934474,1.162763,5.888815
4.137,2.351,0.9471856,1.1622456,5.8755545,0.9368692,1.1624542,5.8866373
4.138,2.352,0.9491362,1.1617132,5.873352,0.9392644,1.1621454,5.8844596
4.139,2.353,0.9510868,1.1611808,5.8711495,0.9416596,1.1618366,5.8822819
4.14,2.354,0.9530374,1.1606484,5.868947,0.9440548,1.1615278,5.8801042
4.141,2.355,0.954988,1.160116,5.8667445,0.94645,1.161219,5.8779265
4.142,2.356,0.9569386,1.1595836,5.864542,0.9488452,1.1609102,5.8757488
4.143,2.357,0.9588892,1.1590512,5.8623395,0.9512404,1.1606014,5.8735711
4.144,2.358,0.9608398,1.1585188,5.860137,0.9536356,1.1602926,5.8713934
4.145,2.359,0.9627904,1.1579864,5.8579345,0.9560308,1.1599838,5.8692157
4.146,2.36,0.964741,1.157454,5.855732,0.958426,1.159675,5.867038
4.147,2.361,0.9668625,1.1568422,5.8535418,0.9605764,1.1591484,5.8648367
4.148,2.362,0.968984,1.1562304,5.8513516,0.9627268,1.1586218,5.8626354
4.149,2.363,0.9711055,1.1556186,5.8491614,0.9648772,1.1580952,5.8604341
4.15,2.364,0.973227,1.1550068,5.8469712,0.9670276,1.1575686,5.8582328
4.151,2.365,0.9753485,1.154395,5.844781,0.969178,1.157042,5.8560315
4.152,2.366,0.97747,1.1537832,5.8425908,0.9713284,1.1565154,5.8538302
4.153,2.367,0.9795915,1.1531714,5.8404006,0.9734788,1.1559888,5.8516289
4.154,2.368,0.981713,1.1525596,5.8382104,0.9756292,1.1554622,5.8494276
4.155,2.369,0.9838345,1.1519478,5.8360202,0.9777796,1.1549356,5.8472263
4.156,2.37,0.985956,1.151336,5.83383,0.97993,1.154409,5.845025
4.157,2.371,0.9880815,1.1509164,5.8317388,0.9820263,1.1540162,5.8429123
4.158,2.372,0.990207,1.1504968,5.8296476,0.9841226,1.1536234,5.8407996
4.159,2.373,0.9923325,1.1500772,5.8275564,0.9862189,1.1532306,5.8386869
4.16,2.374,0.994458,1.1496576,5.8254652,0.9883152,1.1528378,5.8365742
4.161,2.375,0.9965835,1.149238,5.823374,0.9904115,1.152445,5.8344615
4.162,2.376,0.998709,1.1488184,5.8212828,0.9925078,1.1520522,5.8323488
4.163,2.377,1.0008345,1.1483988,5.8191916,0.9946041,1.1516594,5.8302361
4.164,2.378,1.00296,1.1479792,5.8171004,0.9967004,1.1512666,5.8281234
4.165,2.379,1.0050855,1.1475596,5.8150092,0.9987967,1.1508738,5.8260107
4.166,2.38,1.007211,1.14714,5.812918,1.000893,1.150481,5.823898
4.167,2.381,1.009108,1.1471411,5.8109811,1.0026009,1.1503598,5.8219472
4.168,2.382,1.011005,1.1471422,5.8090442,1.0043088,1.1502386,5.8199964
4.169,2.383,1.012902,1.1471433,5.8071073,1.0060167,1.1501174,5.8180456
4.17,2.384,1.014799,1.1471444,5.8051704,1.0077246,1.1499962,5.8160948
4.171,2.385,1.016696,1.1471455,5.8032335,1.0094325,1.149875,5.814144
4.172,2.386,1.018593,1.1471466,5.8012966,1.0111404,1.1497538,5.8121932
4.173,2.387,1.02049,1.1471477,5.7993597,1.0128483,1.1496326,5.8102424
4.174,2.388,1.022387,1.1471488,5.7974228,1.0145562,1.1495114,5.8082916
4.175,2.389,1.024284,1.1471499,5.7954859,1.0162641,1.1493902,5.8063408
4.176,2.39,1.026181,1.147151,5.793549,1.017972,1.149269,5.80439
4.177,2.391,1.0279756,1.1474111,5.7917426,1.0195202,1.1492546,5.8025207
4.178,2.392,1.0297702,1.1476712,5.7899362,1.0210684,1.1492402,5.8006514
4.179,2.393,1.0315648,1.1479313,5.7881298,1.0226166,1.1492258,5.7987821
4.18,2.394,1.0333594,1.1481914,5.7863234,1.0241648,1.1492114,5.7969128
4.181,2.395,1.035154,1.1484515,5.784517,1.025713,1.149197,5.7950435
4.182,2.396,1.0369486,1.1487116,5.7827106,1.0272612,1.1491826,5.7931742
4.183,2.397,1.0387432,1.1489717,5.7809042,1.0288094,1.1491682,5.7913049
4.184,2.398,1.0405378,1.1492318,5.7790978,1.0303576,1.1491538,5.7894356
4.185,2.399,1.0423324,1.1494919,5.7772914,1.0319058,1.1491394,5.7875663
4.186,2.4,1.044127,1.149752,5.775485,1.033454,1.149125,5.785697
4.187,2.401,1.0458632,1.1500967,5.7737817,1.0353036,1.1493499,5.783955
4.188,2.402,1.0475994,1.1504414,5.7720784,1.0371532,1.1495748,5.782213
4.189,2.403,1.0493356,1.1507861,5.7703751,1.0390028,1.1497997,5.780471
4.19,2.404,1.0510718,1.1511308,5.7686718,1.0408524,1.1500246,5.778729
4.191,2.405,1.052808,1.1514755,5.7669685,1.042702,1.1502495,5.776987
4.192,2.406,1.0545442,1.1518202,5.7652652,1.0445516,1.1504744,5.775245
4.193,2.407,1.0562804,1.1521649,5.7635619,1.0464012,1.1506993,5.773503
4.194,2.408,1.0580166,1.1525096,5.7618586,1.0482508,1.1509242,5.771761
4.195,2.409,1.0597528,1.1528543,5.7601553,1.0501004,1.1511491,5.770019
4.196,2.41,1.061489,1.153199,5.758452,1.05195,1.151374,5.768277
4.197,2.411,1.0634785,1.1537144,5.756855,1.0539615,1.1518477,5.7667342
4.198,2.412,1.065468,1.1542298,5.755258,1.055973,1.1523214,5.7651914
4.199,2.413,1.0674575,1.1547452,5.753661,1.0579845,1.1527951,5.7636486
4.2,2.414,1.069447,1.1552606,5.752064,1.059996,1.1532688,5.7621058
4.201,2.415,1.0714365,1.155776,5.750467,1.0620075,1.1537425,5.760563
4.202,2.416,1.073426,1.1562914,5.74887,1.064019,1.1542162,5.7590202
4.203,2.417,1.0754155,1.1568068,5.747273,1.0660305,1.1546899,5.7574774
4.204,2.418,1.077405,1.1573222,5.745676,1.068042,1.1551636,5.7559346
4.205,2.419,1.0793945,1.1578376,5.744079,1.0700535,1.1556373,5.7543918
4.206,2.42,1.081384,1.158353,5.742482,1.072065,1.156111,5.752849
4.207,2.421,1.0835488,1.1589881,5.7409073,1.0742151,1.156618,5.7512213
4.208,2.422,1.0857136,1.1596232,5.7393326,1.0763652,1.157125,5.7495936
4.209,2.423,1.0878784,1.1602583,5.7377579,1.0785153,1.157632,5.7479659
4.21,2.424,1.0900432,1.1608934,5.7361832,1.0806654,1.158139,5.7463382
4.211,2.425,1.092208,1.1615285,5.7346085,1.0828155,1.158646,5.7447105
4.212,2.426,1.0943728,1.1621636,5.7330338,1.0849656,1.159153,5.7430828
4.213,2.427,1.0965376,1.1627987,5.7314591,1.0871157,1.15966,5.7414551
4.214,2.428,1.0987024,1.1634338,5.7298844,1.0892658,1.160167,5.7398274
4.215,2.429,1.1008672,1.1640689,5.7283097,1.0914159,1.160674,5.7381997
4.216,2.43,1.103032,1.164704,5.726735,1.093566,1.161181,5.736572
4.217,2.431,1.1054931,1.1650005,5.7249147,1.0959112,1.1615997,5.7346542
4.218,2.432,1.1079542,1.165297,5.7230944,1.0982564,1.1620184,5.7327364
4.219,2.433,1.1104153,1.1655935,5.7212741,1.1006016,1.1624371,5.7308186
4.22,2.434,1.1128764,1.16589,5.7194538,1.1029468,1.1628558,5.7289008
4.221,2.435,1.1153375,1.1661865,5.7176335,1.105292,1.1632745,5.726983
4.222,2.436,1.1177986,1.166483,5.7158132,1.1076372,1.1636932,5.7250652
4.223,2.437,1.1202597,1.1667795,5.7139929,1.1099824,1.1641119,5.7231474
4.224,2.438,1.1227208,1.167076,5.7121726,1.1123276,1.1645306,5.7212296
4.225,2.439,1.1251819,1.1673725,5.7103523,1.1146728,1.1649493,5.7193118
4.226,2.44,1.127643,1.167669,5.708532,1.117018,1.165368,5.717394
4.227,2.441,1.1301487,1.1676161,5.7066123,1.119526,1.1655068,5.715515
4.228,2.442,1.1326544,1.1675632,5.7046926,1.122034,1.1656456,5.713636
4.229,2.443,1.1351601,1.1675103,5.7027729,1.124542,1.1657844,5.711757
4.23,2.444,1.1376658,1.1674574,5.7008532,1.12705,1.1659232,5.709878
4.231,2.445,1.1401715,1.1674045,5.6989335,1.129558,1.166062,5.707999
4.232,2.446,1.1426772,1.1673516,5.6970138,1.132066,1.1662008,5.70612
4.233,2.447,1.1451829,1.1672987,5.6950941,1.134574,1.1663396,5.704241
4.234,2.448,1.1476886,1.1672458,5.6931744,1.137082,1.1664784,5.702362
4.235,2.449,1.1501943,1.1671929,5.6912547,1.13959,1.1666172,5.700483
4.236,2.45,1.1527,1.16714,5.689335,1.142098,1.166756,5.698604
4.237,2.451,1.1555182,1.1668932,5.6874851,1.1446771,1.1666282,5.6967049
4.238,2.452,1.1583364,1.1666464,5.6856352,1.1472562,1.1665004,5.6948058
4.239,2.453,1.1611546,1.1663996,5.6837853,1.1498353,1.1663726,5.6929067
4.24,2.454,1.1639728,1.1661528,5.6819354,1.1524144,1.1662448,5.6910076
4.241,2.455,1.166791,1.165906,5.6800855,1.1549935,1.166117,5.6891085
4.242,2.456,1.1696092,1.1656592,5.6782356,1.1575726,1.1659892,5.6872094
4.243,2.457,1.1724274,1.1654124,5.6763857,1.1601517,1.1658614,5.6853103
4.244,2.458,1.1752456,1.1651656,5.6745358,1.1627308,1.1657336,5.6834112
4.245,2.459,1.1780638,1.1649188,5.6726859,1.1653099,1.1656058,5.6815121
4.246,2.46,1.180882,1.164672,5.670836,1.167889,1.165478,5.679613
4.247,2.461,1.1832118,1.1642769,5.6689873,1.1704015,1.1653292,5.6776936
4.248,2.462,1.1855416,1.1638818,5.6671386,1.172914,1.1651804,5.6757742
4.249,2.463,1.1878714,1.1634867,5.6652899,1.1754265,1.1650316,5.6738548
4.25,2.464,1.1902012,1.1630916,5.6634412,1.177939,1.1648828,5.6719354
4.251,2.465,1.192531,1.1626965,5.6615925,1.1804515,1.164734,5.670016
4.252,2.466,1.1948608,1.1623014,5.6597438,1.182964,1.1645852,5.6680966
4.253,2.467,1.1971906,1.1619063,5.6578951,1.1854765,1.1644364,5.6661772
4.254,2.468,1.1995204,1.1615112,5.6560464,1.187989,1.1642876,5.6642578
4.255,2.469,1.2018502,1.1611161,5.6541977,1.1905015,1.1641388,5.6623384
4.256,2.47,1.20418,1.160721,5.652349,1.193014,1.16399,5.660419
4.257,2.471,1.2064884,1.1606897,5.6505018,1.1954269,1.164043,5.6585714
4.258,2.472,1.2087968,1.1606584,5.6486546,1.1978398,1.164096,5.6567238
4.259,2.473,1.2111052,1.1606271,5.6468074,1.2002527,1.164149,5.6548762
4.26,2.474,1.2134136,1.1605958,5.6449602,1.2026656,1.164202,5.6530286
4.261,2.475,1.215722,1.1605645,5.643113,1.2050785,1.164255,5.651181
4.262,2.476,1.2180304,1.1605332,5.6412658,1.2074914,1.164308,5.6493334
4.263,2.477,1.2203388,1.1605019,5.6394186,1.2099043,1.164361,5.6474858
4.264,2.478,1.2226472,1.1604706,5.6375714,1.2123172,1.164414,5.6456382
4.265,2.479,1.2249556,1.1604393,5.6357242,1.2147301,1.164467,5.6437906
4.266,2.48,1.227264,1.160408,5.633877,1.217143,1.16452,5.641943
4.267,2.481,1.2295684,1.1606939,5.6322627,1.2193458,1.1647691,5.640251
4.268,2.482,1.2318728,1.1609798,5.6306484,1.2215486,1.1650182,5.638559
4.269,2.483,1.2341772,1.1612657,5.6290341,1.2237514,1.1652673,5.636867
4.27,2.484,1.2364816,1.1615516,5.6274198,1.2259542,1.1655164,5.635175
4.271,2.485,1.238786,1.1618375,5.6258055,1.228157,1.1657655,5.633483
4.272,2.486,1.2410904,1.1621234,5.6241912,1.2303598,1.1660146,5.631791
4.273,2.487,1.2433948,1.1624093,5.6225769,1.2325626,1.1662637,5.630099
4.274,2.488,1.2456992,1.1626952,5.6209626,1.2347654,1.1665128,5.628407
