Frame,,,Time,X1,Y1,Z1,X2,Y2,Z2
232,4.11,4.106,2.32,0.887522,1.155731,5.934754,0.884112,1.159439,5.94693
233,4.12,4.116,2.33,0.905823,1.160706,5.916831,0.901719,1.162703,5.928883
234,4.13,4.126,2.34,0.924572,1.164359,5.898618,0.918559,1.165149,5.909765
235,4.14,4.136,2.35,0.945235,1.162778,5.877757,0.934474,1.162763,5.888815
236,4.15,4.146,2.36,0.964741,1.157454,5.855732,0.958426,1.159675,5.867038
237,4.16,4.156,2.37,0.985956,1.151336,5.83383,0.97993,1.154409,5.845025
238,4.17,4.166,2.38,1.007211,1.14714,5.812918,1.000893,1.150481,5.823898
239,4.18,4.176,2.39,1.026181,1.147151,5.793549,1.017972,1.149269,5.80439
240,4.19,4.186,2.4,1.044127,1.149752,5.775485,1.033454,1.149125,5.785697
241,4.2,4.196,2.41,1.061489,1.153199,5.758452,1.05195,1.151374,5.768277
242,4.21,4.206,2.42,1.081384,1.158353,5.742482,1.072065,1.156111,5.752849
243,4.22,4.216,2.43,1.103032,1.164704,5.726735,1.093566,1.161181,5.736572
244,4.23,4.226,2.44,1.127643,1.167669,5.708532,1.117018,1.165368,5.717394
245,4.24,4.236,2.45,1.1527,1.16714,5.689335,1.142098,1.166756,5.698604
246,4.25,4.246,2.46,1.180882,1.164672,5.670836,1.167889,1.165478,5.679613
247,4.26,4.256,2.47,1.20418,1.160721,5.652349,1.193014,1.16399,5.660419
248,4.27,4.266,2.48,1.227264,1.160408,5.633877,1.217143,1.16452,5.641943
249,4.28,4.276,2.49,1.250308,1.163267,5.617734,1.239171,1.167011,5.625023
250,4.29,4.286,2.5,1.272439,1.168748,5.602623,1.260772,1.170707,5.609075
251,4.3,4.296,2.51,1.294835,1.175323,5.588633,1.283266,1.176137,5.595981
252,4.31,4.306,2.52,1.317786,1.183349,5.575741,1.30613,1.182726,5.582935
253,4.32,4.316,2.53,1.342526,1.19172,5.562495,1.330779,1.190456,5.569488
254,4.33,4.326,2.54,1.369432,1.196649,5.547818,1.357507,1.196428,5.554747
255,4.34,4.336,2.55,1.397308,1.198307,5.531901,1.385759,1.199021,5.539972
256,4.35,4.346,2.56,1.425618,1.197449,5.516318,1.414737,1.199438,5.524302
257,4.36,4.356,2.57,1.454657,1.19588,5.500774,1.443845,1.199221,5.509031
258,4.37,4.366,2.58,1.481685,1.197334,5.48504,1.471499,1.201183,5.493848
259,4.38,4.376,2.59,1.506514,1.202442,5.470451,1.496409,1.205114,5.479603
260,4.39,4.386,2.6,1.5301,1.210228,5.456903,1.520464,1.211044,5.466425
261,4.4,4.396,2.61,1.553665,1.218893,5.444862,1.544384,1.21839,5.454824
262,4.41,4.406,2.62,1.577327,1.229405,5.433406,1.567824,1.227699,5.443554
263,4.42,4.416,2.63,1.601748,1.24023,5.421308,1.591652,1.237046,5.430513
264,4.43,4.426,2.64,1.629561,1.246073,5.407133,1.618549,1.244719,5.41609
265,4.44,4.436,2.65,1.658564,1.250071,5.392903,1.647969,1.250486,5.401814
266,4.45,4.446,2.66,1.68809,1.251943,5.379288,1.677235,1.253685,5.388703
267,4.46,4.456,2.67,1.718401,1.255266,5.369617,1.708037,1.256931,5.379049
268,4.47,4.466,2.68,1.744309,1.263152,5.356629,1.737012,1.262508,5.36702
269,4.48,4.476,2.69,1.764692,1.266042,5.333974,1.753941,1.266485,5.343313
270,4.49,4.486,2.7,1.792754,1.278939,5.330674,1.782354,1.274965,5.34014
271,4.5,4.496,2.71,1.826623,1.277038,5.329074,1.815785,1.272802,5.335567
272,4.51,4.506,2.72,1.842505,1.294344,5.308304,1.83515,1.290319,5.31785
273,4.52,4.516,2.73,1.862227,1.281428,5.284775,1.850435,1.287639,5.286826
274,4.53,4.526,2.74,1.886733,1.305511,5.276001,,,
275,4.54,4.536,2.75,1.923738,1.297964,5.275648,,,
276,4.55,4.546,2.76,1.940533,1.315383,5.259617,,,
277,4.56,4.556,2.77,1.944562,1.313998,5.235236,,,
278,4.57,4.566,2.78,1.980655,1.323436,5.224208,,,
279,4.58,4.576,2.79,2.00975,1.322636,5.22068,,,
280,4.59,4.586,2.8,2.028265,1.327372,5.198754,,,
281,4.6,4.596,2.81,2.04959,1.326223,5.187216,,,
282,4.61,4.606,2.82,2.071733,1.330105,5.178003,2.060942,1.331317,5.185841
283,4.62,4.616,2.83,2.090345,1.329142,5.159595,2.08067,1.332646,5.168961
284,4.63,4.626,2.84,2.11244,1.32797,5.148238,2.101351,1.331979,5.154894
285,4.64,4.636,2.85,2.133944,1.331674,5.135009,2.122752,1.33309,5.14238
286,4.65,4.646,2.86,2.155854,1.328886,5.122834,2.144208,1.330152,5.130288
287,4.66,4.656,2.87,2.179039,1.321092,5.110063,2.167922,1.323898,5.11768
288,4.67,4.666,2.88,2.202098,1.311325,5.098167,2.191658,1.316268,5.105746
289,4.68,4.676,2.89,2.221427,1.305583,5.085714,2.212442,1.311352,5.09411
290,4.69,4.686,2.9,2.239141,1.306845,5.070566,2.229859,1.310727,5.079944
