,X,Y,Z
1,0.039578,1.265746,3.128245
2,0.024315,1.254209,2.075241
3,0.008292,1.245451,1.025934
4,-0.002026,1.235682,-0.024674
5,1.003398,1.229418,-0.033528
6,2.031925,1.223672,-0.048021
7,2.452636,1.218943,-0.056277
8,3.467535,1.20276,-0.074519
9,4.461077,1.187776,-0.08765
10,4.476647,1.205391,0.958441
11,4.489233,1.217286,2.009679
12,4.50348,1.217767,3.087463
13,4.516126,1.223646,4.137156
14,4.530839,1.212689,5.174157
15,4.543619,1.241595,6.238311
16,4.550503,1.291429,6.993329
17,3.412277,1.266427,7.111997
18,2.614391,1.278723,7.062243
19,1.762337,1.300717,7.145213
20,0.933471,1.290177,7.171552
21,0.082534,1.368658,7.015567
22,0.078417,1.38201,6.284188
23,0.060935,1.305446,5.213755
24,0.049212,1.299148,4.166351
25,2.283603,2.333477,3.436621
