Time (Seconds),,X1,Y1,Z1,X2,Y2,Z2
6.31,4.2,2.738689,1.758986,6.743484,2.750703,1.761104,6.739889
6.32,4.21,2.699292,1.760426,6.763565,2.711072,1.762727,6.760199
6.33,4.22,2.659853,1.763214,6.782031,2.67049,1.765165,6.778541
6.34,4.23,2.620118,1.767651,6.79842,2.632329,1.768971,6.795856
6.35,4.24,2.579671,1.773953,6.812849,2.592208,1.774635,6.811328
6.36,4.25,2.539281,1.781446,6.825652,2.55432,1.780517,6.827049
6.37,4.26,2.498016,1.78762,6.838043,2.517098,1.785923,6.842938
6.38,4.27,2.457031,1.791859,6.851361,2.481521,1.790955,6.855873
6.39,4.28,2.411618,1.795182,6.866224,2.419003,1.798012,6.863685
6.4,4.29,2.360393,1.804627,6.871009,2.369349,1.797526,6.880753
6.41,4.3,2.305445,1.810829,6.877876,2.327825,1.799511,6.894348
6.42,4.31,2.285957,1.801333,6.907019,2.305357,1.797691,6.903389
6.43,4.32,2.244898,1.804109,6.917924,2.283651,1.796864,6.910405
6.44,4.33,2.204087,1.80864,6.927094,2.243648,1.800837,6.91995
6.45,4.34,2.16338,1.814807,6.934462,2.201819,1.806133,6.927336
6.46,4.35,2.121859,1.82167,6.940344,2.159917,1.812333,6.933949
6.47,4.36,2.079366,1.827005,6.946037,2.118067,1.8182,6.941044
6.48,4.37,2.036309,1.830758,6.952106,2.076854,1.822911,6.948032
6.49,4.38,1.992856,1.833688,6.958638,2.033675,1.826915,6.954819
6.5,4.39,1.950069,1.835688,6.965198,1.990902,1.83047,6.961545
6.51,4.4,1.907714,1.837496,6.971667,1.948395,1.833188,6.967958
6.52,4.41,1.865835,1.839039,6.977004,1.90647,1.83545,6.973815
6.53,4.42,1.824548,1.841655,6.980781,1.841165,1.844991,6.981441
6.54,4.43,1.799334,1.847623,6.984077,1.826965,1.840666,6.980353
6.55,4.44,1.775892,1.854423,6.982336,1.782801,1.843861,6.981805
6.56,4.45,1.702523,1.852854,6.978035,1.718101,1.85547,6.982514
6.57,4.46,1.661903,1.856915,6.973566,1.666466,1.857827,6.981339
6.58,4.47,1.619095,1.859979,6.964341,1.628778,1.861759,6.978642
6.59,4.48,1.577148,1.861577,6.970026,1.594012,1.864616,6.97107
6.6,4.49,1.53461,1.863267,6.974889,1.560734,1.867506,6.963799
6.61,4.5,1.492168,1.863985,6.978629,1.506449,1.866214,6.968392
6.62,4.51,1.45084,1.861423,6.98161,1.466281,1.866228,6.964995
6.63,4.52,1.411474,1.860747,6.979621,1.424869,1.866219,6.960722
6.64,4.53,1.374952,1.863075,6.944905,1.386023,1.866673,6.951456
6.65,4.54,1.334287,1.863889,6.933091,1.348513,1.867019,6.939361
6.66,4.55,1.29671,1.863401,6.919137,1.310706,1.866966,6.925652
6.67,4.56,1.257234,1.861978,6.907052,1.271341,1.865677,6.912046
6.68,4.57,1.218448,1.859466,6.892915,1.232086,1.863895,6.899339
6.69,4.58,1.181268,1.857033,6.878519,1.193989,1.861633,6.885638
6.7,4.59,1.145504,1.854817,6.862134,1.157782,1.85897,6.869648
6.71,4.6,1.111654,1.853157,6.843091,1.123937,1.857417,6.851321
6.72,4.61,1.080272,1.851346,6.821437,1.091626,1.855261,6.829994
6.73,4.62,1.048169,1.847675,6.799163,1.057963,1.852086,6.808507
6.74,4.63,1.014476,1.842295,6.777004,1.024728,1.84707,6.786325
6.75,4.64,0.982182,1.836601,6.754416,0.991882,1.841491,6.763873
6.76,4.65,0.950987,1.832296,6.73075,0.961944,1.837035,6.740041
6.77,4.66,0.923942,1.829656,6.70479,0.93307,1.833612,6.714836
6.78,4.67,0.898099,1.827435,6.677156,0.906683,1.831222,6.68745
6.79,4.68,0.872828,1.82435,6.648509,0.881648,1.828563,6.658828
6.8,4.69,0.846704,1.819455,6.619531,0.855336,1.82403,6.629987
6.81,4.7,0.821104,1.813962,6.590223,0.828465,1.818088,6.601062
6.82,4.71,0.79567,1.807726,6.560808,0.800459,1.811454,6.572021
6.83,4.72,0.771183,1.802548,6.530541,0.77883,1.806368,6.541497
6.84,4.73,0.749228,1.798548,6.499901,0.756283,1.80195,6.51079
6.85,4.74,0.729079,1.795666,6.467646,0.735548,1.798746,6.479215
6.86,4.75,0.709409,1.793093,6.434442,0.716573,1.796479,6.445902
6.87,4.76,0.693566,1.790547,6.400022,0.696633,1.793435,6.411814
6.88,4.77,0.673156,1.785538,6.365313,0.677401,1.789421,6.376719
6.89,4.78,0.652168,1.779185,6.330804,0.656426,1.783425,6.34225
6.9,4.79,0.628383,1.771931,6.297162,0.635511,1.776517,6.307887
6.91,4.8,0.608378,1.764905,6.262846,0.616512,1.769596,6.273674
6.92,4.81,0.589611,1.758062,6.228899,0.596908,1.761962,6.240033
6.93,4.82,0.571236,1.750966,6.194456,0.57803,1.754779,6.205854
6.94,4.83,0.554767,1.745345,6.158769,0.561581,1.748806,6.1705
6.95,4.84,0.538915,1.740601,6.123016,0.544172,1.743812,6.134734
6.96,4.85,0.525044,1.737911,6.085329,0.529923,1.740031,6.096758
6.97,4.86,0.511249,1.733618,6.046245,0.516939,1.73673,6.057913
6.98,4.87,0.497818,1.729112,6.007074,0.503306,1.731823,6.01903
6.99,4.88,0.482457,1.721824,5.967731,0.488335,1.725387,5.979445
7,4.89,0.465858,1.713356,5.928225,0.470729,1.717307,5.940134
7.01,4.9,0.450087,1.704643,5.890147,0.456074,1.708439,5.90118
7.02,4.91,0.434431,1.695073,5.850997,0.440702,1.698997,5.862553
7.03,4.92,0.421564,1.68668,5.813867,0.426922,1.689682,5.824295
7.04,4.93,0.409761,1.678842,5.773237,0.411977,1.680872,5.785574
7.05,4.94,0.399867,1.67273,5.734347,0.401794,1.674489,5.74561
7.06,4.95,0.390848,1.668739,5.697267,0.394642,1.670172,5.7047
7.07,4.96,0.398369,1.663375,5.687055,0.383459,1.665365,5.662391
7.08,4.97,0.381048,1.658477,5.607285,0.376,1.659424,5.619164
7.09,4.98,0.372312,1.650894,5.564367,0.36737,1.65213,5.576663
7.1,4.99,0.360355,1.641708,5.521384,0.36367,1.644443,5.533929
7.11,5,0.353106,1.633225,5.479869,0.354535,1.63554,5.491234
7.12,5.01,0.346449,1.625432,5.436736,0.347371,1.627531,5.448948
7.13,5.02,0.34289,1.619372,5.395008,0.343231,1.621673,5.406717
7.14,5.03,0.340476,1.61591,5.352024,0.340973,1.617553,5.364582
7.15,5.04,0.344278,1.614316,5.309455,0.339701,1.614306,5.321228
7.16,5.05,0.346249,1.612274,5.265104,0.342019,1.613313,5.27737
7.17,5.06,0.345572,1.608445,5.220373,0.345591,1.610353,5.232999
7.18,5.07,0.345914,1.602769,5.175684,0.345907,1.60509,5.187937
7.19,5.08,0.345481,1.595735,5.130201,0.345844,1.598035,5.142735
7.2,5.09,0.348189,1.587809,5.085599,0.346236,1.590666,5.098029
7.21,5.1,0.350651,1.580804,5.041468,0.348609,1.583627,5.053843
7.22,5.11,0.351462,1.57509,4.998315,0.351348,1.577211,5.010742
7.23,5.12,0.355126,1.571561,4.954368,0.352646,1.571698,4.967011
7.24,5.13,0.360253,1.569397,4.911152,0.355264,1.569359,4.92341
7.25,5.14,0.36655,1.569372,4.867413,0.36,1.568246,4.883591
7.26,5.15,0.374529,1.570023,4.823849,0.373168,1.569152,4.860744
7.27,5.16,0.382102,1.56915,4.77768,0.379343,1.566863,4.816047
7.28,5.17,0.388717,1.565535,4.732236,0.385889,1.564206,4.771203
7.29,5.18,0.395265,1.561119,4.685971,0.391304,1.560471,4.724658
7.3,5.19,0.402585,1.554761,4.639649,0.398382,1.556065,4.679667
7.31,5.2,0.409881,1.548177,4.594413,0.404138,1.551092,4.633824
7.32,5.21,0.417053,1.541402,4.549561,0.411601,1.545053,4.587424
7.33,5.22,0.425228,1.535247,4.50534,0.419532,1.538907,4.543787
7.34,5.23,0.43373,1.530068,4.461033,0.427644,1.532903,4.499616
7.35,5.24,0.443333,1.526262,4.41748,0.437014,1.527977,4.455491
7.36,5.25,0.453238,1.523768,4.373149,0.448126,1.524693,4.410991
7.37,5.26,0.46463,1.522981,4.328797,0.461561,1.522882,4.367254
7.38,5.27,0.476918,1.523365,4.284536,0.473984,1.521693,4.322966
7.39,5.28,0.489648,1.522617,4.239741,0.485673,1.520478,4.278117
7.4,5.29,0.503059,1.518815,4.194245,0.497115,1.518442,4.233047
7.41,5.3,0.515399,1.514414,4.148376,0.509292,1.514973,4.187725
7.42,5.31,0.527958,1.509805,4.103132,0.521685,1.511458,4.142643
7.43,5.32,0.540933,1.505231,4.059289,0.534166,1.507623,4.098298
7.44,5.33,0.554872,1.503371,4.015537,0.547515,1.50386,4.055007
7.45,5.34,0.569507,1.503404,3.97368,0.56257,1.501998,4.0124
7.46,5.35,0.58496,1.506593,3.931387,0.579159,1.502094,3.970146
7.47,5.36,0.600314,1.51015,3.889753,0.595134,1.503731,3.928021
7.48,5.37,0.616666,1.511595,3.846838,0.609642,1.505315,3.885612
7.49,5.38,0.633627,1.510466,3.803741,0.62498,1.505905,3.842675
7.5,5.39,0.65106,1.507942,3.759175,0.641446,1.505731,3.799869
7.51,5.4,0.667381,1.504215,3.717512,0.658045,1.506026,3.760376
7.52,5.41,0.684204,1.500958,3.675308,0.674621,1.504632,3.71737
7.53,5.42,0.700544,1.498511,3.634026,0.690834,1.502276,3.674206
7.54,5.43,0.717696,1.496323,3.592941,0.706832,1.499435,3.632671
7.55,5.44,0.734042,1.494213,3.551513,0.722697,1.496448,3.591837
7.56,5.45,0.74976,1.492859,3.509716,0.738623,1.493848,3.551285
7.57,5.46,0.764757,1.492421,3.468069,0.753967,1.492088,3.50991
7.58,5.47,0.778893,1.49269,3.425931,0.770325,1.491455,3.47067
7.59,5.48,0.792046,1.492149,3.38449,0.785371,1.492175,3.43362
7.6,5.49,0.805921,1.491675,3.343089,0.803143,1.492595,3.377278
7.61,5.5,0.82072,1.489664,3.300571,0.821588,1.491551,3.309014
7.62,5.51,0.83502,1.486046,3.2567,0.83353,1.487754,3.268821
7.63,5.52,0.846219,1.479606,3.222917,0.839831,1.48215,3.255994
7.64,5.53,0.858947,1.475134,3.181106,0.853672,1.478301,3.212414
7.65,5.54,0.873269,1.4721,3.141218,0.867316,1.47393,3.169493
7.66,5.55,0.890394,1.464917,3.087499,0.886428,1.466333,3.100071
7.67,5.56,0.900779,1.462372,3.057811,0.893402,1.463979,3.083524
7.68,5.57,0.916092,1.454906,3.003881,0.913503,1.457,3.017052
7.69,5.58,0.92877,1.45068,2.961904,0.928574,1.453047,2.973322
7.7,5.59,0.942216,1.448195,2.919567,0.938198,1.448812,2.931875
7.71,5.6,0.954864,1.447982,2.877809,0.95344,1.448904,2.889953
7.72,5.61,0.968881,1.448748,2.835135,0.9642,1.448596,2.847124
7.73,5.62,0.980111,1.448762,2.791796,0.977764,1.449966,2.804385
7.74,5.63,0.992489,1.447527,2.748165,0.990113,1.449227,2.760681
7.75,5.64,1.004354,1.445213,2.703567,1.001836,1.446446,2.716054
7.76,5.65,1.017446,1.441468,2.660059,1.014239,1.442513,2.672263
7.77,5.66,1.030787,1.437447,2.617203,1.026912,1.438709,2.63021
7.78,5.67,1.044341,1.433504,2.574669,1.039703,1.434613,2.587075
7.79,5.68,1.057683,1.431273,2.532279,1.052983,1.432142,2.545096
7.8,5.69,1.069514,1.430764,2.489939,1.066032,1.431609,2.50257
7.81,5.7,1.081936,1.432423,2.44785,1.07874,1.432541,2.460544
7.82,5.71,1.09708,1.436889,2.407371,1.091661,1.435983,2.419005
7.83,5.72,1.108797,1.44152,2.365488,1.104836,1.440209,2.377722
7.84,5.73,1.122209,1.444623,2.323664,1.11823,1.443308,2.335775
7.85,5.74,1.13572,1.445992,2.280767,1.131676,1.445157,2.292243
7.86,5.75,1.148785,1.445924,2.237212,1.145685,1.446058,2.249161
7.87,5.76,1.163212,1.445332,2.194099,1.159715,1.445824,2.206364
7.88,5.77,1.177204,1.444898,2.152042,1.173649,1.445324,2.164161
7.89,5.78,1.190828,1.445236,2.110879,1.187498,1.445136,2.12293
7.9,5.79,1.205314,1.44655,2.071015,1.201207,1.44659,2.082777
7.91,5.8,1.220632,1.450993,2.032044,1.214836,1.449509,2.043547
7.92,5.81,1.235874,1.456406,1.993553,1.229488,1.45437,2.005102
7.93,5.82,1.251988,1.463381,1.955276,1.245748,1.46135,1.966665
7.94,5.83,1.268873,1.469984,1.916741,1.262437,1.468011,1.927809
7.95,5.84,1.284366,1.474954,1.876668,1.279279,1.473328,1.888501
7.96,5.85,1.299395,1.477793,1.836711,1.294811,1.476929,1.84836
7.97,5.86,1.314316,1.479347,1.796008,1.309777,1.479711,1.80806
7.98,5.87,1.330122,1.480669,1.756434,1.325463,1.481514,1.767795
7.99,5.88,1.34538,1.482139,1.717208,1.34103,1.483045,1.728858
8,5.89,1.363815,1.484621,1.679668,1.356704,1.484593,1.690345
8.01,5.9,1.380911,1.487952,1.642806,1.373277,1.487651,1.65314
8.02,5.91,1.398597,1.493469,1.606021,1.391187,1.491845,1.617752
8.03,5.92,1.419103,1.498318,1.573835,1.410357,1.497244,1.582981
8.04,5.93,1.441102,1.504729,1.540804,1.431917,1.503696,1.54926
8.05,5.94,1.462859,1.510274,1.505231,1.454446,1.508934,1.51528
8.06,5.95,1.484746,1.513658,1.470147,1.476304,1.513283,1.480348
8.07,5.96,1.505951,1.515625,1.434221,1.497787,1.515863,1.444333
8.08,5.97,1.527178,1.516856,1.39824,1.518984,1.516977,1.408185
8.09,5.98,1.54794,1.51686,1.361425,1.540799,1.517871,1.372008
