Time (Seconds),Unnamed: 1,X1,Y1,Z1,X2,Y2,Z2,Pxy,Pxz
53.07,50.37,3.070692,1.227189,6.766937,3.08141,1.233483,6.771847,-155.38711229203759,-149.57699230307432
53.08,50.38,3.043558,1.210882,6.758566,3.055301,1.217147,6.763451,-157.4130554918681,-151.91966311318805
53.09,50.39,3.016417,1.194183,6.749052,3.023597,1.20165,6.752421,-154.86308857349067,-133.87746400620048
53.1,50.4,2.990381,1.177416,6.738207,3.000712,1.183703,6.744114,-150.24018937422036,-148.67711358403074
53.11,50.41,2.964349,1.162041,6.725225,2.975834,1.16802,6.732088,-149.13906348127136,-152.49887184523377
53.12,50.42,2.939341,1.148097,6.710394,2.949944,1.153991,6.717602,-145.7918365719274,-150.93117482973176
53.13,50.43,2.916021,1.134403,6.693698,2.9257,1.139921,6.701352,-141.6636105895515,-150.31252608887002
53.14,50.44,2.890373,1.118827,6.676034,2.900803,1.124232,6.683722,-143.60590534236815,-152.60605572308302
53.15,50.45,2.865572,1.100461,6.658175,2.875856,1.106386,6.665616,-144.11233814657234,-150.05213412825321
53.16,50.46,2.840128,1.081197,6.63988,2.850308,1.087597,6.647472,-143.2853066185528,-147.8430944560313
53.17,50.47,2.815503,1.062291,6.621308,2.826423,1.067767,6.629406,-143.4402892030713,-153.36782830360457
53.18,50.48,2.791826,1.04511,6.601604,2.801355,1.050709,6.609655,-139.8057158017491,-149.562579511875
53.19,50.49,2.767627,1.030395,6.580279,2.777528,1.03491,6.588911,-138.91706859766583,-155.48632433525168
53.2,50.5,2.742823,1.017199,6.555933,2.756869,1.019909,6.567232,-141.1858162645699,-169.07967910549058
53.21,50.51,2.723856,1.002086,6.532301,2.731564,1.007323,6.540923,-131.7964629448337,-145.80687215418914
53.22,50.52,2.699705,0.987172,6.506156,2.711244,0.991017,6.516039,-139.42038490443323,-161.57100986662226
53.23,50.53,2.678098,0.969287,6.4815,2.688535,0.974016,6.490502,-139.22195476420174,-155.62474119249603
53.24,50.54,2.655865,0.951973,6.456347,2.665483,0.956339,6.465956,-135.02681967951065,-155.58477660753482
53.25,50.55,2.633525,0.934174,6.430415,2.642601,0.939022,6.439898,-133.74370143709734,-151.89082783839942
53.26,50.56,2.612505,0.918277,6.402708,2.621145,0.922968,6.413207,-129.45217768320674,-151.50070291843267
53.27,50.57,2.591978,0.904036,6.374394,2.60063,0.908558,6.384951,-129.33636697437203,-152.40601401723202
53.28,50.58,2.572244,0.89244,6.344128,2.580948,0.896369,6.354915,-128.89996222599297,-155.70550479125828
53.29,50.59,2.552811,0.881343,6.312749,2.561647,0.884728,6.323652,-129.02197085705134,-159.03856855029
53.3,50.6,2.534261,0.868147,6.280689,2.542012,0.871712,6.291942,-124.55884134548776,-155.3003763252279
53.31,50.61,2.514687,0.853009,6.248048,2.522211,0.857092,6.259404,-123.52675236578852,-151.51293263145382
53.32,50.62,2.496454,0.837421,6.215946,2.502701,0.841034,6.228,-117.39550341168304,-149.95673152781214
53.33,50.63,2.477391,0.821449,6.183464,2.483237,0.825398,6.195643,-115.64131170604698,-145.96079204701232
53.34,50.64,2.458406,0.806487,6.150759,2.463828,0.810703,6.162641,-114.52818545533937,-142.13233288308575
53.35,50.65,2.439254,0.79363,6.117708,2.445296,0.797234,6.129982,-116.20918134645626,-149.18429424826996
53.36,50.66,2.420704,0.78243,6.083796,2.427278,0.785686,6.096037,-118.23791646606841,-153.65150096963865
53.37,50.67,2.402542,0.773445,6.048457,2.409313,0.776088,6.060791,-118.76547963272311,-158.67725186683654
53.38,50.68,2.384601,0.76507,6.012002,2.391444,0.767004,6.024443,-118.81238483570094,-164.2184039071898
53.39,50.69,2.36689,0.755879,5.975298,2.373641,0.756403,5.987707,-118.54798639648854,-175.56170736721495
53.4,50.7,2.35012,0.743103,5.937415,2.35642,0.744403,5.949796,-116.96900352431165,-168.34070734647628
53.41,50.71,2.332909,0.728698,5.899066,2.339586,0.730711,5.911416,-118.39777393575358,-163.22284948139793
53.42,50.72,2.31535,0.714229,5.861662,2.322286,0.716365,5.873704,-119.94125657302557,-162.88334062044814
53.43,50.73,2.297768,0.700766,5.824185,2.304582,0.703009,5.83619,-119.57910697986043,-161.77973570283928
53.44,50.74,2.279521,0.689425,5.786933,2.286882,0.691579,5.798868,-121.66451881305134,-163.68929522268672
53.45,50.75,2.261043,0.681055,5.749734,2.268992,0.682388,5.761575,-123.87391792120908,-170.48041358528516
53.46,50.76,2.242763,0.67541,5.71194,2.250478,0.675955,5.723962,-122.68991850572495,-175.95924656361404
53.47,50.77,2.223675,0.669968,5.673047,2.231225,0.670816,5.685032,-122.2090454145193,-173.59151772681798
53.48,50.78,2.20395,0.663624,5.633995,2.21159,0.664372,5.645773,-122.97014422357411,-174.4082344611242
