Time (Seconds),,X1,Y1,Z1,X2,Y2,Z2
151.22,148.52,2.446384,1.406371,7.044837,2.459888,1.410671,7.049229
151.23,148.53,2.416076,1.395306,7.039147,2.432027,1.402042,7.04875
151.24,148.54,2.385519,1.385325,7.032473,2.400434,1.390827,7.039474
151.25,148.55,2.354376,1.376632,7.024402,2.368037,1.380257,7.028866
151.26,148.56,2.322598,1.367425,7.015758,2.336215,1.371086,7.020081
151.27,148.57,2.290645,1.356834,7.007045,2.304087,1.360728,7.011508
151.28,148.58,2.258491,1.343987,6.998318,2.271404,1.348346,7.003198
151.29,148.59,2.226311,1.330268,6.989646,2.238471,1.335127,6.994941
151.3,148.6,2.194608,1.316202,6.980816,2.201418,1.323439,6.98244
151.31,148.61,2.163674,1.303127,6.971291,2.175492,1.307726,6.977716
151.32,148.62,2.133033,1.291876,6.96086,2.150475,1.292997,6.973598
151.33,148.63,2.101186,1.281064,6.948901,2.113395,1.284285,6.956427
151.34,148.64,2.069891,1.271546,6.936265,2.082012,1.274487,6.943414
151.35,148.65,2.037164,1.262416,6.922015,2.049655,1.265371,6.929095
151.36,148.66,2.004921,1.251471,6.907402,2.016913,1.254817,6.914561
151.37,148.67,1.972552,1.238546,6.892565,1.983427,1.24292,6.9009
151.38,148.68,1.941117,1.225583,6.877906,1.949768,1.229729,6.888112
151.39,148.69,1.909235,1.211776,6.862604,1.916846,1.216219,6.87332
151.4,148.7,1.876614,1.19889,6.847108,1.885362,1.203406,6.857387
151.41,148.71,1.844261,1.188276,6.830677,1.853543,1.192845,6.840513
151.42,148.72,1.812146,1.180805,6.812651,1.821868,1.184626,6.822417
151.43,148.73,1.779804,1.174471,6.793331,1.789963,1.177341,6.803066
151.44,148.74,1.747026,1.166144,6.773425,1.75719,1.168728,6.782895
151.45,148.75,1.714132,1.15532,6.753084,1.724216,1.158402,6.762643
151.46,148.76,1.681509,1.142916,6.73284,1.691181,1.146412,6.742345
151.47,148.77,1.648664,1.130389,6.712683,1.658386,1.13406,6.72209
151.48,148.78,1.615853,1.119008,6.691984,1.626083,1.122662,6.701149
151.49,148.79,1.583684,1.10991,6.670617,1.594241,1.1134,6.679412
151.5,148.8,1.551997,1.102968,6.648338,1.562677,1.105842,6.657255
151.51,148.81,1.520344,1.097698,6.624579,1.530847,1.100493,6.633496
151.52,148.82,1.488341,1.092938,6.599604,1.499136,1.09536,6.60899
151.53,148.83,1.456727,1.085973,6.574776,1.467403,1.088527,6.583608
151.54,148.84,1.424273,1.077529,6.549318,1.434909,1.080757,6.558053
151.55,148.85,1.39196,1.067759,6.524282,1.402572,1.071467,6.533007
151.56,148.86,1.360297,1.058028,6.498935,1.370714,1.061655,6.50762
151.57,148.87,1.32915,1.049631,6.473326,1.339559,1.052861,6.482431
151.58,148.88,1.299378,1.043697,6.447222,1.30935,1.045917,6.457065
151.59,148.89,1.269932,1.039289,6.420284,1.279682,1.040347,6.430649
151.6,148.9,1.240701,1.036334,6.391629,1.250557,1.037458,6.401849
151.61,148.91,1.211093,1.03412,6.361965,1.22127,1.035412,6.371944
151.62,148.92,1.181771,1.030699,6.332276,1.191593,1.031834,6.342169
151.63,148.93,1.151573,1.025473,6.302175,1.161366,1.027116,6.312055
151.64,148.94,1.121267,1.018415,6.272029,1.131197,1.020862,6.281977
151.65,148.95,1.091941,1.011061,6.242148,1.101496,1.013831,6.252039
151.66,148.96,1.063522,1.00467,6.21231,1.072815,1.007102,6.222309
151.67,148.97,1.036284,1.000689,6.182139,1.045185,1.002428,6.192734
151.68,148.98,1.010428,0.998396,6.151563,1.018349,0.999041,6.162832
151.69,148.99,0.984529,0.997487,6.119154,0.992082,0.99779,6.130828
151.7,149,0.959217,0.997858,6.085401,0.967654,0.998085,6.09695
151.71,149.01,0.933358,0.996931,6.051744,0.943353,0.998015,6.062982
151.72,149.02,0.907154,0.994426,6.017504,0.916852,0.995305,6.028607
151.73,149.03,0.879018,0.989183,5.983686,0.890466,0.991311,5.992639
151.74,149.04,0.848435,0.981561,5.949888,0.863876,0.985397,5.956189
151.75,149.05,0.823741,0.975871,5.916911,0.837815,0.98028,5.921021
151.76,149.06,0.800808,0.973918,5.882751,0.812007,0.977143,5.887437
151.77,149.07,0.779295,0.974843,5.847276,0.787157,0.975768,5.852565
151.78,149.08,0.760448,0.978306,5.812346,0.763452,0.977486,5.816031
151.79,149.09,0.739759,0.980663,5.77647,0.741826,0.979539,5.779531
151.8,149.1,0.717009,0.981362,5.739286,0.723158,0.98174,5.743247
151.81,149.11,0.694633,0.981226,5.701666,0.705651,0.983314,5.707397
151.82,149.12,0.675067,0.981082,5.664481,0.687506,0.983486,5.672201
151.83,149.13,0.657718,0.981209,5.627806,0.668444,0.982697,5.637405
151.84,149.14,0.642206,0.983529,5.591083,0.650752,0.983517,5.602917
151.85,149.15,0.627301,0.987549,5.555201,0.634362,0.986284,5.567554
151.86,149.16,0.611475,0.993766,5.518139,0.618543,0.991343,5.530724
151.87,149.17,0.595301,0.999654,5.480087,0.602728,0.997406,5.492159
151.88,149.18,0.578619,1.003295,5.440817,0.586194,1.001907,5.453084
151.89,149.19,0.561678,1.004562,5.401607,0.56936,1.004501,5.413646
151.9,149.2,0.545093,1.004498,5.361618,0.55264,1.005362,5.374263
151.91,149.21,0.529518,1.004092,5.322419,0.536441,1.006106,5.335005
151.92,149.22,0.514817,1.004796,5.283716,0.521006,1.008127,5.296486
151.93,149.23,0.501621,1.007441,5.245481,0.507348,1.010929,5.258535
151.94,149.24,0.489369,1.012565,5.209211,0.495797,1.014712,5.221132
151.95,149.25,0.479051,1.020288,5.170419,0.485228,1.020948,5.183631
151.96,149.26,0.469506,1.028292,5.132413,0.47554,1.027778,5.145385
151.97,149.27,0.459908,1.034888,5.093637,0.465257,1.033041,5.106797
151.98,149.28,0.44985,1.039225,5.053925,0.454843,1.037547,5.06729
151.99,149.29,0.440345,1.042018,5.014382,0.444146,1.040487,5.02809
152,149.3,0.431344,1.044357,4.975573,0.433751,1.042341,4.989434
152.01,149.31,0.422224,1.046318,4.935975,0.424887,1.044458,4.949965
152.02,149.32,0.413826,1.049082,4.897319,0.416958,1.047571,4.911084
152.03,149.33,0.406899,1.053356,4.858888,0.409758,1.051968,4.872704
152.04,149.34,0.401202,1.05983,4.820981,0.403849,1.057871,4.834948
152.05,149.35,0.396668,1.067886,4.782945,0.398972,1.065808,4.796946
152.06,149.36,0.393403,1.075669,4.744843,0.394029,1.072993,4.759107
152.07,149.37,0.390091,1.081033,4.705534,0.390714,1.078482,4.719203
152.08,149.38,0.387061,1.083914,4.664598,0.388368,1.082532,4.678821
152.09,149.39,0.383833,1.086348,4.624548,0.385038,1.085213,4.638789
152.1,149.4,0.380148,1.088843,4.585289,0.381533,1.088082,4.599286
152.11,149.41,0.3773,1.092693,4.546964,0.378161,1.091376,4.560894
152.12,149.42,0.375671,1.098476,4.509843,0.376013,1.096094,4.523959
152.13,149.43,0.375589,1.105978,4.474145,0.374593,1.102177,4.487817
152.14,149.44,0.377442,1.115443,4.437661,0.376013,1.110855,4.451274
152.15,149.45,0.379183,1.124057,4.399634,0.378146,1.119702,4.413349
152.16,149.46,0.38051,1.131107,4.360797,0.38017,1.128013,4.375112
152.17,149.47,0.381145,1.137248,4.321548,0.381372,1.135422,4.33563
152.18,149.48,0.382328,1.142425,4.283247,0.38205,1.140892,4.297591
152.19,149.49,0.384544,1.147231,4.246027,0.383946,1.145462,4.260012
152.2,149.5,0.388397,1.153149,4.209866,0.386626,1.150769,4.223924
152.21,149.51,0.394031,1.160454,4.175611,0.390597,1.157014,4.189145
152.22,149.52,0.400675,1.169434,4.14115,0.396228,1.165142,4.154654
152.23,149.53,0.407822,1.179124,4.105979,0.403875,1.175016,4.119822
152.24,149.54,0.414624,1.18823,4.070694,0.41123,1.184223,4.084147
152.25,149.55,0.421409,1.195212,4.03411,0.418429,1.192508,4.047753
152.26,149.56,0.428447,1.200133,3.997021,0.425902,1.198592,4.010764
152.27,149.57,0.435683,1.203989,3.960493,0.433282,1.203243,3.974338
152.28,149.58,0.443415,1.208234,3.92475,0.440567,1.207135,3.938727
152.29,149.59,0.451801,1.213053,3.89014,0.447416,1.210863,3.904747
152.3,149.6,0.460713,1.218143,3.856999,0.456117,1.217004,3.872839
152.31,149.61,0.470352,1.224404,3.823528,0.466203,1.221946,3.837249
152.32,149.62,0.480917,1.231452,3.790641,0.476868,1.229044,3.804297
152.33,149.63,0.492118,1.239221,3.757707,0.488366,1.23705,3.771176
152.34,149.64,0.503887,1.245884,3.724552,0.5003,1.243782,3.738148
152.35,149.65,0.516457,1.250347,3.691175,0.512661,1.24865,3.704323
152.36,149.66,0.529748,1.253113,3.657175,0.525639,1.252249,3.670457
152.37,149.67,0.542602,1.254691,3.623563,0.538066,1.254162,3.63677
152.38,149.68,0.555634,1.255612,3.590277,0.55026,1.254565,3.603388
152.39,149.69,0.568358,1.255736,3.556689,0.563332,1.255458,3.569847
152.4,149.7,0.581335,1.255829,3.523426,0.576013,1.256212,3.536813
152.41,149.71,0.5946,1.256926,3.490772,0.589823,1.257262,3.504314
152.42,149.72,0.607951,1.259457,3.45909,0.60321,1.259836,3.472513
