Time (Seconds),,X1,Y1,Z1,X2,Y2,Z2
9.31,6.03,3.746986,1.97937,6.183498,3.744565,1.986159,6.19326
9.32,6.04,3.759598,1.975678,6.147944,3.758471,1.981864,6.15773
9.33,6.05,3.773235,1.97037,6.109806,3.770036,1.977363,6.119081
9.34,6.06,3.786614,1.963975,6.071953,3.784189,1.971035,6.081405
9.35,6.07,3.799825,1.955695,6.034145,3.797355,1.962602,6.043545
9.36,6.08,3.811044,1.9464,5.996022,3.811581,1.953236,6.00599
9.37,6.09,3.824881,1.937836,5.958813,3.824385,1.944435,5.96846
9.38,6.1,3.835353,1.929377,5.920374,3.834616,1.936984,5.929797
9.39,6.11,3.848085,1.922997,5.881953,3.846282,1.930266,5.891373
9.4,6.12,3.857961,1.917654,5.843085,3.855611,1.924777,5.852565
9.41,6.13,3.865293,1.9138,5.803279,3.863504,1.920318,5.813106
9.42,6.14,3.87182,1.909952,5.761663,3.870492,1.916031,5.771838
9.43,6.15,3.877656,1.903589,5.720054,3.876925,1.909873,5.730083
9.44,6.16,3.884646,1.895006,5.677968,3.883126,1.901405,5.688054
9.45,6.17,3.892118,1.885066,5.635998,3.89085,1.891754,5.645945
9.46,6.18,3.89916,1.875449,5.594145,3.898221,1.882749,5.603829
9.47,6.19,3.904824,1.866824,5.551939,3.905131,1.873734,5.562229
9.48,6.2,3.910086,1.859971,5.510428,3.909346,1.866635,5.520398
9.49,6.21,3.913355,1.85384,5.468659,3.914221,1.860224,5.478741
9.5,6.22,3.916087,1.848694,5.426022,3.916344,1.855219,5.436191
9.51,6.23,3.918139,1.844751,5.381911,3.918514,1.851555,5.391938
9.52,6.24,3.92014,1.840562,5.336632,3.918722,1.847473,5.346956
9.53,6.25,3.920581,1.834241,5.29177,3.920208,1.841298,5.30187
9.54,6.26,3.921006,1.826131,5.24684,3.92075,1.83306,5.257202
9.55,6.27,3.921867,1.817203,5.201981,3.921456,1.82456,5.212104
9.56,6.28,3.922772,1.809275,5.15727,3.921962,1.816307,5.167489
9.57,6.29,3.92356,1.803082,5.112479,3.922802,1.809907,5.122774
9.58,6.3,3.923906,1.798247,5.068062,3.923757,1.80479,5.07844
9.59,6.31,3.923804,1.795411,5.023143,3.924409,1.801717,5.033443
9.6,6.32,3.921822,1.795247,4.977827,3.922208,1.800489,4.988874
9.61,6.33,3.919413,1.795284,4.93141,3.920301,1.8001,4.942716
9.62,6.34,3.91706,1.79212,4.884203,3.917545,1.797669,4.89516
9.63,6.35,3.914808,1.787992,4.837009,3.914918,1.793366,4.848612
9.64,6.36,3.912106,1.783388,4.79113,3.912695,1.788627,4.80201
9.65,6.37,3.909565,1.78033,4.745127,3.910277,1.785028,4.7563
9.66,6.38,3.907842,1.778453,4.699909,3.90903,1.782879,4.711
9.67,6.39,3.906073,1.779421,4.655477,3.90673,1.783829,4.666275
9.68,6.4,3.902584,1.783374,4.610744,3.905639,1.786236,4.622431
9.69,6.41,3.900875,1.787558,4.565583,3.904557,1.788719,4.578627
9.7,6.42,3.899193,1.791942,4.520849,3.903491,1.791348,4.534899
9.71,6.43,3.897104,1.796948,4.47606,3.902436,1.794115,4.491248
9.72,6.44,3.895607,1.801179,4.431232,3.901388,1.797011,4.447667
9.73,6.45,3.894288,1.806117,4.387417,3.900343,1.800026,4.404155
9.74,6.46,3.893958,1.812401,4.344774,3.899296,1.803153,4.360711
9.75,6.47,3.893605,1.819336,4.302402,3.898243,1.806383,4.31733
9.76,6.48,3.893388,1.826323,4.259131,3.897181,1.809706,4.27401
