Time (Seconds),Unnamed: 1,X1,Y1,Z1,X2,Y2,Z2,Pxy,Pxz
5.19,0.0,3.802457,1.31908,5.463621,3.80313,1.321598,5.476416,-93.01090724330642,-104.9639860770253
5.2,0.01,3.811087,1.313041,5.419442,3.81185,1.315517,5.432412,-93.36671962389394,-107.12711706896185
5.21,0.02,3.81595,1.308312,5.375781,3.817103,1.31083,5.388575,-95.14960570174294,-114.60319016803307
5.22,0.03,3.818766,1.305952,5.330792,3.819267,1.307636,5.343596,-92.2407489428635,-106.56805421413684
5.23,0.04,3.817622,1.304672,5.28618,3.819404,1.306252,5.299096,-97.85541484173491,-138.43838502980952
5.24,0.05,3.815361,1.304274,5.240449,3.817593,1.305528,5.253477,-99.7217192385183,-150.67150511904165
5.25,0.06,3.812485,1.301387,5.194337,3.815059,1.303043,5.207312,-101.22073838679789,-147.2445278702525
5.26,0.07,3.810702,1.296966,5.148145,3.813291,1.298502,5.161093,-101.30737952746786,-149.3202229586001
5.27,0.08,3.809603,1.290486,5.101733,3.812922,1.292857,5.114429,-104.65044747072719,-144.4590563747235
5.28,0.09,3.809405,1.284318,5.055775,3.812467,1.286425,5.068498,-103.53183615479661,-145.467659676823
5.29,0.1,3.807884,1.279272,5.010619,3.810855,1.281273,5.023383,-103.10308360745704,-146.03931562842084
5.3,0.11,3.80317,1.276161,4.966606,3.807916,1.277483,4.979091,-110.81360789069207,-164.4348024868121
5.31,0.12,3.796532,1.274248,4.923182,3.800541,1.275978,4.935918,-107.47280349798137,-156.65839863548723
5.32,0.13,3.783314,1.27542,4.880541,3.789514,1.276782,4.893126,-116.22716159050961,-167.6102119191174
5.33,0.14,3.771495,1.277821,4.838763,3.776755,1.278583,4.85063,-113.9051228510765,-171.75708081319834
5.34,0.15,3.758606,1.277486,4.794468,3.763198,1.278542,4.80704,-110.0650307263219,-167.04913156774978
5.35,0.16,3.745882,1.274817,4.750378,3.75004,1.276139,4.76304,-108.1793600060294,-162.36238950119986
5.36,0.17,3.733602,1.270594,4.705715,3.73772,1.272735,4.718608,-107.71338440292205,-152.52951125632174
5.37,0.18,3.721742,1.265992,4.661606,3.726415,1.269163,4.674206,-110.34845814788277,-145.84000562241812
5.38,0.19,3.710127,1.261317,4.617655,3.714495,1.264802,4.63009,-109.35467104514211,-141.41545446497764
5.39,0.2,3.697307,1.257665,4.575133,3.702441,1.260687,4.58775,-112.14196359710233,-149.51787559451523
5.4,0.21,3.68282,1.255439,4.534871,3.68959,1.257191,4.546445,-120.32472035869858,-165.49080683010436
5.41,0.22,3.669302,1.253453,4.497753,3.674249,1.255034,4.505702,-121.89575676405612,-162.27676338311323
5.42,0.23,3.650193,1.252249,4.451989,3.656269,1.252193,4.463197,-118.462686924465,179.4719432510993
5.43,0.24,3.633009,1.252909,4.409587,3.638745,1.253916,4.422632,-113.73550989556762,-170.04274307606718
5.44,0.25,3.614644,1.253127,4.367109,3.619632,1.25502,4.380066,-111.05499180629661,-159.2177040574088
5.45,0.26,3.594555,1.251517,4.325076,3.600187,1.254115,4.337461,-114.45336495732477,-155.23647291723842
