Time (Seconds),,X1,Y1,Z1,X2,Y2,Z2
9.04,6.19,3.350761,1.869385,1.811757,3.361698,1.871917,1.82174
9.05,6.2,3.325433,1.86899,1.786136,3.336458,1.871301,1.794876
9.06,6.21,3.299845,1.868923,1.760384,3.310341,1.871493,1.769462
9.07,6.22,3.273157,1.870762,1.734958,3.283482,1.872397,1.74435
9.08,6.23,3.246149,1.872861,1.710393,3.256421,1.874086,1.719579
9.09,6.24,3.218371,1.874215,1.685359,3.228288,1.876118,1.694345
9.1,6.25,3.189787,1.87555,1.660024,3.19993,1.877306,1.669359
9.11,6.26,3.162,1.875866,1.634126,3.17207,1.87733,1.643057
9.12,6.27,3.134517,1.873964,1.607789,3.144882,1.875866,1.616442
9.13,6.28,3.106512,1.870085,1.580715,3.116662,1.872075,1.58943
9.14,6.29,3.078214,1.865465,1.555037,3.088668,1.867886,1.562933
9.15,6.3,3.049628,1.860842,1.529771,3.061186,1.863426,1.536883
9.16,6.31,3.022024,1.856811,1.505234,3.033877,1.859012,1.511508
9.17,6.32,2.994062,1.852893,1.479688,3.005506,1.854773,1.48647
9.18,6.33,2.965476,1.84985,1.454789,2.977454,1.851136,1.461788
9.19,6.34,2.937537,1.847463,1.430296,2.949048,1.848752,1.436702
9.2,6.35,2.908638,1.846542,1.405868,2.920094,1.848175,1.412286
9.21,6.36,2.878947,1.847006,1.381307,2.890245,1.848302,1.387215
9.22,6.37,2.848316,1.846236,1.355429,2.860008,1.84797,1.362581
9.23,6.38,2.818,1.843793,1.330549,2.829192,1.845388,1.337975
9.24,6.39,2.786844,1.839272,1.306121,2.798213,1.841012,1.31352
9.25,6.4,2.755995,1.83309,1.281001,2.766896,1.835258,1.288882
9.26,6.41,2.724729,1.825437,1.254401,2.735293,1.829317,1.26318
9.27,6.42,2.694366,1.816786,1.228333,2.703302,1.821799,1.23675
9.28,6.43,2.664665,1.809268,1.204093,2.673932,1.813753,1.212249
9.29,6.44,2.634332,1.802628,1.180254,2.644336,1.80641,1.188532
9.3,6.45,2.604188,1.796786,1.156259,2.613656,1.800372,1.16474
9.31,6.46,2.573687,1.792413,1.133419,2.584614,1.794772,1.14102
9.32,6.47,2.542855,1.789441,1.110574,2.554049,1.790449,1.118157
9.33,6.48,2.510738,1.787395,1.088202,2.523167,1.788485,1.094432
9.34,6.49,2.477943,1.786849,1.065168,2.489959,1.787973,1.071754
9.35,6.5,2.44433,1.784786,1.041905,2.456233,1.786285,1.048863
9.36,6.51,2.410779,1.780776,1.019,2.422341,1.78275,1.025222
9.37,6.52,2.376703,1.774834,0.996184,2.388608,1.777034,1.00167
9.38,6.53,2.34356,1.767908,0.971651,2.355481,1.769677,0.977805
9.39,6.54,2.310031,1.761441,0.948283,2.323122,1.763141,0.954061
9.4,6.55,2.278297,1.75619,0.92663,2.290527,1.757346,0.93212
9.41,6.56,2.245305,1.753148,0.906496,2.257844,1.753071,0.910979
9.42,6.57,2.212315,1.751524,0.885819,2.224442,1.750629,0.890625
9.43,6.58,2.177782,1.752158,0.86608,2.208748,1.752555,0.879732
9.44,6.59,2.142728,1.753339,0.846675,2.155446,1.752144,0.851109
9.45,6.6,2.106744,1.752008,0.825923,2.118076,1.752346,0.832191
9.46,6.61,2.070512,1.749359,0.805202,2.082813,1.748899,0.810799
9.47,6.62,2.034327,1.744584,0.784804,2.046196,1.744759,0.790022
9.48,6.63,1.997798,1.740187,0.764948,2.010809,1.740732,0.76962
9.49,6.64,1.962461,1.736736,0.745457,1.975217,1.737027,0.749917
9.5,6.65,1.927612,1.735469,0.727323,1.940428,1.734913,0.731463
9.51,6.66,1.893186,1.73599,0.710608,1.905722,1.734423,0.713829
9.52,6.67,1.857454,1.738389,0.695005,1.869986,1.736524,0.696792
9.53,6.68,1.819791,1.742032,0.680457,1.832572,1.740952,0.682245
9.54,6.69,1.781499,1.745042,0.665851,1.794508,1.745114,0.669591
9.55,6.7,1.742706,1.745125,0.649927,1.754954,1.7469,0.654547
9.56,6.71,1.704593,1.744987,0.634493,1.71634,1.745948,0.638897
9.57,6.72,1.667229,1.74587,0.619054,1.679515,1.746428,0.623297
9.58,6.73,1.630117,1.749367,0.606364,1.643317,1.750191,0.610301
9.59,6.74,1.595079,1.755456,0.595682,1.621833,1.7515,0.599798
9.6,6.75,1.559032,1.763745,0.588195,1.594379,1.762259,0.597442
9.61,6.76,1.522303,1.770808,0.580665,1.535595,1.77084,0.581558
9.62,6.77,1.485003,1.77598,0.571867,1.51929,1.779781,0.582847
9.63,6.78,1.462399,1.778704,0.552877,1.482556,1.785619,0.580251
9.64,6.79,1.410589,1.785113,0.554599,1.44433,1.784301,0.57839
9.65,6.8,1.377033,1.791946,0.548898,1.411342,1.787415,0.551133
9.66,6.81,1.342396,1.800722,0.544071,1.375834,1.796314,0.546063
9.67,6.82,1.307867,1.810721,0.5398,1.341562,1.805457,0.543517
9.68,6.83,1.273061,1.820481,0.541432,1.30706,1.813758,0.541088
9.69,6.84,1.236807,1.828317,0.541405,1.271839,1.821438,0.538215
9.7,6.85,1.199833,1.834608,0.539008,1.235409,1.827976,0.535345
9.71,6.86,1.164343,1.841362,0.536721,1.198876,1.834416,0.533095
9.72,6.87,1.129552,1.848638,0.535446,1.164308,1.840698,0.531145
9.73,6.88,1.096652,1.856864,0.536467,1.10926,1.85524,0.532183
9.74,6.89,1.065062,1.866698,0.540087,1.077721,1.864186,0.534901
9.75,6.9,1.034169,1.876759,0.546626,1.04707,1.874927,0.541405
9.76,6.91,1.003465,1.886468,0.554718,1.016102,1.885341,0.549627
9.77,6.92,0.972364,1.894529,0.563344,0.983727,1.894541,0.557721
9.78,6.93,0.940025,1.901733,0.570976,0.951778,1.901526,0.564125
9.79,6.94,0.907606,1.908621,0.577967,0.919428,1.909079,0.572069
9.8,6.95,0.876995,1.916445,0.585643,0.888597,1.917859,0.588065
9.81,6.96,0.84869,1.92466,0.590488,0.861012,1.925912,0.600764
9.82,6.97,0.823081,1.932357,0.596121,0.833907,1.934471,0.612633
9.83,6.98,0.765948,1.937221,0.597672,0.799453,1.940525,0.606617
9.84,6.99,0.774465,1.949309,0.639233,0.784435,1.949937,0.631291
9.85,7,0.779102,1.959168,0.675933,0.769986,1.95785,0.654904
9.86,7.01,0.782994,1.968118,0.711039,0.76822,1.966669,0.685992
9.87,7.02,0.785927,1.976846,0.74494,0.742491,1.971891,0.700285
9.88,7.03,0.670087,1.971367,0.698723,0.67976,1.972614,0.690175
9.89,7.04,0.64587,1.975054,0.714601,0.655167,1.975801,0.705447
9.9,7.05,0.621732,1.978171,0.730178,0.630864,1.979026,0.721047
9.91,7.06,0.59813,1.979722,0.746754,0.607379,1.980494,0.737145
9.92,7.07,0.57555,1.980352,0.763927,0.584641,1.981775,0.75407
9.93,7.08,0.553232,1.980381,0.780513,0.561822,1.982378,0.770895
9.94,7.09,0.530848,1.97953,0.797409,0.53964,1.982278,0.787488
9.95,7.1,0.509748,1.979054,0.814383,0.518169,1.981761,0.804613
9.96,7.11,0.488181,1.977944,0.831773,0.496094,1.980908,0.821585
9.97,7.12,0.466178,1.975467,0.84959,0.474323,1.978524,0.839781
9.98,7.13,0.444928,1.971685,0.867653,0.452684,1.975194,0.857263
9.99,7.14,0.424079,1.967868,0.885232,0.431173,1.971484,0.874521
10,7.15,0.403296,1.963877,0.903111,0.4101,1.96761,0.892399
10.01,7.16,0.384487,1.960071,0.922513,0.39089,1.96391,0.911397
10.02,7.17,0.368854,1.956958,0.943296,0.374709,1.960173,0.931908
10.03,7.18,0.35401,1.95386,0.965092,0.359746,1.957346,0.953785
10.04,7.19,0.340302,1.948661,0.988382,0.345975,1.952958,0.977412
10.05,7.2,0.324786,1.941904,1.011883,0.330527,1.946136,1.000851
10.06,7.21,0.309099,1.933078,1.035317,0.313838,1.937878,1.024139
10.07,7.22,0.294043,1.924399,1.058906,0.298367,1.929344,1.047697
10.08,7.23,0.280654,1.917033,1.082834,0.284419,1.922083,1.071533
10.09,7.24,0.269335,1.911503,1.106929,0.271971,1.916113,1.095208
10.1,7.25,0.259437,1.906476,1.132673,0.262102,1.911132,1.120797
10.11,7.26,0.252075,1.901073,1.160017,0.254473,1.906193,1.148249
10.12,7.27,0.244251,1.893135,1.188231,0.247192,1.898693,1.177049
10.13,7.28,0.235032,1.882721,1.216686,0.237998,1.887992,1.205229
10.14,7.29,0.225293,1.871314,1.245003,0.227464,1.877102,1.233687
10.15,7.3,0.217001,1.861687,1.273979,0.218101,1.867534,1.262355
10.16,7.31,0.210448,1.854136,1.30284,0.210824,1.859842,1.291044
10.17,7.32,0.205509,1.847923,1.331931,0.204603,1.852311,1.319616
10.18,7.33,0.201326,1.841784,1.362451,0.200653,1.846243,1.3501
10.19,7.34,0.199272,1.835361,1.394072,0.198964,1.839584,1.381783
10.2,7.35,0.196823,1.826424,1.426673,0.197148,1.831599,1.414976
10.21,7.36,0.194175,1.815414,1.459001,0.194225,1.820787,1.447417
10.22,7.37,0.190566,1.802761,1.491796,0.190727,1.808382,1.480006
10.23,7.38,0.187506,1.790867,1.52423,0.186838,1.796409,1.512222
10.24,7.39,0.18493,1.779679,1.556492,0.184301,1.785227,1.54455
10.25,7.4,0.183671,1.769894,1.589256,0.182543,1.774979,1.577289
10.26,7.41,0.183056,1.761673,1.622482,0.182071,1.765672,1.610173
10.27,7.42,0.184365,1.754216,1.657771,0.1833,1.758753,1.645175
10.28,7.43,0.186686,1.747504,1.693089,0.186039,1.751945,1.680625
10.29,7.44,0.189194,1.739002,1.728313,0.189377,1.743568,1.716908
10.3,7.45,0.191954,1.727091,1.764821,0.191875,1.731649,1.753194
10.31,7.46,0.193967,1.713346,1.801586,0.191776,1.718026,1.788526
10.32,7.47,0.196594,1.701194,1.83844,0.193894,1.705169,1.825231
10.33,7.48,0.20068,1.691999,1.875116,0.198903,1.696511,1.862692
10.34,7.49,0.20487,1.684943,1.910209,0.203188,1.688757,1.898114
10.35,7.5,0.212701,1.681674,1.946567,0.208867,1.684399,1.933476
10.36,7.51,0.221575,1.67916,1.983665,0.218407,1.682355,1.971101
10.37,7.52,0.230366,1.673635,2.021443,0.22704,1.677291,2.008632
10.38,7.53,0.238131,1.665249,2.05985,0.23432,1.668266,2.047474
10.39,7.54,0.246513,1.656868,2.099103,0.2429,1.66056,2.086768
10.4,7.55,0.255552,1.652213,2.137479,0.250988,1.65532,2.124016
10.41,7.56,0.265603,1.650319,2.173659,0.260955,1.652904,2.160922
10.42,7.57,0.2769,1.650942,2.210758,0.272421,1.653036,2.198028
10.43,7.58,0.289762,1.653662,2.248088,0.285089,1.654787,2.235113
10.44,7.59,0.304256,1.653249,2.286409,0.299279,1.655622,2.273644
10.45,7.6,0.303993,1.653413,2.291369,0.313869,1.650795,2.313314
10.46,7.61,0.333485,1.640829,2.365241,0.328254,1.64527,2.353119
10.47,7.62,0.347663,1.640302,2.403644,0.342036,1.644708,2.391921
10.48,7.63,0.362114,1.643919,2.440572,0.356292,1.646541,2.428511
10.49,7.64,0.377747,1.649553,2.478786,0.372438,1.652692,2.466327
10.5,7.65,0.395248,1.656463,2.516675,0.38958,1.659081,2.504161
10.51,7.66,0.413678,1.660685,2.55435,0.407435,1.663186,2.542237
10.52,7.67,0.410925,1.664219,2.562526,0.425602,1.663051,2.581316
10.53,7.68,0.450528,1.657904,2.632722,0.443113,1.661284,2.620925
10.54,7.69,0.467495,1.659551,2.671497,0.459658,1.662124,2.660062
10.55,7.7,0.483064,1.663695,2.709994,0.476921,1.665462,2.697756
10.56,7.71,0.498509,1.670085,2.749748,0.492007,1.671668,2.737532
10.57,7.72,0.512247,1.678712,2.789357,0.506363,1.67906,2.776898
10.58,7.73,0.52617,1.687128,2.830552,0.519304,1.687313,2.818465
10.59,7.74,0.541138,1.693153,2.870692,0.533773,1.693539,2.858578
10.6,7.75,0.555978,1.695779,2.907275,0.552045,1.697195,2.89976
10.61,7.76,0.576594,1.698012,2.953207,0.569853,1.699197,2.941835
10.62,7.77,0.592643,1.699828,2.994955,0.58525,1.700758,2.982445
10.63,7.78,0.606893,1.702537,3.036214,0.599682,1.703339,3.024264
10.64,7.79,0.617994,1.70755,3.077265,0.611309,1.7083,3.064412
10.65,7.8,0.628047,1.715105,3.118631,0.62176,1.714939,3.105981
10.66,7.81,0.636325,1.724944,3.160608,0.632107,1.723126,3.147791
10.67,7.82,0.643221,1.733419,3.204199,0.636635,1.731956,3.191331
10.68,7.83,0.651656,1.738876,3.247717,0.645599,1.737408,3.235459
10.69,7.84,0.662695,1.742266,3.291502,0.657127,1.741693,3.279112
10.7,7.85,0.674204,1.742878,3.334202,0.670286,1.743738,3.324033
10.71,7.86,0.684603,1.74357,3.378214,0.681379,1.745622,3.367973
10.72,7.87,0.691737,1.744885,3.42204,0.688065,1.748201,3.411709
10.73,7.88,0.69906,1.750386,3.467257,0.694363,1.751529,3.452466
10.74,7.89,0.710592,1.762213,3.50776,0.704527,1.764118,3.499018
10.75,7.9,0.721027,1.772945,3.544783,0.696466,1.766756,3.517279
10.76,7.91,0.73081,1.783005,3.579491,0.701468,1.772508,3.561171
10.77,7.92,0.758349,1.794774,3.615085,0.713002,1.787448,3.604822
10.78,7.93,0.729218,1.78962,3.68047,0.715554,1.791892,3.647385
10.79,7.94,0.701909,1.784788,3.741768,0.710961,1.789595,3.695605
10.8,7.95,0.725712,1.792282,3.772484,0.716684,1.797351,3.736091
10.81,7.96,0.733744,1.809153,3.809862,0.702831,1.803557,3.776035
10.82,7.97,0.744695,1.803071,3.853209,0.742076,1.808202,3.84108
10.83,7.98,0.754749,1.797973,3.892438,0.751827,1.807614,3.880497
10.84,7.99,0.740918,1.80044,3.942065,0.760969,1.807062,3.91745
10.85,8,0.742109,1.814551,3.983303,0.738781,1.818005,3.952985
10.86,8.01,0.755976,1.805684,4.023307,0.717979,1.828263,3.986299
10.87,8.02,0.750202,1.814208,4.067572,0.746721,1.816053,4.054788
10.88,8.03,0.73655,1.811168,4.108271,0.742065,1.802003,4.102167
10.89,8.04,0.752765,1.799621,4.160555,0.746153,1.7988,4.140599
10.9,8.05,0.760612,1.793512,4.200627,0.757714,1.795244,4.193275
10.91,8.06,0.76381,1.7902,4.233974,0.758767,1.794475,4.221349
10.92,8.07,0.770725,1.784249,4.272807,0.762876,1.787004,4.26177
10.93,8.08,0.770861,1.778202,4.302674,0.767961,1.775803,4.293178
10.94,8.09,0.77834,1.763334,4.356,0.774464,1.767164,4.343707
10.95,8.1,0.782181,1.751396,4.396753,0.77859,1.75591,4.384452
10.96,8.11,0.78662,1.739189,4.437829,0.783241,1.743586,4.425413
10.97,8.12,0.791421,1.727739,4.477898,0.787358,1.732168,4.465409
10.98,8.13,0.796082,1.717685,4.518337,0.791723,1.721489,4.505701
10.99,8.14,0.800977,1.709099,4.558405,0.79642,1.711281,4.545863
11,8.15,0.806433,1.701455,4.598388,0.802517,1.702886,4.585763
11.01,8.16,0.813482,1.696172,4.639319,0.809312,1.69753,4.626109
11.02,8.17,0.821945,1.691581,4.680126,0.817601,1.69287,4.667034
11.03,8.18,0.831628,1.684938,4.719733,0.826262,1.685897,4.707701
11.04,8.19,0.841077,1.673872,4.761819,0.835617,1.67593,4.749346
11.05,8.2,0.850497,1.661658,4.804258,0.845081,1.664603,4.791966
11.06,8.21,0.858924,1.649873,4.846367,0.853623,1.65331,4.833868
11.07,8.22,0.867086,1.641137,4.887194,0.861108,1.643929,4.875043
11.08,8.23,0.875239,1.635198,4.926579,0.868662,1.636,4.914392
11.09,8.24,0.88484,1.629393,4.967513,0.878599,1.630855,4.955182
11.1,8.25,0.89604,1.625844,5.008524,0.889417,1.627215,4.996349
11.11,8.26,0.90834,1.622397,5.050074,0.901816,1.6241,5.038173
11.12,8.27,0.920923,1.616248,5.092177,0.914547,1.61804,5.080217
11.13,8.28,0.932678,1.606369,5.135678,0.926239,1.608952,5.123561
11.14,8.29,0.944173,1.594846,5.179414,0.937971,1.598245,5.167243
11.15,8.3,0.956236,1.585408,5.221988,0.949421,1.588115,5.209778
11.16,8.31,0.96881,1.577922,5.263453,0.961419,1.579954,5.251362
11.17,8.32,0.98196,1.571904,5.304522,0.973674,1.573336,5.293145
11.18,8.33,0.99553,1.567765,5.346312,0.987794,1.569684,5.33474
11.19,8.34,1.01113,1.566916,5.388119,1.00263,1.568534,5.376754
11.2,8.35,1.02823,1.56818,5.430901,1.019706,1.570294,5.419747
11.21,8.36,1.044867,1.568203,5.474266,1.037374,1.57053,5.462342
11.22,8.37,1.060871,1.564654,5.518283,1.054317,1.566856,5.506193
11.23,8.38,1.076945,1.559793,5.56291,1.068678,1.562029,5.551641
11.24,8.39,1.091069,1.554767,5.607644,1.083789,1.556798,5.595835
11.25,8.4,1.108213,1.551467,5.650774,1.099396,1.553147,5.639578
11.26,8.41,1.126255,1.550435,5.692007,1.117322,1.551626,5.681664
11.27,8.42,1.146026,1.55178,5.732909,1.137267,1.552921,5.722755
11.28,8.43,1.16855,1.555812,5.772567,1.159198,1.556531,5.762922
11.29,8.44,1.194009,1.560867,5.812167,1.184327,1.561429,5.801963
11.3,8.45,1.218315,1.562845,5.85212,1.209151,1.56389,5.842039
11.31,8.46,1.242915,1.562434,5.894261,1.232512,1.563934,5.884471
11.32,8.47,1.265655,1.561423,5.936004,1.256235,1.562811,5.926362
11.33,8.48,1.289708,1.562897,5.976308,1.280078,1.564273,5.966719
11.34,8.49,1.31476,1.567663,6.013466,1.304438,1.568121,6.004316
11.35,8.5,1.341717,1.574676,6.049178,1.331168,1.574315,6.040518
11.36,8.51,1.370989,1.5833,6.081913,1.356971,1.581064,6.074441
11.37,8.52,1.401762,1.59241,6.115389,1.38976,1.591457,6.107758
11.38,8.53,1.432465,1.600026,6.149547,1.421841,1.599801,6.141313
11.39,8.54,1.463276,1.605189,6.183911,1.451636,1.604923,6.176065
11.4,8.55,1.494112,1.609128,6.218684,1.482429,1.609127,6.21087
11.41,8.56,1.523794,1.613577,6.251969,1.512016,1.613126,6.245411
11.42,8.57,1.553911,1.619035,6.286177,1.541881,1.618953,6.278601
11.43,8.58,1.583381,1.627146,6.316553,1.569917,1.625323,6.309888
11.44,8.59,1.609261,1.634597,6.344426,1.599526,1.633891,6.339479
11.45,8.6,1.645839,1.649863,6.371392,1.63371,1.647555,6.366028
11.46,8.61,1.678158,1.662069,6.398646,1.665361,1.660347,6.392891
11.47,8.62,1.711081,1.673132,6.426166,1.697839,1.671797,6.420045
11.48,8.63,1.743683,1.683465,6.45334,1.73021,1.681749,6.446879
11.49,8.64,1.775017,1.692901,6.480555,1.761811,1.690839,6.473711
11.5,8.65,1.806392,1.702795,6.506897,1.793632,1.70027,6.501366
11.51,8.66,1.837528,1.713823,6.53266,1.824445,1.710971,6.527631
11.52,8.67,1.867743,1.727246,6.555377,1.853614,1.723603,6.550629
11.53,8.68,1.897869,1.742064,6.576393,1.883416,1.73782,6.572155
11.54,8.69,1.92658,1.756601,6.59619,1.913968,1.753205,6.593076
11.55,8.7,1.958348,1.769718,6.619841,1.944181,1.766468,6.614295
11.56,8.71,1.987743,1.782102,6.642715,1.974263,1.779164,6.637918
11.57,8.72,2.017586,1.793828,6.664801,2.004194,1.790801,6.661732
11.58,8.73,2.04729,1.804592,6.68686,2.033712,1.802329,6.683491
11.59,8.74,2.077513,1.815663,6.707236,2.070019,1.814154,6.678322
11.6,8.75,2.106955,1.826785,6.726835,2.114774,1.829789,6.686861
11.61,8.76,2.133534,1.838722,6.745416,2.156733,1.844447,6.694866
11.62,8.77,2.162443,1.850769,6.762698,2.172822,1.853239,6.730601
11.63,8.78,2.194311,1.861863,6.777462,2.179029,1.859538,6.774959
11.64,8.79,2.223501,1.873388,6.789531,2.201222,1.86921,6.80021
11.65,8.8,2.255892,1.88375,6.803063,2.236591,1.881236,6.807737
11.66,8.81,2.287381,1.89319,6.818063,2.271765,1.892771,6.815342
11.67,8.82,2.315565,1.902932,6.831393,2.302385,1.903113,6.828919
11.68,8.83,2.345471,1.911527,6.844601,2.332658,1.912303,6.842083
11.69,8.84,2.376961,1.920244,6.856576,2.362934,1.920822,6.853865
11.7,8.85,2.409183,1.929127,6.865259,2.393567,1.929147,6.863301
11.71,8.86,2.439876,1.938073,6.869463,2.424909,1.93776,6.869424
11.72,8.87,2.436014,1.939479,6.867283,2.456722,1.946677,6.873568
11.73,8.88,2.503257,1.952906,6.874193,2.487492,1.953892,6.874522
11.74,8.89,2.519879,1.960471,6.879573,2.516034,1.959486,6.878958
11.75,8.9,2.567049,1.963993,6.88175,2.552552,1.966365,6.884269
11.76,8.91,2.598098,1.968788,6.884767,2.599796,1.977001,6.888568
11.77,8.92,2.628278,1.974366,6.886218,2.638821,1.985346,6.890355
11.78,8.93,2.658118,1.979883,6.884574,2.665468,1.989949,6.888066
11.79,8.94,2.686891,1.984425,6.879194,2.685827,1.992066,6.883131
11.8,8.95,2.715043,1.988523,6.871635,2.705987,1.992955,6.876975
11.81,8.96,2.744178,1.990702,6.864407,2.732039,1.993873,6.871025
11.82,8.97,2.773773,1.991254,6.858502,2.763067,1.995225,6.865653
11.83,8.98,2.805706,1.991361,6.85369,2.79478,1.995968,6.860595
11.84,8.99,2.837145,1.992136,6.848311,2.826327,1.996137,6.855067
11.85,9,2.866137,1.993208,6.840273,2.85541,1.9967,6.847419
11.86,9.01,2.880092,1.997717,6.836586,2.882493,1.997782,6.838161
11.87,9.02,2.916883,1.995696,6.816559,2.907147,1.998662,6.824531
11.88,9.03,2.939842,1.995499,6.800441,2.933072,1.998749,6.809706
11.89,9.04,2.966954,1.993582,6.785394,2.957812,1.998024,6.794088
11.9,9.05,2.99432,1.990896,6.77116,2.982928,1.995214,6.779218
11.91,9.06,3.021616,1.987336,6.756612,3.010484,1.99185,6.764852
11.92,9.07,3.046442,1.983596,6.741364,3.036682,1.98798,6.749674
11.93,9.08,3.070294,1.980531,6.725145,3.063721,1.985149,6.735028
11.94,9.09,3.092776,1.978171,6.707547,3.086177,1.981681,6.71783
11.95,9.1,3.112898,1.975448,6.687311,3.105276,1.979347,6.697215
11.96,9.11,3.132176,1.972615,6.66531,3.125315,1.976162,6.675522
11.97,9.12,3.152344,1.967935,6.642849,3.145944,1.971606,6.652874
11.98,9.13,3.173307,1.961366,6.620778,3.166493,1.96545,6.63076
11.99,9.14,3.194347,1.953473,6.598687,3.188178,1.957785,6.608956
12,9.15,3.214956,1.945486,6.576304,3.20865,1.950137,6.586865
12.01,9.16,3.234676,1.93881,6.553773,3.228017,1.942654,6.564337
12.02,9.17,3.252526,1.932894,6.530062,3.245382,1.936432,6.540279
12.03,9.18,3.267512,1.928611,6.504742,3.262714,1.931256,6.515865
12.04,9.19,3.281728,1.923969,6.478868,3.278631,1.927069,6.490364
12.05,9.2,3.295159,1.917167,6.451187,3.291463,1.921346,6.462453
12.06,9.21,3.308367,1.909286,6.42237,3.304264,1.913407,6.434403
12.07,9.22,3.32385,1.901474,6.395738,3.317135,1.904752,6.406698
12.08,9.23,3.340777,1.894043,6.368907,3.334362,1.896773,6.380443
12.09,9.24,3.35425,1.888869,6.341873,3.352098,1.889977,6.354184
12.1,9.25,3.364716,1.885925,6.313306,3.364901,1.887041,6.326015
12.11,9.26,3.376017,1.884328,6.284554,3.376104,1.884974,6.297172
12.12,9.27,3.386854,1.882618,6.254781,3.383126,1.884525,6.266922
12.13,9.28,3.39774,1.878005,6.224014,3.393592,1.881018,6.236029
12.14,9.29,3.408372,1.872451,6.192857,3.403404,1.876164,6.204899
12.15,9.3,3.418971,1.866034,6.161683,3.413968,1.870188,6.173524
12.16,9.31,3.429543,1.860564,6.130943,3.426552,1.863525,6.143188
12.17,9.32,3.440382,1.856416,6.100919,3.440406,1.857297,6.114136
12.18,9.33,3.45076,1.853447,6.070639,3.450984,1.854433,6.083851
12.19,9.34,3.460334,1.852216,6.040234,3.459446,1.85359,6.052942
12.2,9.35,3.470023,1.852158,6.008489,3.467457,1.853926,6.021614
12.21,9.36,3.480135,1.852149,5.976598,3.477661,1.853634,5.989561
12.22,9.37,3.491612,1.849261,5.944356,3.488289,1.85151,5.957016
12.23,9.38,3.502846,1.844733,5.91162,3.499705,1.847399,5.924119
12.24,9.39,3.515244,1.838755,5.878935,3.51154,1.841637,5.891523
12.25,9.4,3.526211,1.832781,5.846578,3.522708,1.835424,5.858599
12.26,9.41,3.537374,1.826379,5.814166,3.534495,1.829524,5.826256
12.27,9.42,3.547045,1.821007,5.781957,3.54396,1.823936,5.794301
12.28,9.43,3.556048,1.817153,5.749439,3.553249,1.819391,5.76215
12.29,9.44,3.564801,1.813756,5.716633,3.562031,1.816337,5.729251
12.3,9.45,3.572189,1.812033,5.683585,3.569315,1.814299,5.696212
12.31,9.46,3.578422,1.810754,5.650064,3.576231,1.812307,5.662771
12.32,9.47,3.586407,1.807137,5.615709,3.583517,1.809276,5.628416
12.33,9.48,3.594594,1.801264,5.580672,3.591589,1.803868,5.593301
12.34,9.49,3.60289,1.793793,5.546017,3.601159,1.796846,5.558371
12.35,9.5,3.611354,1.786055,5.511486,3.608206,1.789492,5.52369
12.36,9.51,3.619134,1.779128,5.477099,3.616227,1.782488,5.489463
12.37,9.52,3.625591,1.773899,5.442971,3.622735,1.777002,5.455442
