X,Z,,,,
0.401528,6.382492,,,3.773235,6.109806
1.507476,4.003234,,,3.786614,6.071953
1.598456,5.438305,,,3.799825,6.034145
1.920606,4.076222,,,3.811044,5.996022
2.279677,2.478077,,,3.824881,5.958813
3.583856,1.482333,,,3.835353,5.920374
0.457581,1.330677,,,3.848085,5.881953
2.633229,0.70876,,,3.857961,5.843085
3.680839,3.767567,,,3.865293,5.803279
3.337928,5.71859,,,3.87182,5.761663
2.376863,6.53387,,,3.877656,5.720054
1.961469,2.632176,,,3.884646,5.677968
0.297342,3.415459,,,3.892118,5.635998
3.321807,2.784004,,,3.89916,5.594145
0.855306,2.272076,,,3.904824,5.551939
,,,,3.910086,5.510428
,,,,3.913355,5.468659
,,,,3.916087,5.426022
,,,,3.918139,5.381911
,,,,3.92014,5.336632
,,,,3.920581,5.29177
,,,,3.921006,5.24684
,,,,3.921867,5.201981
,,,,3.922772,5.15727
,,,,3.92356,5.112479
,,,,3.923906,5.068062
,,,,3.923804,5.023143
,,,,3.921822,4.977827
,,,,3.919413,4.93141
,,,,3.91706,4.884203
,,,,3.914808,4.837009
,,,,3.912106,4.79113
,,,,3.909565,4.745127
,,,,3.907842,4.699909
,,,,3.906073,4.655477
,,,,3.902584,4.610744
,,,,3.900875,4.565583
,,,,3.899193,4.520849
,,,,3.897104,4.47606
,,,,3.895607,4.431232
,,,,3.894288,4.387417
,,,,3.893958,4.344774
,,,,3.893605,4.302402
,,,,3.893388,4.259131
,,,,3.893164,4.216671
,,,,3.892347,4.172496
,,,,3.891232,4.129104
,,,,3.891737,4.084801
,,,,3.892933,4.042208
,,,,3.884758,3.998379
,,,,3.887286,3.956067
,,,,3.889953,3.914615
,,,,3.884686,3.872003
,,,,3.879765,3.830635
,,,,3.88573,3.787863
,,,,3.891544,3.747434
,,,,3.908898,3.71082
,,,,3.879635,3.660457
,,,,3.875234,3.615259
,,,,3.871117,3.572353
,,,,3.874847,3.529169
,,,,3.874808,3.487747
,,,,3.873624,3.447152
,,,,3.870379,3.403274
,,,,3.866563,3.362187
,,,,3.862978,3.320512
,,,,3.860118,3.277117
,,,,3.857038,3.235475
,,,,3.853946,3.195591
,,,,3.850049,3.150689
,,,,3.845545,3.106356
,,,,3.842195,3.064966
,,,,3.837283,3.021577
,,,,3.828667,2.979137
,,,,3.823952,2.936447
,,,,3.818044,2.89492
,,,,3.813049,2.853047
,,,,3.805786,2.810004
,,,,3.804159,2.767598
,,,,3.793392,2.732355
,,,,3.785872,2.69255
,,,,3.779809,2.644911
,,,,3.771958,2.593999
,,,,3.760132,2.568814
,,,,3.747581,2.538391
,,,,3.745712,2.478493
,,,,3.738183,2.427295
,,,,3.724392,2.381101
,,,,3.70953,2.33902
,,,,3.699861,2.29605
,,,,3.690483,2.255061
,,,,3.678563,2.214626
,,,,3.667073,2.174926
,,,,3.651541,2.135203
,,,,3.63759,2.095385
,,,,3.622822,2.055439
,,,,3.607592,2.015127
,,,,3.591815,1.973958
,,,,3.575885,1.934725
,,,,3.560686,1.897334
,,,,3.54178,1.860571
,,,,3.522393,1.824782
,,,,3.502606,1.788718
,,,,3.481466,1.750677
,,,,3.460596,1.713216
,,,,3.439533,1.676228
,,,,3.418427,1.639242
,,,,3.398015,1.603069
,,,,3.37674,1.566403
,,,,3.35552,1.532075
,,,,3.333262,1.4985
,,,,3.311038,1.465421
,,,,3.288332,1.432835
,,,,3.263567,1.398367
,,,,3.241341,1.365294
,,,,3.217786,1.332023
,,,,3.194609,1.299654
