Time (Seconds),Unnamed: 1,X1,Y1,Z1,X2,Y2,Z2,Pxy,Pxz
24.01,21.33,3.994997,1.988295,0.498488,3.996297,1.976272,0.504458,-102.2846943791707,96.17119357123842
24.02,21.34,4.010543,1.977547,0.51017,4.006152,1.971317,0.506502,39.87352693727851,54.823228849876415
24.03,21.35,4.013505,1.958966,0.519745,4.010755,1.964204,0.512795,68.41211416929775,-62.30009844363607
24.04,21.36,4.016331,1.94213,0.527387,4.015345,1.953968,0.520431,81.93217814979083,-85.2387616221244
24.05,21.37,4.023238,1.929361,0.53412,4.021675,1.941847,0.52777,76.17200345070628,-82.86481791571457
24.06,21.38,4.028464,1.915296,0.540002,4.027872,1.928017,0.534175,84.19888151405048,-87.33553597247064
24.07,21.39,4.032938,1.900219,0.547741,4.033421,1.912987,0.541527,94.44453350824907,-92.16640602488725
24.08,21.4,4.036792,1.885283,0.557148,4.038371,1.898004,0.551062,104.54458291601124,-97.07567458652579
24.09,21.41,4.039629,1.870383,0.567711,4.041928,1.883277,0.561705,110.9460404984874,-100.10959895929349
24.1,21.42,4.042075,1.8561,0.578912,4.044291,1.868418,0.571812,107.33380475983117,-100.1983869137779
24.11,21.43,4.04371,1.842061,0.590264,4.046418,1.853502,0.582168,108.49437545098236,-103.31641977790336
24.12,21.44,4.044509,1.82602,0.601539,4.04707,1.837584,0.593657,107.9998879236014,-102.48735671378671
24.13,21.45,4.044696,1.808816,0.611995,4.04614,1.821082,0.604881,101.47401460579525,-96.7141730854669
24.14,21.46,4.043792,1.791914,0.622134,4.046643,1.803695,0.614728,111.05461687316166,-103.60402537609109
24.15,21.47,4.041634,1.773618,0.634483,4.044528,1.785106,0.62645,109.81226138944879,-104.1394663140568
24.16,21.48,4.038701,1.755116,0.647976,4.04093,1.766703,0.639997,105.60814785618581,-100.88901167507521
24.17,21.49,4.033969,1.737155,0.660952,4.037026,1.748931,0.653093,111.25507900927433,-104.55252088321896
24.18,21.5,4.028409,1.71935,0.673844,4.03193,1.730716,0.665643,113.23568061143352,-107.21212192240812
24.19,21.51,4.022786,1.700828,0.686585,4.025877,1.712134,0.678464,110.83773311478728,-105.29070374251758
24.2,21.52,4.016055,1.681086,0.698196,4.019387,1.692784,0.691172,115.37842681171766,-105.89880871610427
24.21,21.53,4.008138,1.660607,0.71007,4.012078,1.672423,0.702905,118.80618896001782,-108.44076742547281
24.22,21.54,3.998312,1.640293,0.721673,4.003994,1.651345,0.714452,128.19820317029217,-117.2083799025291
24.23,21.55,3.988044,1.620259,0.734233,3.994964,1.630193,0.726787,132.90309596621907,-124.86097445687238
24.24,21.56,3.977357,1.598521,0.747751,3.984137,1.608626,0.740541,133.2394974123978,-123.85983230181607
24.25,21.57,3.965975,1.577175,0.761524,3.972745,1.587348,0.754179,132.66724283616824,-123.64325194679337
24.26,21.58,3.954247,1.556136,0.775867,3.960263,1.566293,0.76807,127.65301687547273,-120.63829623195511
24.27,21.59,3.941696,1.535325,0.789332,3.947337,1.545352,0.783029,131.82760902718402,-119.36128025494195
24.28,21.6,3.927497,1.512456,0.805762,3.933661,1.523486,0.797956,128.29635028163656,-119.19818458199218
24.29,21.61,3.91307,1.48893,0.818696,3.919239,1.499769,0.811782,131.74086160362498,-119.64630090256144
24.3,21.62,3.897474,1.465986,0.832593,3.904329,1.476286,0.825341,133.3880043631455,-123.64511455867571
24.31,21.63,3.881283,1.442587,0.846899,3.888866,1.451991,0.83927,134.8267421887869,-128.88128090833504
24.32,21.64,3.864877,1.418936,0.862566,3.872482,1.428637,0.855244,136.08613675064657,-128.0943098323275
24.33,21.65,3.848783,1.396853,0.8792,3.856082,1.406056,0.871251,132.55904233577624,-128.41831891668735
24.34,21.66,3.831271,1.375392,0.896696,3.839253,1.384535,0.888684,134.89253023823946,-131.1215319451381
24.35,21.67,3.813038,1.354167,0.914159,3.820699,1.363248,0.906764,136.01216072829993,-130.15196827176771
24.36,21.68,3.79454,1.332435,0.932321,3.801954,1.341101,0.924206,132.41534591842137,-130.547892853529
24.37,21.69,3.775846,1.310796,0.950583,3.783052,1.318413,0.942047,130.17069983357422,-133.41175649485746
24.38,21.7,3.755391,1.287831,0.968904,3.763772,1.295011,0.960122,133.66157267014404,-139.41334647694427
24.39,21.71,3.734823,1.264786,0.988135,3.742301,1.272195,0.979098,129.60731442701598,-135.26555924478575
24.4,21.72,3.713814,1.243008,1.00709,3.72174,1.250847,0.998475,132.6147763577123,-135.3161866296314
24.41,21.73,3.691609,1.222928,1.026827,3.699515,1.229639,1.018304,132.84923672330592,-139.67377188450055
24.42,21.74,3.669611,1.203109,1.048954,3.676845,1.210856,1.039776,128.24479516512102,-133.03876548690363
24.43,21.75,3.647523,1.183513,1.070489,3.654427,1.191148,1.060992,126.01589263118588,-132.12167442089589
24.44,21.76,3.624408,1.163463,1.09257,3.631,1.170952,1.082841,124.12007191112089,-131.35502004879635
24.45,21.77,3.599707,1.14296,1.114515,3.606641,1.150343,1.104927,125.8742907048112,-133.20371754407515
