Time (Seconds),,X1,Y1,Z1,X2,Y2,Z2
24.01,21.33,3.994997,1.988295,0.498488,3.996297,1.976272,0.504458
24.02,21.34,4.010543,1.977547,0.51017,4.006152,1.971317,0.506502
24.03,21.35,4.013505,1.958966,0.519745,4.010755,1.964204,0.512795
24.04,21.36,4.016331,1.94213,0.527387,4.015345,1.953968,0.520431
24.05,21.37,4.023238,1.929361,0.53412,4.021675,1.941847,0.52777
24.06,21.38,4.028464,1.915296,0.540002,4.027872,1.928017,0.534175
24.07,21.39,4.032938,1.900219,0.547741,4.033421,1.912987,0.541527
24.08,21.4,4.036792,1.885283,0.557148,4.038371,1.898004,0.551062
24.09,21.41,4.039629,1.870383,0.567711,4.041928,1.883277,0.561705
24.1,21.42,4.042075,1.8561,0.578912,4.044291,1.868418,0.571812
24.11,21.43,4.04371,1.842061,0.590264,4.046418,1.853502,0.582168
24.12,21.44,4.044509,1.82602,0.601539,4.04707,1.837584,0.593657
24.13,21.45,4.044696,1.808816,0.611995,4.04614,1.821082,0.604881
24.14,21.46,4.043792,1.791914,0.622134,4.046643,1.803695,0.614728
24.15,21.47,4.041634,1.773618,0.634483,4.044528,1.785106,0.62645
24.16,21.48,4.038701,1.755116,0.647976,4.04093,1.766703,0.639997
24.17,21.49,4.033969,1.737155,0.660952,4.037026,1.748931,0.653093
24.18,21.5,4.028409,1.71935,0.673844,4.03193,1.730716,0.665643
24.19,21.51,4.022786,1.700828,0.686585,4.025877,1.712134,0.678464
24.2,21.52,4.016055,1.681086,0.698196,4.019387,1.692784,0.691172
24.21,21.53,4.008138,1.660607,0.71007,4.012078,1.672423,0.702905
24.22,21.54,3.998312,1.640293,0.721673,4.003994,1.651345,0.714452
24.23,21.55,3.988044,1.620259,0.734233,3.994964,1.630193,0.726787
24.24,21.56,3.977357,1.598521,0.747751,3.984137,1.608626,0.740541
24.25,21.57,3.965975,1.577175,0.761524,3.972745,1.587348,0.754179
24.26,21.58,3.954247,1.556136,0.775867,3.960263,1.566293,0.76807
24.27,21.59,3.941696,1.535325,0.789332,3.947337,1.545352,0.783029
24.28,21.6,3.927497,1.512456,0.805762,3.933661,1.523486,0.797956
24.29,21.61,3.91307,1.48893,0.818696,3.919239,1.499769,0.811782
24.3,21.62,3.897474,1.465986,0.832593,3.904329,1.476286,0.825341
24.31,21.63,3.881283,1.442587,0.846899,3.888866,1.451991,0.83927
24.32,21.64,3.864877,1.418936,0.862566,3.872482,1.428637,0.855244
24.33,21.65,3.848783,1.396853,0.8792,3.856082,1.406056,0.871251
24.34,21.66,3.831271,1.375392,0.896696,3.839253,1.384535,0.888684
24.35,21.67,3.813038,1.354167,0.914159,3.820699,1.363248,0.906764
24.36,21.68,3.79454,1.332435,0.932321,3.801954,1.341101,0.924206
24.37,21.69,3.775846,1.310796,0.950583,3.783052,1.318413,0.942047
24.38,21.7,3.755391,1.287831,0.968904,3.763772,1.295011,0.960122
24.39,21.71,3.734823,1.264786,0.988135,3.742301,1.272195,0.979098
24.4,21.72,3.713814,1.243008,1.00709,3.72174,1.250847,0.998475
24.41,21.73,3.691609,1.222928,1.026827,3.699515,1.229639,1.018304
24.42,21.74,3.669611,1.203109,1.048954,3.676845,1.210856,1.039776
24.43,21.75,3.647523,1.183513,1.070489,3.654427,1.191148,1.060992
24.44,21.76,3.624408,1.163463,1.09257,3.631,1.170952,1.082841
24.45,21.77,3.599707,1.14296,1.114515,3.606641,1.150343,1.104927
24.46,21.78,3.575317,1.124121,1.136459,3.582356,1.130446,1.126804
24.47,21.79,3.551317,1.105765,1.159104,3.558209,1.111846,1.149739
24.48,21.8,3.527732,1.089077,1.182733,3.534687,1.094398,1.173866
24.49,21.81,3.504617,1.073586,1.208451,3.511196,1.078993,1.198331
24.5,21.82,3.480899,1.058254,1.234878,3.487549,1.063913,1.22381
24.51,21.83,3.455637,1.041566,1.261193,3.46271,1.048222,1.250981
24.52,21.84,3.430647,1.026181,1.287975,3.437836,1.032183,1.277501
24.53,21.85,3.406148,1.011026,1.314995,3.413592,1.016316,1.304475
24.54,21.86,3.381928,0.996881,1.342924,3.389208,1.00224,1.332219
24.55,21.87,3.358416,0.983891,1.371272,3.365604,0.98866,1.360143
24.56,21.88,3.336161,0.972947,1.40057,3.342556,0.97729,1.388681
24.57,21.89,3.313684,0.962844,1.431925,3.319736,0.967496,1.419669
24.58,21.9,3.290669,0.951901,1.463742,3.296752,0.956801,1.45205
24.59,21.91,3.268253,0.940274,1.495488,3.274479,0.944725,1.484259
24.6,21.92,3.245306,0.927413,1.527557,3.252247,0.932619,1.515674
24.61,21.93,3.222241,0.915301,1.559396,3.229053,0.920264,1.547886
24.62,21.94,3.199213,0.904794,1.591583,3.205586,0.909802,1.580304
24.63,21.95,3.176777,0.896515,1.623471,3.183419,0.900675,1.611496
24.64,21.96,3.155601,0.890297,1.656071,3.161782,0.893317,1.643494
24.65,21.97,3.13531,0.884852,1.689935,3.140833,0.886953,1.677404
24.66,21.98,3.113887,0.878043,1.725875,3.119971,0.881383,1.714029
24.67,21.99,3.092579,0.870385,1.761425,3.098813,0.874688,1.749284
24.68,22,3.070846,0.861664,1.796684,3.077486,0.866037,1.784174
24.69,22.01,3.04938,0.852637,1.831578,3.05583,0.85653,1.819407
24.7,22.02,3.027959,0.844096,1.866626,3.034485,0.847845,1.85465
24.71,22.03,3.006605,0.836785,1.901558,3.01288,0.840399,1.889467
24.72,22.04,2.985937,0.831712,1.936597,2.992077,0.834676,1.924252
24.73,22.05,2.965805,0.828017,1.972012,2.971881,0.831227,1.959758
24.74,22.06,2.945872,0.825945,2.008225,2.952112,0.828591,1.996031
24.75,22.07,2.925712,0.824028,2.045096,2.932022,0.827139,2.03284
24.76,22.08,2.905199,0.820691,2.082456,2.91133,0.823752,2.069959
24.77,22.09,2.884304,0.815811,2.119833,2.890716,0.819779,2.106986
24.78,22.1,2.863458,0.810316,2.156755,2.869648,0.814033,2.144655
24.79,22.11,2.842491,0.80548,2.193491,2.848768,0.808515,2.181181
24.8,22.12,2.821824,0.802366,2.230074,2.827695,0.803776,2.217198
24.81,22.13,2.801584,0.799975,2.266357,2.80732,0.801912,2.254067
24.82,22.14,2.781797,0.799371,2.303367,2.787766,0.801207,2.290517
24.83,22.15,2.762537,0.800431,2.339923,2.768722,0.802367,2.327036
24.84,22.16,2.742831,0.802294,2.377383,2.748769,0.80415,2.364578
24.85,22.17,2.723095,0.803572,2.414821,2.728523,0.805449,2.402452
24.86,22.18,2.70309,0.802614,2.453244,2.708357,0.804497,2.440502
24.87,22.19,2.681741,0.799591,2.491238,2.687666,0.802527,2.478889
24.88,22.2,2.660818,0.797913,2.528813,2.666724,0.800483,2.516418
24.89,22.21,2.640478,0.797741,2.56536,2.646873,0.799676,2.55292
24.9,22.22,2.620733,0.799162,2.601508,2.626557,0.800386,2.589223
24.91,22.23,2.601728,0.802242,2.638242,2.607881,0.803797,2.625788
24.92,22.24,2.583089,0.806977,2.674878,2.589483,0.807783,2.66234
24.93,22.25,2.564696,0.81179,2.712454,2.57025,0.813017,2.700189
24.94,22.26,2.545728,0.815138,2.751075,2.551568,0.817203,2.738204
24.95,22.27,2.526764,0.817538,2.789,2.532638,0.819789,2.775882
24.96,22.28,2.506323,0.818966,2.826075,2.512792,0.820361,2.813674
24.97,22.29,2.486585,0.82213,2.862245,2.49294,0.82388,2.850409
24.98,22.3,2.467894,0.828068,2.898932,2.474236,0.829132,2.88653
24.99,22.31,2.450597,0.835513,2.935247,2.456411,0.83581,2.922406
25,22.32,2.433534,0.843431,2.971198,2.439667,0.8439,2.958631
25.01,22.33,2.415797,0.851922,3.007641,2.421798,0.852113,2.994915
25.02,22.34,2.39733,0.858517,3.043994,2.40345,0.859471,3.031274
25.03,22.35,2.37939,0.864807,3.080028,2.385174,0.865026,3.067267
25.04,22.36,2.360694,0.870082,3.116424,2.366495,0.87038,3.103511
25.05,22.37,2.342337,0.875945,3.152432,2.348443,0.876332,3.139546
