Time (Seconds),Unnamed: 1,X1,Y1,Z1,X2,Y2,Z2,Pxy,Pxz
6.13,0.0,3.435528,0.575202,6.206452,3.428555,0.578535,6.218554,-60.050066569392634,-25.54717087285787
6.14,0.01,3.463595,0.563285,6.173118,3.455269,0.567251,6.18546,-55.996120656557494,-25.470289810548962
6.15,0.02,3.487788,0.554095,6.138189,3.48015,0.557265,6.150882,-58.96261645180932,-22.53992186253955
6.16,0.03,3.509006,0.54668,6.101562,3.502945,0.548411,6.114294,-64.54346791990936,-15.939153034518132
6.17,0.04,3.529476,0.539334,6.063086,3.523188,0.541163,6.075756,-63.60523424775467,-16.21820799261608
6.18,0.05,3.54886,0.531822,6.022577,3.541583,0.534296,6.035456,-60.53232086331873,-18.77676283108749
6.19,0.06,3.563975,0.525474,5.980815,3.559263,0.526538,5.994005,-70.34122289214956,-12.724355685421704
6.2,0.07,3.583405,0.513724,5.93877,3.576492,0.517063,5.951991,-62.395819878602715,-25.78068374071775
6.21,0.08,3.601004,0.5025,5.898439,3.595165,0.505519,5.911384,-65.72166458835139,-27.340798840387325
6.22,0.09,3.619554,0.490345,5.855963,3.614051,0.49333,5.8697,-68.16911257068361,-28.47679434682402
6.23,0.1,3.636527,0.478857,5.814929,3.631585,0.481664,5.828121,-69.46299593207624,-29.596084159456698
6.24,0.11,3.653379,0.469227,5.773017,3.648202,0.471799,5.786329,-68.74907908781975,-26.418775715519537
6.25,0.12,3.668916,0.462108,5.729997,3.663013,0.464336,5.743686,-66.67322444851774,-20.67827206251784
6.26,0.13,3.682198,0.456543,5.686409,3.676827,0.458971,5.699666,-67.9449426605834,-24.325696575275803
6.27,0.14,3.694613,0.453282,5.640893,3.690026,0.454869,5.6546,-71.49736126165341,-19.084482218316335
6.28,0.15,3.706013,0.449567,5.594899,3.70214,0.450993,5.608765,-74.39408450809984,-20.213204053715778
6.29,0.16,3.719008,0.44382,5.548555,3.714952,0.445416,5.56289,-74.20146591363145,-21.479197354149502
6.3,0.17,3.731285,0.43631,5.502649,3.728755,0.437686,5.516702,-79.79420967143574,-28.54059841647083
6.31,0.18,3.74317,0.427153,5.456103,3.740957,0.429032,5.470221,-81.09136397374634,-40.3337093519437
6.32,0.19,3.755264,0.419395,5.410059,3.752481,0.421383,5.424247,-78.90223572737418,-35.539625236979404
6.33,0.2,3.766839,0.414567,5.364625,3.764039,0.41634,5.378616,-78.68297987546734,-32.34257501104524
6.34,0.21,3.777707,0.412865,5.31859,3.775273,0.413473,5.332797,-80.27824226787183,-14.025165397779388
6.35,0.22,3.787766,0.41393,5.272647,3.785179,0.414356,5.286492,-79.41607945724135,-9.350949814754854
6.36,0.23,3.796737,0.417602,5.22545,3.794468,0.417255,5.239351,-80.72961041189565,8.694922302487514
6.37,0.24,3.805976,0.41993,5.177437,3.803782,0.418954,5.191715,-81.26409055837719,23.981870210040462
6.38,0.25,3.815478,0.420135,5.129847,3.813434,0.418599,5.144036,-81.80263517748722,36.92367965086522
6.39,0.26,3.825171,0.418458,5.081684,3.82349,0.416818,5.095868,-83.24118444055024,44.292680631454566
6.4,0.27,3.834745,0.415872,5.032949,3.832801,0.415011,5.047333,-82.30310247146294,23.88861193591875
6.41,0.28,3.843672,0.414724,4.985295,3.841934,0.413789,4.999485,-83.01715650945518,28.279126556193432
6.42,0.29,3.852117,0.41634,4.938375,3.850168,0.41524,4.952528,-82.15915323187704,29.4400349337834
6.43,0.3,3.860028,0.419854,4.891933,3.85806,0.418589,4.906193,-82.1423359321669,32.73228327293503
6.44,0.31,3.867349,0.42589,4.845434,3.865446,0.424488,4.859635,-82.36756833930401,36.38024348711608
6.45,0.32,3.873875,0.434228,4.79862,3.872379,0.432625,4.812936,-84.03433110873954,46.97748111259612
6.46,0.33,3.880604,0.442284,4.75176,3.879358,0.44044,4.765871,-84.95387545599772,55.952909555600606
6.47,0.34,3.887966,0.448876,4.704659,3.886839,0.446197,4.718674,-85.40251888665254,67.1845146184906
6.48,0.35,3.896147,0.453684,4.657223,3.895273,0.450839,4.670816,-86.32107164873047,72.92274777221469
6.49,0.36,3.9042,0.45751,4.609072,3.902878,0.455113,4.622888,-84.53422753301072,61.12226553807707
6.5,0.37,3.911517,0.461525,4.561616,3.909284,0.45963,4.576115,-81.24463254680462,40.31907261450673
6.51,0.38,3.917267,0.46672,4.514969,3.915767,0.464771,4.528906,-83.85706315805747,52.41720369760023
6.52,0.39,3.921079,0.473894,4.469935,3.92033,0.471623,4.483757,-86.89823416906091,71.74689382337034
6.53,0.4,3.924481,0.483047,4.425556,3.923918,0.479734,4.43914,-87.62668781690684,80.35548449831181
6.54,0.41,3.925758,0.495365,4.382074,3.92688,0.490452,4.394667,-95.09144473235722,102.86423471213814
6.55,0.42,3.925482,0.509336,4.33858,3.927346,0.50393,4.35155,-98.17833631865045,109.0242995106196
6.56,0.43,3.924792,0.521927,4.293538,3.92662,0.516408,4.30617,-98.23421636268635,108.32587349736545
6.57,0.44,3.925907,0.531328,4.246745,3.92652,0.526987,4.260182,-92.61203970850187,98.03768988668946
6.58,0.45,3.926769,0.539787,4.200585,3.927374,0.536225,4.213911,-92.59944169792786,99.63960302767478
6.59,0.46,3.927455,0.547992,4.15446,3.928191,0.544884,4.168366,-93.02965510438253,103.32269379862427
6.6,0.47,3.927371,0.556346,4.109957,3.928656,0.553105,4.123661,-95.35686117271625,111.62746278070951
6.61,0.48,3.925632,0.566168,4.066978,3.927614,0.561758,4.079474,-99.01264913588636,114.2007286940748
6.62,0.49,3.922505,0.577202,4.025046,3.925106,0.572861,4.038113,-101.25764300534897,120.92880587789959
6.63,0.5,3.918312,0.589398,3.982395,3.920878,0.584816,3.995398,-101.16326183872131,119.24958787381891
6.64,0.51,3.913105,0.603065,3.940271,3.915132,0.599003,3.953408,-98.77139619590534,116.51989640008973
6.65,0.52,3.906969,0.617485,3.897871,3.908023,0.614092,3.912395,-94.15065232544248,107.25686106153448
6.66,0.53,3.900152,0.631002,3.855988,3.901786,0.627311,3.869354,-96.96985231363314,113.87889815948776
6.67,0.54,3.892944,0.643117,3.813966,3.895416,0.639327,3.827295,-100.50671512839608,123.11410875857555
6.68,0.55,3.886178,0.654013,3.772111,3.889043,0.650055,3.785432,-102.1379295674875,125.89891545914666
6.69,0.56,3.879362,0.663622,3.729584,3.882192,0.660046,3.742943,-101.96083390165911,128.35763468429457
6.7,0.57,3.872811,0.672591,3.68723,3.875066,0.669369,3.700796,-99.43766442826012,124.98724604758263
6.71,0.58,3.865737,0.681437,3.645756,3.867637,0.67868,3.66018,-97.50407780416253,124.5728586510322
6.72,0.59,3.857733,0.691418,3.604713,3.859724,0.688317,3.618299,-98.33723089072488,122.70253013682307
6.73,0.6,3.849028,0.70195,3.56513,3.850935,0.698441,3.578251,-98.26943947018526,118.5222965289276
6.74,0.61,3.839551,0.712967,3.526189,3.84172,0.709142,3.539835,-99.03147861073478,119.55578700159715
6.75,0.62,3.829297,0.724392,3.487552,3.831337,0.720805,3.500782,-98.76568714832642,119.6277720486547
6.76,0.63,3.818358,0.735934,3.448679,3.819754,0.732949,3.463024,-95.55830157843378,115.06416114622682
