Time (Seconds),,X1,Y1,Z1,X2,Y2,Z2
6.26,0,0.973018,1.651677,0.386371,0.985469,1.652413,0.379027
6.27,0.01,0.950169,1.653304,0.395642,0.962626,1.654532,0.38864
6.28,0.02,0.926609,1.653262,0.404973,0.938609,1.655766,0.398211
6.29,0.03,0.901668,1.652335,0.412926,0.913678,1.655623,0.406007
6.3,0.04,0.877033,1.650577,0.421451,0.888908,1.654976,0.414942
6.31,0.05,0.853279,1.648315,0.430528,0.865005,1.653869,0.424674
6.32,0.06,0.831264,1.645585,0.440839,0.842023,1.651833,0.434014
6.33,0.07,0.810073,1.64342,0.452719,0.820772,1.648805,0.444597
6.34,0.08,0.791089,1.641484,0.465803,0.800745,1.646437,0.457293
6.35,0.09,0.772568,1.638728,0.480449,0.781662,1.643582,0.470934
6.36,0.1,0.753515,1.633787,0.496588,0.761922,1.639331,0.486456
6.37,0.11,0.733524,1.626499,0.512006,0.741812,1.632907,0.502687
6.38,0.12,0.712748,1.618574,0.52724,0.721451,1.625462,0.518214
6.39,0.13,0.692313,1.609707,0.541794,0.700283,1.617035,0.532603
6.4,0.14,0.672382,1.600917,0.556903,0.67931,1.608788,0.54744
6.41,0.15,0.654038,1.591632,0.57298,0.659681,1.599227,0.562689
6.42,0.16,0.636401,1.582476,0.590152,0.641873,1.58954,0.579141
6.43,0.17,0.61959,1.573201,0.608807,0.62475,1.579832,0.597538
6.44,0.18,0.604129,1.564081,0.629175,0.609453,1.570546,0.61745
6.45,0.19,0.589848,1.553298,0.650531,0.594613,1.559905,0.638627
6.46,0.2,0.575306,1.540879,0.672024,0.579566,1.547693,0.660107
6.47,0.21,0.560487,1.527435,0.69295,0.564295,1.534394,0.680749
6.48,0.22,0.545063,1.512306,0.714008,0.548025,1.519494,0.702043
6.49,0.23,0.529472,1.496923,0.735614,0.53246,1.504439,0.723373
6.5,0.24,0.514557,1.481583,0.757324,0.517198,1.488657,0.74458
6.51,0.25,0.501364,1.466475,0.780052,0.503584,1.473433,0.767365
6.52,0.26,0.489904,1.452219,0.804346,0.491598,1.458886,0.791552
6.53,0.27,0.480864,1.437817,0.829381,0.482073,1.444377,0.816368
6.54,0.28,0.472656,1.422513,0.855426,0.473421,1.429525,0.842542
6.55,0.29,0.463908,1.404833,0.88196,0.464884,1.412318,0.869211
6.56,0.3,0.454573,1.386314,0.90839,0.455454,1.394109,0.896059
6.57,0.31,0.44516,1.367599,0.93518,0.445919,1.375308,0.922778
6.58,0.32,0.436924,1.349172,0.962065,0.436857,1.356276,0.949501
6.59,0.33,0.429927,1.330778,0.989988,0.429489,1.337873,0.977071
6.6,0.34,0.42527,1.313974,1.018114,0.424022,1.320442,1.005737
6.61,0.35,0.422932,1.298194,1.047525,0.420919,1.304014,1.034308
6.62,0.36,0.4223,1.282476,1.076864,0.41921,1.287628,1.063804
6.63,0.37,0.421141,1.263235,1.107245,0.417928,1.269194,1.094858
6.64,0.38,0.418178,1.242667,1.13838,0.415742,1.249255,1.12582
6.65,0.39,0.415997,1.221726,1.169516,0.413445,1.228534,1.157153
6.66,0.4,0.414931,1.20166,1.200922,0.411893,1.207963,1.188248
6.67,0.41,0.414958,1.182904,1.232508,0.411903,1.188447,1.219934
6.68,0.42,0.416823,1.165411,1.264628,0.413885,1.170274,1.251648
6.69,0.43,0.420681,1.149505,1.296963,0.417417,1.153928,1.283628
6.7,0.44,0.426716,1.134045,1.330056,0.422182,1.138097,1.316624
6.71,0.45,0.432055,1.116448,1.36463,0.428149,1.121182,1.351682
6.72,0.46,0.43727,1.096999,1.399252,0.434317,1.102767,1.387471
6.73,0.47,0.443329,1.076829,1.43366,0.440252,1.082986,1.422111
6.74,0.48,0.450398,1.05793,1.468383,0.446594,1.063027,1.455988
6.75,0.49,0.457929,1.040232,1.502869,0.45377,1.044664,1.490055
6.76,0.5,0.466461,1.025126,1.538878,0.462192,1.028515,1.524481
6.77,0.51,0.476157,1.011505,1.573961,0.471094,1.014684,1.560392
6.78,0.52,0.486811,0.998701,1.611981,0.481724,1.001653,1.598344
6.79,0.53,0.497055,0.984526,1.650495,0.4927,0.988672,1.637478
6.8,0.54,0.507568,0.968718,1.688534,0.503591,0.973378,1.676148
6.81,0.55,0.519253,0.951617,1.726873,0.515095,0.956503,1.714133
6.82,0.56,0.530797,0.93441,1.764688,0.527018,0.939387,1.751503
6.83,0.57,0.54269,0.919268,1.802507,0.538489,0.923447,1.790548
6.84,0.58,0.553701,0.905777,1.841204,0.550042,0.908973,1.827401
6.85,0.59,0.564578,0.89423,1.880211,0.561007,0.896482,1.866056
6.86,0.6,0.575505,0.884448,1.920113,0.572303,0.886733,1.906233
6.87,0.61,0.586609,0.876049,1.96104,0.583376,0.878031,1.946859
6.88,0.62,0.597379,0.86702,2.002391,0.594639,0.869018,1.988537
6.89,0.63,0.608793,0.855376,2.043859,0.606121,0.858162,2.030101
6.9,0.64,0.620989,0.843231,2.085243,0.618162,0.846284,2.072866
6.91,0.65,0.63332,0.831112,2.125827,0.63015,0.833503,2.112223
6.92,0.66,0.645564,0.81959,2.167503,0.642422,0.821758,2.153419
6.93,0.67,0.65639,0.810365,2.208693,0.654275,0.811913,2.194886
6.94,0.68,0.666775,0.802691,2.250467,0.664622,0.804215,2.23631
6.95,0.69,0.676548,0.796975,2.292819,0.674255,0.798183,2.278841
6.96,0.7,0.685287,0.793191,2.3364,0.683385,0.793894,2.322497
6.97,0.71,0.693546,0.788855,2.380652,0.692094,0.789696,2.36614
6.98,0.72,0.702048,0.78309,2.424576,0.701151,0.784347,2.410326
6.99,0.73,0.711562,0.77616,2.469085,0.710238,0.778108,2.455126
7,0.74,0.721239,0.768076,2.512938,0.719688,0.770186,2.50012
7.01,0.75,0.730149,0.760994,2.557048,0.729447,0.763793,2.542799
7.02,0.76,0.738078,0.755386,2.600947,0.73756,0.758268,2.586811
7.03,0.77,0.745231,0.751864,2.644889,0.745303,0.75622,2.628973
7.04,0.78,0.751227,0.750653,2.688563,0.751386,0.752007,2.67402
7.05,0.79,0.75656,0.750964,2.73307,0.756967,0.751731,2.718282
7.06,0.8,0.761154,0.752265,2.777454,0.762002,0.752147,2.762825
7.07,0.81,0.765692,0.752585,2.822206,0.766458,0.751659,2.807734
7.08,0.82,0.770541,0.75097,2.867721,0.771,0.749875,2.853077
7.09,0.83,0.775413,0.747415,2.913501,0.776028,0.746912,2.899215
7.1,0.84,0.779932,0.74284,2.959187,0.780889,0.743546,2.944732
7.11,0.85,0.784296,0.73791,3.005075,0.78551,0.739971,2.990825
7.12,0.86,0.789113,0.733425,3.050212,0.789473,0.734767,3.035901
7.13,0.87,0.794083,0.729829,3.094951,0.794773,0.73119,3.080187
7.14,0.88,0.798659,0.728186,3.139155,0.799096,0.729374,3.124622
7.15,0.89,0.803076,0.727761,3.182589,0.803163,0.727529,3.168257
7.16,0.9,0.807377,0.727742,3.227333,0.807353,0.727813,3.212608
7.17,0.91,0.811495,0.729175,3.272646,0.811544,0.729542,3.257726
7.18,0.92,0.815081,0.731185,3.317415,0.815019,0.731395,3.302712
7.19,0.93,0.818424,0.732725,3.362318,0.818162,0.73234,3.348022
7.2,0.94,0.821316,0.732704,3.408037,0.820972,0.732606,3.393505
7.21,0.95,0.824763,0.731281,3.453227,0.8237,0.731481,3.43865
7.22,0.96,0.828224,0.728976,3.498164,0.827032,0.72872,3.483681
7.23,0.97,0.83137,0.725954,3.543247,0.829641,0.726069,3.529043
7.24,0.98,0.834085,0.721983,3.588335,0.832806,0.722557,3.573822
7.25,0.99,0.837223,0.717053,3.633162,0.836017,0.71831,3.618907
7.26,1,0.840602,0.712793,3.678309,0.83901,0.713809,3.663569
7.27,1.01,0.844905,0.708821,3.72219,0.842797,0.709952,3.70751
7.28,1.02,0.850733,0.706857,3.765359,0.847451,0.707344,3.75071
7.29,1.03,0.857447,0.705839,3.808928,0.853403,0.705996,3.794451
7.3,1.04,0.86534,0.706164,3.853311,0.861783,0.706577,3.838933
7.31,1.05,0.874143,0.707096,3.897693,0.87096,0.70757,3.883101
7.32,1.06,0.883489,0.706178,3.941835,0.880246,0.706534,3.927728
7.33,1.07,0.89257,0.703974,3.986431,0.889003,0.705043,3.972076
7.34,1.08,0.901268,0.700827,4.031411,0.897794,0.701891,4.016896
7.35,1.09,0.910052,0.697109,4.074886,0.906026,0.69847,4.060699
7.36,1.1,0.919934,0.695158,4.117374,0.91458,0.695446,4.103232
7.37,1.11,0.931545,0.69401,4.159564,0.926072,0.693878,4.144996
7.38,1.12,0.94382,0.694297,4.201597,0.938682,0.693879,4.187237
7.39,1.13,0.957613,0.696159,4.243336,0.952331,0.695652,4.229481
7.4,1.14,0.972573,0.699429,4.284637,0.967663,0.698933,4.270916
7.41,1.15,0.987935,0.702049,4.325957,0.982784,0.701666,4.312111
7.42,1.16,1.003671,0.702625,4.367585,0.99825,0.702713,4.353611
7.43,1.17,1.019711,0.701993,4.409601,1.014089,0.702216,4.396035
7.44,1.18,1.035372,0.700549,4.451401,1.029572,0.701033,4.43784
7.45,1.19,1.050795,0.69991,4.492115,1.044712,0.699751,4.47865
7.46,1.2,1.067732,0.699663,4.53274,1.061486,0.699313,4.519242
7.47,1.21,1.085311,0.700634,4.572314,1.079145,0.700342,4.558763
7.48,1.22,1.103936,0.702357,4.611135,1.097681,0.702473,4.597762
7.49,1.23,1.123338,0.705791,4.649986,1.117412,0.705474,4.636625
7.5,1.24,1.143452,0.710001,4.689238,1.137901,0.7096,4.675412
