Time (Seconds),Unnamed: 1,X1,Y1,Z1,X2,Y2,Z2,Pxy,Pxz
125.9,122.86,4.306957,1.727799,5.977202,4.30382,1.733438,5.989597,-75.7974680548835,-60.912623919106764
125.91,122.87,4.31149,1.72521,5.945667,4.309355,1.730301,5.958357,-80.44984019178061,-67.24840616594796
125.92,122.88,4.316245,1.720134,5.912716,4.31455,1.726433,5.924854,-82.050390555749,-74.93901474658387
125.93,122.89,4.321721,1.713231,5.879494,4.320116,1.720368,5.891203,-82.19487740186311,-77.32592061992504
125.94,122.9,4.326907,1.70536,5.846373,4.325209,1.712387,5.858047,-81.72428194736145,-76.41548535178102
125.95,122.91,4.328038,1.69705,5.81279,4.330218,1.702943,5.823871,-101.1298421390394,-110.30096734098765
125.96,122.92,4.331435,1.689811,5.780268,4.333102,1.695357,5.791923,-98.13973744887784,-106.72956898504616
125.97,122.93,4.336274,1.683589,5.748064,4.33549,1.689481,5.760553,-86.40795704012767,-82.42064433847698
125.98,122.94,4.340291,1.677312,5.715117,4.339509,1.683461,5.727533,-86.39608615464847,-82.75230707848918
125.99,122.95,4.343364,1.672139,5.681293,4.342417,1.678201,5.69398,-85.73116826417221,-81.12107080321806
126.0,122.96,4.343039,1.66772,5.647256,4.34065,1.673476,5.659999,-79.38170208992291,-67.45934217166932
126.01,122.97,4.344143,1.6616,5.612291,4.342349,1.668041,5.624584,-81.69705530406733,-74.43598177543151
126.02,122.98,4.343694,1.653206,5.576953,4.342176,1.660661,5.588477,-82.4959113537578,-78.49067848646405
126.03,122.99,4.347202,1.643412,5.541876,4.345683,1.651134,5.553577,-82.60334465317946,-78.87139623350977
126.04,123.0,4.345564,1.633506,5.50651,4.347022,1.641075,5.518802,-96.76446085889253,-100.90321405605962
126.05,123.01,4.347823,1.623963,5.472373,4.345357,1.631499,5.483737,-77.75657857950593,-71.88038729176243
126.06,123.02,4.346295,1.615369,5.436985,4.345007,1.622403,5.449039,-83.90094453269772,-79.62348905389493
126.07,123.03,4.346643,1.607734,5.402128,4.345832,1.614394,5.414478,-86.24289420122145,-83.0571736801421
126.08,123.04,4.345788,1.601481,5.366615,4.345552,1.607687,5.379097,-88.91682478465165,-87.82222178176397
126.09,123.05,4.343064,1.595524,5.330624,4.3415,1.601491,5.343345,-82.99087032307595,-75.31269615184308
126.1,123.06,4.340374,1.588592,5.293666,4.33912,1.594803,5.306354,-84.35558579703178,-78.58543887038793
126.11,123.07,4.336043,1.579847,5.256812,4.33637,1.586489,5.269052,-91.53033205936579,-92.8185192155537
126.12,123.08,4.33192,1.569916,5.219506,4.332431,1.576957,5.231538,-92.43189488750751,-94.15095886280996
126.13,123.09,4.326823,1.558783,5.18263,4.329715,1.566736,5.194558,-103.62864460879767,-109.98310652190101
126.14,123.1,4.32386,1.547923,5.146273,4.323678,1.555167,5.158085,-89.11725306713994,-88.56078981354821
