Time (Seconds),Unnamed: 1,X1,Y1,Z1,X2,Y2,Z2,Pxy,Pxz
3.64,1.26,1.595857,0.74136,6.004549,1.583672,0.745626,6.010749,-26.96800798093289,-19.29528230637842
3.65,1.27,1.632528,0.742725,5.985774,1.626105,0.740418,5.986803,-9.101757576708406,19.757169478084116
3.66,1.28,1.670291,0.746223,5.967017,1.657772,0.74889,5.973511,-27.417193104346524,-12.026289923947136
3.67,1.29,1.708716,0.750042,5.94822,1.697201,0.752477,5.954967,-30.367376541552122,-11.940055618227875
3.68,1.3,1.749059,0.749445,5.927617,1.738005,0.752489,5.935596,-35.822510313392115,-15.39624750445631
3.69,1.31,1.78893,0.745941,5.906667,1.778197,0.749666,5.914291,-35.38742033284153,-19.13986633642704
3.7,1.32,1.827765,0.743985,5.885879,1.817821,0.74797,5.893179,-36.28280274161589,-21.838156644460586
3.71,1.33,1.865701,0.74499,5.866377,1.85493,0.74817,5.872632,-30.144850316304606,-16.448561527488028
3.72,1.34,1.903537,0.748675,5.847173,1.892275,0.749375,5.854826,-34.197747225696396,-3.5566964795089793
3.73,1.35,1.941504,0.75349,5.827678,1.929286,0.755524,5.834483,-29.116282183863337,-9.451675544757473
3.74,1.36,1.976856,0.759914,5.808583,1.968234,0.76217,5.814014,-32.20683636754659,-14.663066471654176
3.75,1.37,2.016092,0.764129,5.791138,2.010047,0.769499,5.79462,-29.942511884624874,-41.615885422629034
3.76,1.38,2.061968,0.770422,5.766622,2.0506,0.773388,5.774037,-33.11518536462049,-14.62292568882112
3.77,1.39,2.102341,0.771019,5.744899,2.092042,0.774188,5.753145,-38.682867906763896,-17.10311989841062
3.78,1.4,2.141805,0.773214,5.723204,2.131363,0.776518,5.731376,-38.04704253182556,-17.55812547564181
3.79,1.41,2.180958,0.777879,5.703549,2.169413,0.780432,5.710044,-29.361287774072355,-12.469415347224906
3.8,1.42,2.218869,0.784323,5.684509,2.208307,0.786755,5.6908,-30.7791202968,-12.96688063160984
3.81,1.43,2.25771,0.794313,5.664445,2.245651,0.795733,5.670835,-27.918878653821647,-6.715901515948108
3.82,1.44,2.296274,0.805756,5.643963,2.284543,0.80625,5.650616,-29.55886524688254,-2.4113376722746773
3.83,1.45,2.336614,0.815572,5.622603,2.324712,0.817483,5.629484,-30.033844190497522,-9.121628763334531
3.84,1.46,2.377218,0.821402,5.600751,2.365545,0.823699,5.608235,-32.665461796782076,-11.13236542936673
3.85,1.47,2.417076,0.82541,5.578493,2.405997,0.827716,5.586437,-35.64174256064877,-11.757756088227708
3.86,1.48,2.456342,0.831135,5.556451,2.445559,0.833515,5.56428,-35.981535506779295,-12.446640686507978
3.87,1.49,2.495276,0.839604,5.536392,2.483164,0.841254,5.542729,-27.618570338270743,-7.757566380785104
3.88,1.5,2.533592,0.850476,5.515941,2.522093,0.851586,5.52307,-31.79754512383752,-5.513685936606623
3.89,1.51,2.570811,0.863566,5.495495,2.559057,0.864246,5.502818,-31.923812197734577,-3.3110218173731893
3.9,1.52,2.609854,0.877809,5.473835,2.598053,0.878569,5.481077,-31.53647524095019,-3.684835241444821
3.91,1.53,2.650374,0.888822,5.452566,2.638488,0.89079,5.459773,-31.23025975966675,-9.40133933162121
3.92,1.54,2.691391,0.895935,5.430638,2.679795,0.89877,5.437939,-32.19507868997334,-13.738236858908987
3.93,1.55,2.730714,0.90357,5.408632,2.719617,0.905703,5.416643,-35.825774820953995,-10.880356422102672
3.94,1.56,2.768303,0.913917,5.386798,2.757307,0.915534,5.3948,-36.0441000897183,-8.36558610607452
3.95,1.57,2.805869,0.926701,5.36622,2.794337,0.92799,5.373514,-32.31338856439639,-6.377815661877819
3.96,1.58,2.842194,0.942696,5.345211,2.830454,0.943251,5.3526,-32.185765916741246,-2.706601404207773
3.97,1.59,2.877878,0.959585,5.32237,2.866401,0.959451,5.330556,-35.49846291465867,0.6689279094702805
3.98,1.6,2.915956,0.974017,5.298204,2.905133,0.97595,5.306478,-37.397299341844416,-10.126320670985699
3.99,1.61,2.954856,0.984254,5.273663,2.943788,0.987294,5.28204,-37.120863822786916,-15.358442581372657
4.0,1.62,2.992527,0.994332,5.248882,2.982507,0.997194,5.258062,-42.494907132758044,-15.940864440990085
4.01,1.63,3.027744,1.007383,5.225241,3.017214,1.009668,5.23457,-41.5391749959453,-12.243311673995413
4.02,1.64,3.061941,1.023472,5.202875,3.051204,1.024333,5.212427,-41.657378225479775,-4.584737906839115
4.03,1.65,3.093884,1.042468,5.180321,3.084706,1.042603,5.190806,-48.80285750860427,-0.842707830749684
4.04,1.66,3.127189,1.061223,5.15632,3.11806,1.061293,5.166417,-47.882321887967215,-0.4393280714083043
4.05,1.67,3.163499,1.077162,5.129478,3.153403,1.079474,5.13927,-44.124267870107296,-12.898421802935646
