Time (Seconds),,X1,Y1,Z1,X2,Y2,Z2
125.9,122.86,4.306957,1.727799,5.977202,4.30382,1.733438,5.989597
125.91,122.87,4.31149,1.72521,5.945667,4.309355,1.730301,5.958357
125.92,122.88,4.316245,1.720134,5.912716,4.31455,1.726433,5.924854
125.93,122.89,4.321721,1.713231,5.879494,4.320116,1.720368,5.891203
125.94,122.9,4.326907,1.70536,5.846373,4.325209,1.712387,5.858047
125.95,122.91,4.328038,1.69705,5.81279,4.330218,1.702943,5.823871
125.96,122.92,4.331435,1.689811,5.780268,4.333102,1.695357,5.791923
125.97,122.93,4.336274,1.683589,5.748064,4.33549,1.689481,5.760553
125.98,122.94,4.340291,1.677312,5.715117,4.339509,1.683461,5.727533
125.99,122.95,4.343364,1.672139,5.681293,4.342417,1.678201,5.69398
126,122.96,4.343039,1.66772,5.647256,4.34065,1.673476,5.659999
126.01,122.97,4.344143,1.6616,5.612291,4.342349,1.668041,5.624584
126.02,122.98,4.343694,1.653206,5.576953,4.342176,1.660661,5.588477
126.03,122.99,4.347202,1.643412,5.541876,4.345683,1.651134,5.553577
126.04,123,4.345564,1.633506,5.50651,4.347022,1.641075,5.518802
126.05,123.01,4.347823,1.623963,5.472373,4.345357,1.631499,5.483737
126.06,123.02,4.346295,1.615369,5.436985,4.345007,1.622403,5.449039
126.07,123.03,4.346643,1.607734,5.402128,4.345832,1.614394,5.414478
126.08,123.04,4.345788,1.601481,5.366615,4.345552,1.607687,5.379097
126.09,123.05,4.343064,1.595524,5.330624,4.3415,1.601491,5.343345
126.1,123.06,4.340374,1.588592,5.293666,4.33912,1.594803,5.306354
126.11,123.07,4.336043,1.579847,5.256812,4.33637,1.586489,5.269052
126.12,123.08,4.33192,1.569916,5.219506,4.332431,1.576957,5.231538
126.13,123.09,4.326823,1.558783,5.18263,4.329715,1.566736,5.194558
126.14,123.1,4.32386,1.547923,5.146273,4.323678,1.555167,5.158085
126.15,123.11,4.318968,1.538465,5.109515,4.317266,1.545736,5.121299
126.16,123.12,4.313105,1.530774,5.07288,4.313654,1.537233,5.085264
126.17,123.13,4.30749,1.524393,5.036199,4.308925,1.530329,5.048779
126.18,123.14,4.300477,1.519275,4.998873,4.302907,1.524252,5.011729
126.19,123.15,4.292665,1.512906,4.960544,4.29504,1.517962,4.9733
126.2,123.16,4.284091,1.503562,4.921274,4.287213,1.510096,4.933205
126.21,123.17,4.275896,1.492536,4.882545,4.278687,1.499813,4.89414
126.22,123.18,4.267473,1.48139,4.843989,4.269825,1.488782,4.855802
126.23,123.19,4.258498,1.469377,4.806009,4.261472,1.477426,4.81726
126.24,123.2,4.249109,1.459909,4.767749,4.252036,1.467234,4.779494
126.25,123.21,4.23986,1.45222,4.729397,4.242687,1.458904,4.741367
126.26,123.22,4.229261,1.445802,4.690933,4.232852,1.451904,4.703065
126.27,123.23,4.218321,1.439794,4.652003,4.220838,1.445356,4.664547
126.28,123.24,4.206997,1.432953,4.61193,4.209343,1.439264,4.624195
126.29,123.25,4.195717,1.425666,4.571469,4.199272,1.432652,4.582939
126.3,123.26,4.18428,1.416067,4.53119,4.187015,1.423264,4.543427
126.31,123.27,4.176901,1.403666,4.493028,4.174624,1.41353,4.50336
126.32,123.28,4.163501,1.393072,4.452972,4.163497,1.403286,4.462693
126.33,123.29,4.147519,1.385638,4.412217,4.151723,1.393103,4.423839
126.34,123.3,4.133758,1.378524,4.373272,4.138505,1.383995,4.385637
126.35,123.31,4.120533,1.370734,4.332963,4.123708,1.376498,4.346029
126.36,123.32,4.106906,1.364215,4.293019,4.10988,1.36984,4.306032
126.37,123.33,4.093515,1.358856,4.25247,4.097417,1.364112,4.265464
126.38,123.34,4.080838,1.353902,4.21141,4.086836,1.358662,4.223843
126.39,123.35,4.071277,1.351315,4.169451,4.076792,1.352461,4.182787
126.4,123.36,4.060312,1.336534,4.131077,4.06118,1.343905,4.139346
126.41,123.37,4.037827,1.328994,4.08605,4.046722,1.333993,4.097571
126.42,123.38,4.020006,1.319757,4.044294,4.032416,1.324023,4.056265
126.43,123.39,4.007589,1.310267,4.003657,4.014338,1.315779,4.015403
126.44,123.4,3.993032,1.30215,3.962797,3.996805,1.308106,3.974422
126.45,123.41,3.975963,1.296482,3.921353,3.980143,1.301928,3.93306
126.46,123.42,3.959032,1.292816,3.879112,3.964027,1.297772,3.891101
126.47,123.43,3.943052,1.290003,3.836404,3.948075,1.294805,3.848771
126.48,123.44,3.926475,1.28682,3.793343,3.931782,1.292115,3.804953
126.49,123.45,3.909782,1.282084,3.750211,3.915527,1.287493,3.761629
126.5,123.46,3.892912,1.276594,3.706988,3.898469,1.281748,3.719283
126.51,123.47,3.876209,1.268812,3.664036,3.88151,1.274179,3.675038
126.52,123.48,3.858864,1.260221,3.62038,3.864157,1.26627,3.631645
126.53,123.49,3.842115,1.253599,3.577549,3.846502,1.259297,3.589064
126.54,123.5,3.825035,1.248892,3.534774,3.830693,1.25406,3.546223
126.55,123.51,3.807457,1.245814,3.491905,3.812857,1.250344,3.504095
126.56,123.52,3.789622,1.244502,3.450775,3.794853,1.248482,3.462597
126.57,123.53,3.771292,1.244115,3.407341,3.777075,1.247693,3.419558
126.58,123.54,3.752905,1.242654,3.362755,3.758293,1.247591,3.374884
126.59,123.55,3.733961,1.239601,3.318915,3.739779,1.244884,3.330048
126.6,123.56,3.715108,1.235003,3.274744,3.720969,1.240196,3.286099
126.61,123.57,3.696638,1.229617,3.230867,3.70138,1.236397,3.243473
126.62,123.58,3.677515,1.224893,3.186929,3.682692,1.230998,3.199236
126.63,123.59,3.65911,1.222197,3.14404,3.664279,1.226916,3.156279
126.64,123.6,3.640086,1.221782,3.101827,3.645848,1.225397,3.114577
126.65,123.61,3.621007,1.222114,3.059509,3.626529,1.225436,3.072211
126.66,123.62,3.601333,1.223919,3.016348,3.606745,1.22748,3.029033
126.67,123.63,3.581574,1.226331,2.972329,3.587115,1.229787,2.9845
126.68,123.64,3.561146,1.227735,2.928343,3.566791,1.232182,2.940199
126.69,123.65,3.540123,1.227439,2.884437,3.546021,1.232199,2.896373
126.7,123.66,3.519698,1.226308,2.841135,3.525587,1.231001,2.853346
126.71,123.67,3.498842,1.224864,2.797472,3.504544,1.228825,2.809768
126.72,123.68,3.47808,1.224171,2.753689,3.482259,1.22872,2.766266
126.73,123.69,3.458093,1.225449,2.711246,3.462336,1.23006,2.723834
126.74,123.7,3.43755,1.228456,2.668899,3.442149,1.232634,2.681688
126.75,123.71,3.41708,1.233283,2.625961,3.422931,1.236432,2.638738
126.76,123.72,3.396469,1.23905,2.582593,3.401362,1.242628,2.595933
126.77,123.73,3.375935,1.244704,2.539353,3.38195,1.248293,2.551536
126.78,123.74,3.353796,1.248173,2.495725,3.360668,1.25167,2.507982
126.79,123.75,3.332795,1.250425,2.45222,3.338421,1.253402,2.465022
126.8,123.76,3.313712,1.252094,2.4084,3.317278,1.254341,2.421344
126.81,123.77,3.294249,1.253429,2.36494,3.296344,1.255071,2.377595
126.82,123.78,3.270456,1.252996,2.321425,3.275479,1.256317,2.334466
126.83,123.79,3.24923,1.256249,2.279184,3.254677,1.25948,2.291878
126.84,123.8,3.228228,1.261069,2.237341,3.234325,1.263991,2.25002
126.85,123.81,3.208338,1.267856,2.196271,3.213991,1.269733,2.208901
126.86,123.82,3.188418,1.276609,2.154695,3.193039,1.277326,2.167598
126.87,123.83,3.169047,1.284343,2.111539,3.17335,1.285472,2.124274
126.88,123.84,3.146563,1.289918,2.067747,3.152901,1.292373,2.080464
126.89,123.85,3.125412,1.294182,2.024652,3.131213,1.297062,2.037255
126.9,123.86,3.10395,1.29719,1.981425,3.109608,1.300884,1.993942
126.91,123.87,3.082936,1.300049,1.939019,3.088036,1.304192,1.95101
126.92,123.88,3.062119,1.304504,1.896645,3.06729,1.308443,1.909113
126.93,123.89,3.041395,1.310422,1.855612,3.047048,1.313657,1.868104
126.94,123.9,3.021226,1.317853,1.815413,3.027065,1.319915,1.828027
126.95,123.91,3.000087,1.326071,1.775479,3.005912,1.328162,1.787957
126.96,123.92,2.978089,1.335812,1.73576,2.984138,1.338024,1.74828
126.97,123.93,2.956098,1.345835,1.695389,2.961828,1.348588,1.707718
126.98,123.94,2.934517,1.354792,1.654871,2.939742,1.3575,1.667015
126.99,123.95,2.912367,1.362077,1.613972,2.917697,1.364724,1.626208
127,123.96,2.8899,1.36814,1.573401,2.894956,1.370678,1.585218
127.01,123.97,2.866875,1.373384,1.533778,2.873333,1.376857,1.545252
127.02,123.98,2.844195,1.381637,1.495423,2.851449,1.38361,1.506812
127.03,123.99,2.821895,1.390744,1.458073,2.829376,1.391975,1.469371
127.04,124,2.798712,1.400987,1.420583,2.807338,1.402243,1.431972
127.05,124.01,2.774688,1.412146,1.384539,2.781798,1.413561,1.395832
127.06,124.02,2.749696,1.424177,1.348205,2.756737,1.42587,1.359751
127.07,124.03,2.724125,1.435199,1.311435,2.731896,1.437606,1.322931
127.08,124.04,2.699488,1.444881,1.273909,2.706433,1.447401,1.285805
127.09,124.05,2.674015,1.452732,1.237045,2.681735,1.455927,1.249103
127.1,124.06,2.64858,1.460972,1.201629,2.657563,1.463765,1.21257
127.11,124.07,2.623985,1.469762,1.166455,2.632931,1.472124,1.176953
127.12,124.08,2.598619,1.479867,1.132302,2.607448,1.481621,1.14335
127.13,124.09,2.572992,1.491371,1.099841,2.581975,1.492532,1.111048
127.14,124.1,2.546862,1.504135,1.0689,2.555699,1.504535,1.079883
127.15,124.11,2.51931,1.51699,1.037843,2.528674,1.517632,1.048356
127.16,124.12,2.491239,1.528545,1.005975,2.501126,1.530017,1.016388
127.17,124.13,2.462622,1.538503,0.974661,2.472946,1.539975,0.984579
127.18,124.14,2.434798,1.54755,0.944128,2.445851,1.548658,0.953303
127.19,124.15,2.406672,1.556955,0.913413,2.417655,1.55782,0.922742
127.2,124.16,2.379092,1.5678,0.883461,2.389729,1.568274,0.893122
127.21,124.17,2.351861,1.580136,0.855431,2.362451,1.580133,0.865001
127.22,124.18,2.323761,1.593793,0.829621,2.334506,1.593362,0.839225
127.23,124.19,2.29472,1.607008,0.804718,2.30602,1.606683,0.813923
127.24,124.2,2.264648,1.619087,0.778895,2.275956,1.619969,0.787907
127.25,124.21,2.234568,1.630073,0.752825,2.246352,1.631539,0.761197
127.26,124.22,2.205322,1.640359,0.728388,2.217267,1.641955,0.736465
127.27,124.23,2.176103,1.65081,0.703976,2.188267,1.652209,0.71117
127.28,124.24,2.146718,1.662898,0.680687,2.158813,1.663867,0.6886
127.29,124.25,2.117875,1.675995,0.659086,2.129937,1.676405,0.666929
127.3,124.26,2.089268,1.689431,0.639573,2.101249,1.689439,0.646949
127.31,124.27,2.059606,1.702024,0.620559,2.071736,1.702638,0.627725
127.32,124.28,2.028822,1.713658,0.599741,2.041313,1.715435,0.607345
127.33,124.29,1.997941,1.724377,0.579735,2.010664,1.72658,0.586828
127.34,124.3,1.967874,1.734856,0.561346,1.981071,1.736891,0.567119
127.35,124.31,1.938194,1.745751,0.543619,1.951581,1.747277,0.548378
127.36,124.32,1.908273,1.75719,0.526495,1.921469,1.75835,0.531823
127.37,124.33,1.878805,1.769014,0.510387,1.891802,1.770186,0.516734
127.38,124.34,1.849323,1.781736,0.49669,1.862257,1.782495,0.502928
127.39,124.35,1.819562,1.793173,0.483,1.831544,1.794792,0.489903
127.4,124.36,1.788667,1.804029,0.46931,1.800894,1.806328,0.476108
127.41,124.37,1.757533,1.813777,0.456066,1.770075,1.81655,0.46121
127.42,124.38,1.727576,1.823331,0.443791,1.740657,1.825942,0.44788
127.43,124.39,1.69782,1.833355,0.433157,1.711298,1.835407,0.435711
127.44,124.4,1.667375,1.844646,0.43249,1.681917,1.845552,0.425026
127.45,124.41,1.638665,1.856341,0.431275,1.652097,1.85602,0.416947
127.46,124.42,1.607622,1.867107,0.427438,1.622392,1.866648,0.409865
127.47,124.43,1.578526,1.875263,0.406121,1.59244,1.877145,0.401964
127.48,124.44,1.548495,1.882264,0.391728,1.561118,1.886165,0.394686
127.49,124.45,1.517175,1.890938,0.395385,1.530513,1.893429,0.387354
127.5,124.46,1.487625,1.897738,0.38314,1.501129,1.900633,0.380598
127.51,124.47,1.458894,1.905165,0.375802,1.472384,1.90807,0.375332
127.52,124.48,1.429868,1.913906,0.367834,1.443044,1.916326,0.372618
127.53,124.49,1.400948,1.923269,0.373688,1.414801,1.925113,0.370923
127.54,124.5,1.371674,1.930387,0.378726,1.385268,1.933274,0.370424
127.55,124.51,1.341988,1.936442,0.381876,1.355373,1.939858,0.368998
127.56,124.52,1.312081,1.941015,0.368301,1.325378,1.945192,0.367705
127.57,124.53,1.283336,1.945927,0.36897,1.296285,1.950152,0.367098
127.58,124.54,1.255453,1.951864,0.371298,1.268539,1.955527,0.367476
127.59,124.55,1.228033,1.957953,0.374264,1.241359,1.961097,0.370194
127.6,124.56,1.200436,1.964532,0.378269,1.213665,1.967351,0.374222
127.61,124.57,1.172616,1.969003,0.383079,1.185791,1.972791,0.380051
127.62,124.58,1.144569,1.971831,0.388728,1.156938,1.976727,0.385262
127.63,124.59,1.115854,1.974315,0.39382,1.128641,1.979485,0.391328
127.64,124.6,1.087978,1.97578,0.400065,1.100239,1.981464,0.395826
127.65,124.61,1.062116,1.978303,0.407621,1.073437,1.983719,0.401827
127.66,124.62,1.036422,1.980742,0.416076,1.04756,1.985593,0.409498
