Time (Seconds),Unnamed: 1,X1,Y1,Z1,X2,Y2,Z2,Pxy,Pxz
92.94,90.51,1.317369,1.778579,7.077834,1.311541,1.789847,7.084125,-47.187890967697925,-62.65123087152211
92.95,90.52,1.326369,1.763024,7.078526,1.320223,1.780395,7.086154,-51.14105856496155,-70.5158096411328
92.96,90.53,1.335858,1.747028,7.079472,1.328541,1.765235,7.087013,-45.863728791814744,-68.10587108085127
92.97,90.54,1.345033,1.73071,7.080031,1.337175,1.746682,7.086814,-40.80065326723131,-63.80346089014715
92.98,90.55,1.354703,1.714114,7.079624,1.346806,1.72705,7.085672,-37.447075610587945,-58.59731572102737
92.99,90.56,1.364767,1.697146,7.078225,1.358114,1.708654,7.083701,-39.45736333998056,-59.96695278819812
93.0,90.57,1.375648,1.680315,7.075514,1.370487,1.691647,7.081351,-48.51730135841184,-65.51377513329885
93.01,90.58,1.386978,1.663246,7.072121,1.379739,1.673998,7.078834,-42.84093222571223,-56.04879675839756
93.02,90.59,1.397936,1.644507,7.068285,1.390578,1.65523,7.075513,-44.48935594937181,-55.542531430755396
93.03,90.6,1.408501,1.623969,7.064352,1.401468,1.634302,7.072208,-48.16384506135916,-55.759431883508235
93.04,90.61,1.419239,1.601763,7.060808,1.412112,1.612436,7.068418,-46.87717710562025,-56.26659506558512
93.05,90.62,1.430319,1.5787,7.057439,1.423215,1.589602,7.064178,-43.489625432366374,-56.91078701921306
93.06,90.63,1.441394,1.555174,7.053835,1.435514,1.566384,7.060186,-47.20529674499553,-62.32156676870344
93.07,90.64,1.452933,1.53159,7.04936,1.446208,1.542605,7.056272,-45.78563021771452,-58.594636902203156
93.08,90.65,1.465504,1.508391,7.043742,1.459115,1.519414,7.050614,-47.08593875320023,-59.90314987511854
93.09,90.66,1.479141,1.486868,7.036593,1.47335,1.497286,7.0443,-53.078988936062416,-60.931855987340754
93.1,90.67,1.49399,1.465537,7.028138,1.487002,1.47473,7.037158,-52.234238278148126,-52.75995152211484
93.11,90.68,1.509362,1.441266,7.019701,1.502586,1.450516,7.028402,-52.08993014415284,-53.77571195258423
93.12,90.69,1.523868,1.415026,7.011303,1.516799,1.424247,7.020125,-51.295074475206356,-52.525516286325896
93.13,90.7,1.538221,1.387176,7.002267,1.530262,1.396284,7.011079,-47.91164639683407,-48.8515064495435
93.14,90.71,1.553225,1.358756,6.993244,1.544941,1.368012,7.001916,-46.310856540971,-48.17186965896653
93.15,90.72,1.568495,1.330857,6.984295,1.56037,1.339956,6.993119,-47.36161819626288,-48.23657209371961
93.16,90.73,1.585052,1.304523,6.974728,1.577723,1.312824,6.984091,-51.9475128421681,-48.558533000548096
93.17,90.74,1.603203,1.27824,6.964252,1.5958,1.286369,6.973313,-50.75055939894394,-47.67618346556558
93.18,90.75,1.623332,1.253262,6.952347,1.614505,1.260621,6.961912,-47.29782585370012,-39.81769961477013
93.19,90.76,1.644451,1.227627,6.939421,1.636898,1.235708,6.948673,-50.7730365982164,-46.934289223744486
93.2,90.77,1.665787,1.200616,6.926362,1.657642,1.208443,6.93573,-48.994698856287954,-43.85940076574205
93.21,90.78,1.686928,1.172132,6.91296,1.679591,1.179887,6.922906,-53.58441651500613,-46.5865037525309
93.22,90.79,1.709275,1.143132,6.899221,1.700668,1.150175,6.909325,-49.57428638024361,-39.29303170936172
93.23,90.8,1.729701,1.113507,6.886261,1.721681,1.120463,6.896111,-50.84706429796754,-40.93613477720249
93.24,90.81,1.752422,1.086312,6.872856,1.744525,1.092075,6.88333,-52.98508765474786,-36.12087627759157
93.25,90.82,1.777233,1.060059,6.858496,1.769506,1.065874,6.86905,-53.790669408464744,-36.963508436363924
93.26,90.83,1.803665,1.036145,6.843818,1.796104,1.041147,6.854303,-54.20366855759653,-33.48673646095688
93.27,90.84,1.831718,1.012883,6.828831,1.823705,1.01765,6.839383,-52.787613510132694,-30.74876399696867
93.28,90.85,1.860393,0.988481,6.813439,1.854292,0.993715,6.82423,-60.51711316719129,-40.626034087603955
93.29,90.86,1.889468,0.963233,6.797602,1.883601,0.968471,6.808182,-60.9900162653346,-41.75816488659118
93.3,90.87,1.919396,0.93797,6.78189,1.91268,0.942826,6.792502,-57.67157098391631,-35.86878925431337
93.31,90.88,1.949884,0.913885,6.766768,1.942396,0.917871,6.777258,-54.47989284428763,-28.02719321079052
93.32,90.89,1.980062,0.89095,6.751584,1.97322,0.895204,6.762301,-57.44482423426254,-31.8712012999675
93.33,90.9,2.012285,0.870878,6.736221,2.0054,0.874742,6.746854,-57.07644001257511,-29.302013751692062
93.34,90.91,2.046118,0.852376,6.720324,2.038915,0.856122,6.730483,-54.66234960030773,-27.477186556160223
93.35,90.92,2.081409,0.832134,6.704232,2.073813,0.836961,6.714178,-52.630155066987896,-32.43457221433586
93.36,90.93,2.117414,0.810002,6.688596,2.109226,0.815722,6.697706,-48.05103289722538,-34.937506514027255
93.37,90.94,2.15338,0.787465,6.673413,2.14478,0.793176,6.682009,-44.986672300888266,-33.58693461852178
93.38,90.95,2.18927,0.765222,6.65761,2.180641,0.770865,6.666352,-45.37270921437082,-33.182983909061065
93.39,90.96,2.225362,0.745668,6.641499,2.216089,0.750181,6.650438,-43.94933860613206,-25.951342156292288
93.4,90.97,2.261791,0.728348,6.624885,2.252433,0.732236,6.633951,-44.092001356397226,-22.56158450983919
93.41,90.98,2.299498,0.713697,6.607064,2.290069,0.716926,6.616347,-44.55295991549271,-18.90397982024062
93.42,90.99,2.33802,0.700981,6.588491,2.329059,0.703564,6.59837,-47.7895944006746,-16.079577809038312
93.43,91.0,2.377363,0.687325,6.569777,2.367707,0.690271,6.578928,-43.461880276892614,-16.96670015127202
93.44,91.01,2.417572,0.671342,6.550181,2.408491,0.675363,6.55958,-45.98583657119281,-23.883410270083665
93.45,91.02,2.457515,0.654714,6.531116,2.448641,0.658856,6.540695,-47.18793087754223,-25.021134887028015
93.46,91.03,2.497541,0.638179,6.512373,2.48838,0.642101,6.521814,-45.862359253676566,-23.17669682747094
