Time (Seconds),Unnamed: 1,X1,Y1,Z1,X2,Y2,Z2,Pxy,Pxz
126.9,124.28,0.899589,1.388907,6.825403,0.908575,1.394732,6.832277,-142.5851778420004,-147.04745914260363
126.91,124.29,0.876238,1.381918,6.820029,0.884688,1.387314,6.827144,-139.90222462585,-147.43851746872215
126.92,124.3,0.853495,1.374121,6.814585,0.861066,1.378937,6.822378,-134.1721701417756,-147.5390921822119
126.93,124.31,0.829323,1.36501,6.809309,0.837997,1.369623,6.817513,-136.59509769562933,-151.99509580169808
126.94,124.32,0.808761,1.356657,6.801837,0.815517,1.360848,6.811303,-125.51591453737454,-148.18712218645956
126.95,124.33,0.786752,1.349549,6.793086,0.79366,1.354086,6.802502,-126.26544312102428,-146.70410152898376
126.96,124.34,0.764156,1.34378,6.782927,0.772128,1.348822,6.791989,-131.33865400578821,-147.68813564960652
126.97,124.35,0.743032,1.338114,6.772438,0.765731,1.347036,6.788902,-144.04593613727417,-158.54234623377633
126.98,124.36,0.726653,1.335201,6.772383,0.739861,1.338596,6.776454,-162.8695356673665,-165.58469097635606
126.99,124.37,0.700625,1.321849,6.750545,0.704637,1.326273,6.760951,-111.08398559465235,-132.20399242635713
127.0,124.38,0.714341,1.328895,6.767109,0.679531,1.316723,6.751754,23.80270158067935,19.273181666527606
127.01,124.39,0.709355,1.326394,6.765068,0.660717,1.308233,6.744069,23.35181893535928,20.47518817425805
127.02,124.4,0.635345,1.296908,6.714292,0.641313,1.299897,6.725827,-117.35622643892246,-153.39655969666345
127.03,124.41,0.637954,1.298653,6.719382,0.61932,1.291339,6.698284,48.54868197390477,21.4304202732071
127.04,124.42,0.602168,1.284874,6.68095,0.60827,1.288422,6.692067,-118.76190285537922,-149.82419522840482
127.05,124.43,0.583852,1.277155,6.663985,0.590032,1.28087,6.674913,-119.48901740005375,-148.98854809820998
127.06,124.44,0.564155,1.26931,6.647478,0.569617,1.271715,6.659433,-114.55471121023243,-156.23539113357506
127.07,124.45,0.548773,1.262386,6.628501,0.552774,1.26348,6.640821,-107.99154169150198,-164.70732459911235
127.08,124.46,0.533125,1.256104,6.609103,0.5371,1.256949,6.621463,-107.82789166882093,-167.99879098893382
127.09,124.47,0.518855,1.251651,6.589304,0.523527,1.251758,6.601629,-110.76006161585195,-178.68801865091183
127.1,124.48,0.508246,1.247312,6.567164,0.512519,1.248278,6.579366,-109.29966693907183,-167.2612406353479
