Time (Seconds),,X1,Y1,Z1,X2,Y2,Z2
15.3,12.68,0.197025,1.777498,5.474373,0.199822,1.777133,5.487634
15.31,12.69,0.196673,1.77637,5.444708,0.200081,1.776031,5.457633
15.32,12.7,0.196679,1.772464,5.413722,0.199338,1.772743,5.426848
15.33,12.71,0.196069,1.766922,5.382217,0.198753,1.767899,5.395308
15.34,12.72,0.195108,1.7615,5.350552,0.198567,1.763257,5.36387
15.35,12.73,0.195479,1.757092,5.319879,0.197891,1.758602,5.333156
15.36,12.74,0.19658,1.752831,5.290057,0.19785,1.753989,5.303002
15.37,12.75,0.197824,1.749221,5.259861,0.19858,1.749578,5.272929
15.38,12.76,0.200809,1.746552,5.229589,0.200751,1.746671,5.242758
15.39,12.77,0.204158,1.744328,5.199643,0.20411,1.744021,5.212656
15.4,12.78,0.207554,1.740951,5.168503,0.207057,1.740802,5.181666
15.41,12.79,0.21178,1.73592,5.137073,0.212802,1.736217,5.149909
15.42,12.8,0.216344,1.728549,5.104835,0.217209,1.729349,5.11782
15.43,12.81,0.220425,1.71922,5.072434,0.222567,1.721118,5.085667
15.44,12.82,0.223625,1.70791,5.042683,0.227019,1.713673,5.056372
15.45,12.83,0.227672,1.697946,5.00757,0.231192,1.706693,5.028909
15.46,12.84,0.231421,1.687956,4.976224,0.231884,1.692183,4.988721
15.47,12.85,0.23533,1.67957,4.945119,0.238671,1.683668,4.958101
15.48,12.86,0.239583,1.674043,4.913846,0.240579,1.677427,4.927079
15.49,12.87,0.244281,1.671213,4.882596,0.244496,1.6736,4.895689
15.5,12.88,0.248775,1.668144,4.849748,0.249571,1.670348,4.862895
15.51,12.89,0.25246,1.663237,4.815597,0.253794,1.665254,4.829064
15.52,12.9,0.255912,1.656018,4.781439,0.253267,1.655412,4.793785
15.53,12.91,0.258762,1.645849,4.7459,0.254024,1.648075,4.773336
15.54,12.92,0.262931,1.63605,4.710995,0.254733,1.641197,4.754167
15.55,12.93,0.267781,1.628046,4.677376,0.266189,1.634182,4.689166
15.56,12.94,0.275426,1.625677,4.627711,0.272926,1.623515,4.64429
15.57,12.95,0.276749,1.621054,4.611364,0.275566,1.625625,4.623973
15.58,12.96,0.279929,1.621483,4.577119,0.286061,1.625988,4.590899
15.59,12.97,0.289764,1.627857,4.55783,0.27488,1.626459,4.59286
15.6,12.98,0.266262,1.623607,4.535686,0.282763,1.625721,4.538118
15.61,12.99,0.288686,1.615364,4.470167,0.287199,1.617034,4.48313
15.62,13,0.292414,1.608875,4.433474,0.291144,1.609652,4.432473
15.63,13.01,0.295986,1.602687,4.397297,0.294325,1.604576,4.389385
15.64,13.02,0.300229,1.598119,4.361642,0.297072,1.601353,4.352221
15.65,13.03,0.304184,1.594744,4.326351,0.29971,1.59953,4.319339
15.66,13.04,0.30333,1.599321,4.323538,0.302567,1.598653,4.289095
15.67,13.05,0.307372,1.599327,4.288338,0.305972,1.598269,4.259844
15.68,13.06,0.311468,1.59954,4.253112,0.310252,1.597925,4.229943
15.69,13.07,0.315539,1.599043,4.217527,0.315734,1.597168,4.197748
15.7,13.08,0.32518,1.596582,4.148482,0.322746,1.595545,4.161616
15.71,13.09,0.328006,1.593357,4.110735,0.330632,1.593337,4.122967
15.72,13.1,0.331753,1.589079,4.073581,0.333577,1.590083,4.085732
15.73,13.11,0.336144,1.585219,4.036587,0.334463,1.585604,4.049793
15.74,13.12,0.344484,1.58216,4.001315,0.338232,1.580945,4.013733
15.75,13.13,0.346641,1.581853,3.966213,0.341455,1.581352,3.966942
15.76,13.14,0.350856,1.58213,3.931723,0.345877,1.58196,3.932932
15.77,13.15,0.356755,1.584221,3.897395,0.353669,1.585039,3.909939
15.78,13.16,0.36108,1.587936,3.861688,0.359576,1.58952,3.874011
15.79,13.17,0.367528,1.592073,3.824935,0.365216,1.592742,3.837723
15.8,13.18,0.371691,1.594383,3.788038,0.369154,1.594501,3.8008
15.81,13.19,0.375674,1.593507,3.750404,0.373519,1.593683,3.763217
15.82,13.2,0.381187,1.5909,3.713085,0.377181,1.589935,3.726819
15.83,13.21,0.386207,1.587433,3.675408,0.38557,1.588359,3.687999
15.84,13.22,0.391921,1.584815,3.639221,0.39102,1.58623,3.651842
15.85,13.23,0.397783,1.583901,3.604159,0.396086,1.584325,3.616756
15.86,13.24,0.404344,1.584557,3.569262,0.401027,1.582991,3.581845
15.87,13.25,0.409249,1.585958,3.534147,0.406194,1.585185,3.546675
15.88,13.26,0.414259,1.589422,3.49817,0.411129,1.587635,3.511087
15.89,13.27,0.418159,1.594634,3.461779,0.415026,1.592333,3.474993
15.9,13.28,0.421324,1.598748,3.424087,0.419743,1.597322,3.437584
15.91,13.29,0.424113,1.600124,3.386555,0.422158,1.60131,3.399466
15.92,13.3,0.42752,1.599082,3.348681,0.425227,1.603766,3.362874
15.93,13.31,0.43204,1.59629,3.310671,0.431473,1.596683,3.323617
15.94,13.32,0.437026,1.594776,3.274678,0.436333,1.595237,3.287635
15.95,13.33,0.442218,1.59637,3.239964,0.439658,1.595116,3.253462
15.96,13.34,0.447338,1.600378,3.206218,0.444463,1.598666,3.219012
15.97,13.35,0.450964,1.606892,3.172099,0.44831,1.60522,3.185352
15.98,13.36,0.453533,1.61362,3.138457,0.451348,1.612355,3.151561
15.99,13.37,0.454719,1.619659,3.103834,0.453481,1.617881,3.116614
16,13.38,0.458432,1.624427,3.068471,0.454882,1.622507,3.081292
16.01,13.39,0.462948,1.628544,3.034023,0.460304,1.627159,3.04671
16.02,13.4,0.469176,1.633867,3.0012,0.467013,1.63204,3.014273
16.03,13.41,0.47651,1.639688,2.971678,0.473046,1.636828,2.983864
16.04,13.42,0.483653,1.647966,2.942445,0.479154,1.644936,2.954165
16.05,13.43,0.491737,1.65697,2.912997,0.487707,1.653939,2.925212
16.06,13.44,0.500597,1.664886,2.882911,0.497099,1.66206,2.895306
16.07,13.45,0.509832,1.669836,2.852562,0.505996,1.667453,2.86481
16.08,13.46,0.518306,1.673918,2.821348,0.51421,1.671809,2.833408
16.09,13.47,0.525615,1.677992,2.789565,0.521918,1.67638,2.802556
16.1,13.48,0.535002,1.68136,2.758866,0.531253,1.680157,2.77147
16.11,13.49,0.544424,1.685055,2.729546,0.540539,1.683593,2.741895
16.12,13.5,0.554254,1.689353,2.700923,0.551563,1.687733,2.713527
16.13,13.51,0.56479,1.693892,2.672418,0.56198,1.692742,2.684896
16.14,13.52,0.575279,1.699813,2.644414,0.572516,1.698113,2.656983
16.15,13.53,0.585018,1.705462,2.615692,0.582775,1.703768,2.62845
16.16,13.54,0.595336,1.709213,2.58662,0.592688,1.708023,2.599401
16.17,13.55,0.604615,1.710277,2.557554,0.604162,1.709529,2.569977
16.18,13.56,0.617973,1.709455,2.526791,0.616779,1.709381,2.539565
16.19,13.57,0.630685,1.707958,2.496556,0.629147,1.708165,2.509308
16.2,13.58,0.641816,1.705697,2.467116,0.638285,1.706834,2.479789
16.21,13.59,0.652198,1.703689,2.437321,0.64851,1.705087,2.450369
16.22,13.6,0.663018,1.700921,2.408355,0.659383,1.702024,2.421403
16.23,13.61,0.673358,1.69808,2.379478,0.670429,1.698607,2.392559
16.24,13.62,0.684389,1.694839,2.350344,0.681193,1.696408,2.363492
16.25,13.63,0.695302,1.692975,2.321515,0.690889,1.694236,2.334714
16.26,13.64,0.705215,1.691602,2.292155,0.701177,1.693003,2.305268
16.27,13.65,0.714714,1.691216,2.262435,0.711257,1.692412,2.275304
16.28,13.66,0.724108,1.690683,2.232221,0.720388,1.691855,2.244833
16.29,13.67,0.732886,1.688248,2.200632,0.730064,1.689804,2.213353
16.3,13.68,0.74214,1.683353,2.169381,0.740632,1.685074,2.18208
16.31,13.69,0.752352,1.676554,2.137091,0.74965,1.678283,2.150699
16.32,13.7,0.762191,1.668128,2.105938,0.76021,1.671421,2.118567
16.33,13.71,0.772113,1.660877,2.075084,0.769932,1.664366,2.087501
16.34,13.72,0.781129,1.654465,2.04474,0.779465,1.657229,2.057267
16.35,13.73,0.790315,1.64872,2.014539,0.788999,1.650519,2.027178
16.36,13.74,0.799876,1.645218,1.983923,0.798451,1.645815,1.996951
16.37,13.75,0.808225,1.64248,1.952927,0.807684,1.642864,1.965612
16.38,13.76,0.816501,1.640601,1.920417,0.814819,1.640928,1.933449
16.39,13.77,0.824218,1.637432,1.886783,0.82318,1.638072,1.899631
16.4,13.78,0.831857,1.631101,1.852425,0.830465,1.632739,1.865294
16.41,13.79,0.839898,1.623138,1.818137,0.837847,1.624774,1.83142
16.42,13.8,0.847835,1.614755,1.784029,0.846106,1.616745,1.797257
16.43,13.81,0.855655,1.607409,1.751332,0.854334,1.609494,1.763726
16.44,13.82,0.86514,1.602504,1.71814,0.862525,1.603989,1.731214
16.45,13.83,0.873751,1.59936,1.686762,0.872703,1.600034,1.698966
16.46,13.84,0.882834,1.599238,1.653338,0.881179,1.598868,1.665935
16.47,13.85,0.891311,1.599689,1.618609,0.888564,1.599433,1.631549
16.48,13.86,0.899721,1.598512,1.582942,0.895593,1.599221,1.59528
16.49,13.87,0.908606,1.593742,1.546539,0.90519,1.594483,1.559581
16.5,13.88,0.917367,1.588628,1.51026,0.914509,1.592053,1.517299
16.51,13.89,0.926447,1.584401,1.475268,0.923045,1.584504,1.488371
16.52,13.9,0.935845,1.581419,1.441967,0.931849,1.581548,1.454088
16.53,13.91,0.945845,1.581471,1.408625,0.941226,1.580549,1.421235
16.54,13.92,0.956512,1.584045,1.376234,0.950854,1.582505,1.388162
16.55,13.93,0.968138,1.589269,1.342978,0.961992,1.587008,1.35479
16.56,13.94,0.978009,1.592001,1.307761,0.972782,1.591279,1.319621
16.57,13.95,0.98814,1.592132,1.2718,0.984139,1.591456,1.28425
16.58,13.96,0.998108,1.590846,1.235744,0.993452,1.589897,1.247772
16.59,13.97,1.008896,1.590357,1.20014,1.003521,1.589185,1.212234
16.6,13.98,1.02007,1.591472,1.166456,1.013984,1.590505,1.178337
16.61,13.99,1.032022,1.594483,1.134595,1.025559,1.592617,1.146126
16.62,14,1.045477,1.600054,1.103482,1.038047,1.597131,1.114867
16.63,14.01,1.060315,1.60815,1.073246,1.050614,1.604183,1.083456
16.64,14.02,1.07576,1.614749,1.041718,1.067803,1.611394,1.05204
16.65,14.03,1.090271,1.617897,1.007345,1.08359,1.615614,1.018674
16.66,14.04,1.10481,1.619614,0.972664,1.097998,1.618201,0.983995
16.67,14.05,1.118338,1.621516,0.938988,1.112225,1.619946,0.950304
16.68,14.06,1.134637,1.625351,0.908036,1.12717,1.623665,0.91899
16.69,14.07,1.150663,1.630541,0.879185,1.142624,1.628247,0.889588
16.7,14.08,1.168665,1.637608,0.851708,1.159835,1.634551,0.861688
16.71,14.09,1.188889,1.647008,0.825526,1.18066,1.6436,0.835273
16.72,14.1,1.208444,1.655427,0.799802,1.199352,1.652321,0.808854
16.73,14.11,1.230587,1.660551,0.771738,1.221071,1.658197,0.780604
16.74,14.12,1.25211,1.663774,0.742503,1.242561,1.662793,0.753699
16.75,14.13,1.271783,1.666995,0.714334,1.262539,1.665477,0.723446
16.76,14.14,1.291831,1.671595,0.687685,1.282176,1.669986,0.696294
16.77,14.15,1.312635,1.677728,0.663358,1.302619,1.675382,0.671598
16.78,14.16,1.333659,1.68485,0.640693,1.322993,1.682051,0.648438
16.79,14.17,1.356859,1.693172,0.620706,1.345761,1.690066,0.626879
16.8,14.18,1.381943,1.701086,0.602399,1.370068,1.697744,0.607141
16.81,14.19,1.40781,1.707672,0.581134,1.396625,1.705068,0.587347
16.82,14.2,1.433626,1.712522,0.559316,1.422727,1.710483,0.566527
16.83,14.21,1.458278,1.716545,0.53722,1.447333,1.714558,0.544326
16.84,14.22,1.482662,1.719334,0.514801,1.471351,1.717572,0.521758
16.85,14.23,1.507326,1.721992,0.493732,1.496099,1.720149,0.500521
16.86,14.24,1.532194,1.724715,0.473929,1.520851,1.722919,0.480893
16.87,14.25,1.557256,1.72841,0.457025,1.545453,1.726284,0.463363
16.88,14.26,1.583004,1.733781,0.442328,1.570871,1.731502,0.448093
16.89,14.27,1.609338,1.740505,0.429562,1.597468,1.737485,0.434798
16.9,14.28,1.637576,1.746426,0.416758,1.625707,1.74391,0.422032
16.91,14.29,1.665732,1.749737,0.402871,1.653904,1.747548,0.408008
16.92,14.3,1.694814,1.751251,0.388169,1.682335,1.748921,0.392591
16.93,14.31,1.72322,1.752,0.374764,1.710534,1.750095,0.376989
16.94,14.32,1.751764,1.753368,0.35997,1.739351,1.751138,0.36385
16.95,14.33,1.779554,1.7551,0.347072,1.766984,1.753135,0.351149
16.96,14.34,1.807144,1.758106,0.335681,1.794769,1.756012,0.33948
16.97,14.35,1.834807,1.762819,0.326094,1.822163,1.760364,0.328645
16.98,14.36,1.863269,1.768944,0.317793,1.850637,1.766241,0.320569
16.99,14.37,1.892509,1.774478,0.31128,1.880016,1.772439,0.313691
17,14.38,1.922924,1.777653,0.302451,1.910169,1.775675,0.3051
17.01,14.39,1.954219,1.778609,0.295131,1.941429,1.777305,0.296589
17.02,14.4,1.984975,1.778635,0.286017,1.972551,1.777599,0.287126
17.03,14.41,2.015281,1.77856,0.277125,2.002685,1.778701,0.278822
