,X,Y,Z
1,0.029876,1.224198,3.15669
2,0.026244,1.227559,2.103172
3,0.024589,1.23363,1.054566
4,0.020669,1.236885,0.003312
5,1.025663,1.223049,0.000801
6,2.055626,1.2107,-0.000035
7,2.477233,1.203264,-0.003625
8,3.490366,1.180889,-0.007019
9,4.491241,1.157331,-0.017447
10,4.490404,1.161567,1.031297
11,4.493205,1.159149,2.08254
12,4.496709,1.143832,3.16174
13,4.499227,1.134793,4.21196
14,4.502439,1.110797,5.250994
15,4.504349,1.136175,6.3046
16,4.50387,1.147407,7.037373
17,3.382244,1.140729,7.124578
18,2.578753,1.165143,7.06838
19,1.69593,1.192662,7.0948
20,0.842028,1.18969,7.112579
21,0.031932,1.277214,7.038614
22,0.036303,1.297211,6.317658
23,0.028569,1.235261,5.245178
24,0.030545,1.243668,4.196234
25,2.279716,2.27132,3.502718
