室冁E��クガシラアレイ用です！Echannel,time1,peak_power1,peak_freq1,time2,peak_power2,peak_freq2,time3,peak_power3,peak_freq3,time4,peak_power4,peak_freq4,time5,peak_power5,peak_freq5,time6,peak_power6,peak_freq6,time7,peak_power7,peak_freq7,time8,peak_power8,peak_freq8,time9,peak_power9,peak_freq9,time10,peak_power10,peak_freq10,time11,peak_power11,peak_freq11,time12,peak_power12,peak_freq12,time13,peak_power13,peak_freq13,time14,peak_power14,peak_freq14,time15,peak_power15,peak_freq15,time16,peak_power16,peak_freq16,time17,peak_power17,peak_freq17,time18,peak_power18,peak_freq18,time19,peak_power19,peak_freq19,time20,peak_power20,peak_freq20,time21,peak_power21,peak_freq21,time22,peak_power22,peak_freq22,time23,peak_power23,peak_freq23,time24,peak_power24,peak_freq24,time25,peak_power25,peak_freq25,time26,peak_power26,peak_freq26,time27,peak_power27,peak_freq27,time28,peak_power28,peak_freq28,time29,peak_power29,peak_freq29,time30,peak_power30,peak_freq30,time31,peak_power31,peak_freq31,time32,peak_power32,peak_freq32,time33,peak_power33,peak_freq33,time34,peak_power34,peak_freq34,time35,peak_power35,peak_freq35
ch 1,4.188,4701.72523,56530.21442,4.216,7178.92208,64327.48538,4.307,1780.08688,57017.54386,4.382,4438.29589,60428.8499,4.41,7650.76306,63352.82651,4.473,1692.62553,62865.49708,4.584,1768.78397,64327.48538,4.614,2697.42927,60916.17934,4.63,7099.88591,61890.83821,4.648,7048.515,64327.48538,4.678,8955.1437,64814.81481,4.699,5029.27579,64814.81481,4.754,5160.48175,62378.16764,4.789,5187.27198,64814.81481,4.866,7840.07969,56042.88499,4.897,8438.52069,57017.54386,5.008,5408.15127,63840.15595,5.109,9256.85683,64327.48538,5.174,5282.95689,57992.20273,5.209,7182.56321,64327.48538,5.259,13620.88595,60916.17934,5.297,35029.91083,64327.48538,5.352,7703.02689,55068.22612,5.39,27027.52529,64327.48538,5.456,52457.22175,64327.48538,5.492,17522.86815,64327.48538,5.557,22926.57603,64327.48538,5.585,6957.58059,64327.48538,5.649,24688.37311,64327.48538,5.7,7189.24886,64327.48538,5.809,6629.70253,64327.48538,5.884,7378.90822,64327.48538,5.926,8399.45566,64327.48538,5.998,5922.56939,64327.48538,6.047,2395.6726,64814.81481
ch 2,4.191,3284.34623,57017.54386,4.219,3598.23541,64814.81481,4.31,1374.89831,57504.87329,4.385,2331.72818,58479.53216,4.413,3894.2703,61403.50877,4.475,1487.49112,64327.48538,4.587,763.74371,61890.83821,4.616,2590.49716,62378.16764,4.632,5365.88,54580.89669,4.65,3666.38903,64814.81481,4.68,4137.84286,54093.56725,4.701,3339.13169,61890.83821,4.756,4409.30939,55555.55556,4.792,4999.78355,55068.22612,4.868,5048.21552,56042.88499,4.899,6276.13864,56530.21442,5.01,7713.69019,64327.48538,5.111,14121.95402,64814.81481,5.175,5733.04736,64814.81481,5.21,15876.22196,64814.81481,5.26,31343.44947,63840.15595,5.298,55676.25495,64814.81481,5.352,22119.23044,56530.21442,5.391,30415.84049,64814.81481,5.457,43170.27169,64814.81481,5.493,20786.4182,64814.81481,5.557,29191.09596,64327.48538,5.585,10629.44705,64814.81481,5.649,33107.78051,64327.48538,5.699,8292.29674,64814.81481,5.809,7598.43722,64327.48538,5.883,10184.0368,63840.15595,5.925,12239.44974,64327.48538,5.997,7090.46845,64327.48538,6.046,2346.49845,60916.17934
ch 3,4.194,1981.02144,56530.21442,4.222,1927.71324,62865.49708,4.313,1080.75693,56530.21442,4.388,1729.48909,54580.89669,4.416,2286.41512,60916.17934,4.478,1621.46979,64814.81481,4.59,2702.08628,64327.48538,4.619,3744.07574,60428.8499,4.635,5521.57797,55068.22612,4.653,2218.99704,54580.89669,4.683,4388.98588,54580.89669,4.704,3083.66483,55068.22612,4.759,5768.54462,55555.55556,4.794,5475.64894,55555.55556,4.87,7496.69779,56530.21442,4.901,8801.64714,64814.81481,5.012,14795.84654,64814.81481,5.113,23852.02548,64814.81481,5.177,6384.96729,64327.48538,5.212,19927.636,64814.81481,5.262,37562.36827,64814.81481,5.299,63597.57512,64814.81481,5.354,58769.98358,64814.81481,5.393,38544.73633,64814.81481,5.458,43240.56053,64814.81481,5.494,27559.4201,64814.81481,5.558,30822.7015,64814.81481,5.586,10498.9639,64814.81481,5.65,44181.23297,64814.81481,5.7,14301.3264,64814.81481,5.809,14606.49828,64814.81481,5.884,16141.94165,63352.82651,5.926,11506.98171,64327.48538,5.997,6097.96886,64327.48538,6.046,3919.99896,64327.48538
ch 4,4.197,1241.27429,55555.55556,4.225,1650.93405,64814.81481,4.316,741.25596,57017.54386,4.39,1215.8416,55068.22612,4.419,1325.27954,54580.89669,4.481,754.27856,64814.81481,4.592,631.31884,54093.56725,4.621,1672.02027,64327.48538,4.637,4085.26863,54093.56725,4.656,1564.60281,54093.56725,4.686,3751.39991,54093.56725,4.707,2819.95842,55555.55556,4.762,3878.74096,56042.88499,4.797,5462.29129,56042.88499,4.873,4177.70195,54580.89669,4.904,6628.4697,64814.81481,5.015,8650.41182,64814.81481,5.116,16656.93672,64327.48538,5.179,3849.00092,64814.81481,5.214,14288.25553,64814.81481,5.264,22440.63999,64814.81481,5.302,36394.8949,64814.81481,5.356,30423.00759,64814.81481,5.395,26568.27585,63352.82651,5.46,34476.75604,64814.81481,5.496,31653.64372,64814.81481,5.56,15324.54316,64814.81481,5.588,10342.33276,64814.81481,5.652,16192.23841,64814.81481,5.702,6783.36673,64814.81481,5.811,8360.08986,64814.81481,5.885,8843.52516,64814.81481,5.927,7167.25633,64814.81481,5.998,5330.95137,64814.81481,6.047,1868.34677,64814.81481
ch 5,4.196,1830.66791,57504.87329,4.225,4113.03342,64814.81481,4.316,1760.4196,64814.81481,4.39,1889.96389,57504.87329,4.418,2746.55287,57017.54386,4.48,1006.20722,64327.48538,4.592,1904.00861,56530.21442,4.621,4157.40405,54580.89669,4.637,5983.98166,55068.22612,4.655,2893.13167,55068.22612,4.685,9093.907,53118.90838,4.706,5937.61064,55555.55556,4.761,5679.14346,53606.23782,4.796,9776.66497,56042.88499,4.872,9484.9368,56530.21442,4.903,15639.09496,57504.87329,5.013,14373.33064,57992.20273,5.114,9711.40494,64814.81481,5.178,4623.27998,55555.55556,5.213,11604.91581,64814.81481,5.262,30469.21126,56042.88499,5.3,16944.26918,63840.15595,5.355,38041.65392,55555.55556,5.393,31265.40217,64814.81481,5.459,39973.9618,55555.55556,5.495,27574.33938,64814.81481,5.559,34742.95037,55555.55556,5.587,22681.63136,56042.88499,5.65,32101.93111,55068.22612,5.7,9270.19172,64814.81481,5.809,15508.05082,64814.81481,5.883,15010.8392,64814.81481,5.925,16747.91287,64814.81481,5.996,10829.70789,64814.81481,6.045,3635.29452,61890.83821
ch 6,4.197,2592.4731,57017.54386,4.225,3106.28616,64814.81481,4.316,1960.19578,56530.21442,4.39,4263.98659,55555.55556,4.418,6268.38221,57017.54386,4.48,2358.09968,64327.48538,4.591,3375.70706,55555.55556,4.62,5313.06133,53118.90838,4.636,5985.68587,53118.90838,4.654,4863.25402,55068.22612,4.684,10371.20978,53118.90838,4.705,9778.36023,55555.55556,4.76,17357.75289,56042.88499,4.795,17728.27589,57992.20273,4.871,18114.63208,64814.81481,4.902,39606.51055,64814.81481,5.013,42670.66095,64814.81481,5.113,52474.1978,64814.81481,5.177,11612.77393,62865.49708,5.212,67769.0587,64814.81481,5.261,65709.2231,62378.16764,5.299,15353.76332,64814.81481,5.354,63221.81945,64327.48538,5.393,25364.86233,63840.15595,5.458,48758.56774,62865.49708,5.494,37552.31178,64814.81481,5.558,78214.81816,64814.81481,5.586,59933.73508,64814.81481,5.649,101695.2922,64814.81481,5.7,18571.84941,62865.49708,5.808,21541.67902,64814.81481,5.882,34124.28496,57992.20273,5.924,23882.73123,64814.81481,5.995,40637.96666,55555.55556,6.043,12976.1315,63840.15595
ch 7,4.197,3119.70699,56530.21442,4.225,3221.14991,64814.81481,4.316,2198.84425,57017.54386,4.39,3674.22104,55555.55556,4.418,5462.73566,56042.88499,4.48,2685.90164,55555.55556,4.591,3472.09488,57017.54386,4.62,10326.75953,54580.89669,4.636,5471.71225,52631.57895,4.654,5591.62043,55068.22612,4.684,13857.88389,53118.90838,4.705,12729.73748,55555.55556,4.76,11908.41116,53606.23782,4.795,25522.62624,64814.81481,4.871,21848.04408,64814.81481,4.902,45037.29521,64814.81481,5.013,41571.99507,64814.81481,5.113,48964.98832,64814.81481,5.177,12935.67302,63352.82651,5.212,67117.78256,64814.81481,5.261,56402.67154,64327.48538,5.299,12120.53315,64814.81481,5.354,43543.60183,64814.81481,5.392,21769.8641,64814.81481,5.458,31517.91824,64814.81481,5.494,20104.29396,64814.81481,5.558,61610.29284,64814.81481,5.586,68840.91387,64814.81481,5.649,111091.4718,64814.81481,5.699,20556.24825,64814.81481,5.808,18240.02066,64814.81481,5.882,76868.21385,64814.81481,5.924,28536.54673,57504.87329,5.995,84899.46133,58966.8616,6.043,10458.46922,57017.54386
ch 8,4.198,3202.29212,58966.8616,4.226,4080.02199,64814.81481,4.317,2155.66711,58479.53216,4.391,5118.02641,55555.55556,4.419,11320.51487,64814.81481,4.481,6040.38807,55555.55556,4.592,9901.3723,64814.81481,4.621,26777.93779,55068.22612,4.637,12860.24676,53118.90838,4.655,16977.04304,55068.22612,4.685,30510.37687,53606.23782,4.706,32344.70891,64814.81481,4.761,33022.79549,54093.56725,4.796,58718.6523,64327.48538,4.871,34906.89722,63352.82651,4.902,63053.22805,64327.48538,5.013,45790.28195,64327.48538,5.113,44650.09498,64814.81481,5.177,14110.00005,64327.48538,5.212,59722.37755,64327.48538,5.261,32374.3916,59454.19103,5.299,14969.11753,64814.81481,5.354,26686.14524,55555.55556,5.393,24311.88025,64814.81481,5.458,22911.26553,64327.48538,5.494,8490.23898,58479.53216,5.559,30187.41583,64327.48538,5.586,45867.58418,58966.8616,5.65,81843.79926,63352.82651,5.7,47582.74184,64814.81481,5.809,50366.18371,62865.49708,5.883,116169.7503,60428.8499,5.924,72768.9237,59941.52047,5.995,121790.7217,59454.19103,6.044,12060.76551,57017.54386
ch 9,4.199,3303.97348,58966.8616,4.227,2649.12829,56042.88499,4.318,1575.70856,57017.54386,4.392,5070.38254,64814.81481,4.42,9915.29011,64814.81481,4.482,5725.65603,64327.48538,4.593,7260.50757,59454.19103,4.622,20564.80479,64814.81481,4.638,14523.99224,55555.55556,4.656,15908.7836,64814.81481,4.686,39652.53209,64814.81481,4.707,35530.96873,64814.81481,4.762,39968.80432,64814.81481,4.796,38609.94008,64327.48538,4.872,35919.11307,64814.81481,4.903,35766.53036,64327.48538,5.014,17818.86632,61890.83821,5.114,11461.63382,63840.15595,5.178,7254.05683,64814.81481,5.213,17850.87208,64327.48538,5.262,7978.32417,64814.81481,5.3,13519.83347,64814.81481,5.355,7960.1469,64814.81481,5.394,14922.34363,64327.48538,5.459,12641.00058,64327.48538,5.495,9944.61151,64814.81481,5.56,16266.33742,64327.48538,5.588,12550.78859,56042.88499,5.651,25262.58827,64327.48538,5.702,29837.71175,64327.48538,5.811,50552.9157,64814.81481,5.885,42377.69061,61403.50877,5.926,37028.19163,64814.81481,5.997,42403.36227,57504.87329,6.046,5412.45595,56530.21442
ch10,4.197,4424.91777,57992.20273,4.225,5446.96425,64327.48538,4.316,3607.99122,57504.87329,4.39,9606.76922,64814.81481,4.418,43477.41923,64814.81481,4.479,11786.62906,64814.81481,4.59,11526.10583,57017.54386,4.619,39663.05071,64814.81481,4.635,33279.28118,56042.88499,4.653,30618.26312,64814.81481,4.683,66968.29749,56042.88499,4.704,52940.64303,64814.81481,4.759,60448.7752,64814.81481,4.794,73861.96597,64814.81481,4.869,40850.34065,64814.81481,4.9,33000.28093,64327.48538,5.011,17979.72805,60428.8499,5.112,7238.02898,64814.81481,5.175,10317.88363,64814.81481,5.21,14349.18098,64814.81481,5.26,13617.91417,64327.48538,5.298,12844.87614,64327.48538,5.352,20990.7309,64814.81481,5.391,17395.734,64327.48538,5.457,10758.92446,64327.48538,5.493,7015.59153,63840.15595,5.558,15088.66088,64327.48538,5.586,7953.66603,64327.48538,5.649,20042.13785,64327.48538,5.7,17031.96795,64814.81481,5.809,35877.62661,64814.81481,5.883,18235.62133,57992.20273,5.925,26857.83332,63840.15595,5.996,16739.35083,64814.81481,6.044,11960.00007,64814.81481
